# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   288   79
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25                              26                              27                              28                              29                              30                              31                              32                              33                              34                              35                              36                              37                              38                              39                              40                              41                              42                              43                              44                              45                              46                              47                              48                              49                              50                              51                              52                              53                              54                              55                              56                              57                              58                              59                              60                              61                              62                              63                              64                              65                              66                              67                              68                              69                              70                              71                              72                              73                              74                              75                              76                              77                              78                              79
 EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                     o_core_mass                           log_L                  log_L_div_Ledd                          log_LH                         log_LHe                          log_LZ                        log_Teff                   log_abs_Lgrav                           log_R                           log_g                      log_surf_z                  surf_avg_omega                  surf_avg_v_rot        surf_num_c12_div_num_o16                 v_wind_Km_per_s             surf_avg_omega_crit   surf_avg_omega_div_omega_crit                 surf_avg_v_crit           surf_avg_v_div_v_crit          surf_avg_Lrad_div_Ledd               v_div_csound_surf                      surface_h1                     surface_he3                     surface_he4                     surface_li7                     surface_be9                     surface_b11                     surface_c12                     surface_c13                     surface_n14                     surface_o16                     surface_f19                    surface_ne20                    surface_na23                    surface_mg24                    surface_si28                     surface_s32                    surface_ca40                    surface_ti48                    surface_fe56                    log_center_T                  log_center_Rho               center_degeneracy                    center_omega                    center_gamma                  mass_conv_core                       center_h1                      center_he4                      center_c12                      center_n14                      center_o16                     center_ne20                     center_mg24                     center_si28                              pp                             cno                        tri_alfa                          burn_c                          burn_n                          burn_o                         c12_c12                        delta_nu                        delta_Pg                          nu_max                 acoustic_cutoff         max_conv_vel_div_csound             max_gradT_div_grada              gradT_excess_alpha                  min_Pgas_div_P              max_L_rad_div_Ledd                       e_thermal                           phase
   53         6.0000000000000000E+000         1.0000000000000001E-001         9.9999955226566503E-002        -2.6754424811426563E-014         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.1720941839868373E+000        -4.7148989337485485E+000        -1.2673893376673349E+000        -9.8999999999999986E+001        -9.8999999999999986E+001         3.4726857718397484E+000        -1.8776958396741301E+000        -8.7414834908013436E-003         3.4556289900923680E+000        -1.8450984743010239E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972858E-001         7.3645277193926282E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -3.2865379022667269E-010         7.1539665391974316E-001         5.4876596535654079E-005         2.7025513764607795E-001         9.8725933893401346E-009         1.6897809084240833E-010         0.0000000000000000E+000         2.4965358274886820E-003         3.0304790898726400E-005         7.3728934690842074E-004         6.1088852298628862E-003         5.3917068067893482E-007         1.2391826166306711E-003         3.1227961196001222E-005         5.8956682884631485E-004         6.5265243055896954E-004         3.1309570972055392E-004         6.8535470825407694E-005         3.3346114782169969E-006         1.5846366978198223E-003         5.9195179181524900E+000        -1.8025383708618298E-002        -2.1592909918513215E+000         0.0000000000000000E+000         2.9807969895178899E-001         9.9999955226566503E-002         7.1539665390556328E-001         2.7025513764607795E-001         2.4965358274886820E-003         7.3728934690842085E-004         6.1088852298628853E-003         1.2391826166306711E-003         5.8956682884631496E-004         6.5265243055896954E-004        -1.2673893376673349E+000        -5.0156440391549992E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         4.4950326725033307E+001         0.0000000000000000E+000         4.5015164163068664E+002         3.0697264873594149E+003         1.2431958310551119E-001         1.0686083285995225E+000         0.0000000000000000E+000         9.9998837034045018E-001         1.8021349430222715E-005         3.3232271628704819E+046        -1.0000000000000000E+000
   54         6.0000000000000000E+000         1.0078395940862798E-001         1.0078391410176514E-001        -2.7200963824382634E-014         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.1669940530178471E+000        -4.7059805624931155E+000        -1.2632031069785317E+000        -9.8999999999999986E+001        -9.8999999999999986E+001         3.4729770975659413E+000        -1.8694114473243739E+000        -6.7740694586924076E-003         3.4544551291033030E+000        -1.8450984743010104E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972847E-001         7.7262395463944970E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -3.3603509122452474E-010         7.1539661813137267E-001         5.4983961612779176E-005         2.7025513764608877E-001         9.8725933893404555E-009         1.6897809084241388E-010         0.0000000000000000E+000         2.4965358274887635E-003         3.0304790898727393E-005         7.3728934690844492E-004         6.1088852298630866E-003         5.3917068067895176E-007         1.2391826166307102E-003         3.1227961196002204E-005         5.8956682884633339E-004         6.5265243055899003E-004         3.1309570972056378E-004         6.8535470825409849E-005         3.3346114782171019E-006         1.5846366978198721E-003         5.9202691616211229E+000        -2.1033676009514665E-002        -2.1680082889341459E+000         0.0000000000000000E+000         2.9701953529252467E-001         1.0078391410176514E-001         7.1539661811710131E-001         2.7025513764608877E-001         2.4965358274887635E-003         7.3728934690844503E-004         6.1088852298630857E-003         1.2391826166307102E-003         5.8956682884633350E-004         6.5265243055899003E-004        -1.2632031069785317E+000        -5.0118345315173457E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         4.4816892201981574E+001         0.0000000000000000E+000         4.4908691197038183E+002         3.0629941684871123E+003         1.2445660502435861E-001         1.0693083294098311E+000         0.0000000000000000E+000         9.9998816105294119E-001         1.8350302682609898E-005         3.3555076778564170E+046        -1.0000000000000000E+000
   55         6.0000000000000000E+000         1.0501789520554958E-001         1.0501784696537689E-001        -2.9547325602683351E-014         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.1396625001572445E+000        -4.6583432805216400E+000        -1.2412016415267511E+000        -9.8999999999999986E+001        -9.5870741735468812E+001         3.4745502353704882E+000        -1.8217325311870738E+000         3.7454313625163611E-003         3.4483273042713662E+000        -1.8450984743009442E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972869E-001         9.6258515822058634E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -3.7294038132311049E-010         7.1539642741758203E-001         5.5556102802354419E-005         2.7025513764614739E-001         9.8725933893422075E-009         1.6897809084244389E-010         0.0000000000000000E+000         2.4965358274892067E-003         3.0304790898732773E-005         7.3728934690857589E-004         6.1088852298641708E-003         5.3917068067904356E-007         1.2391826166309212E-003         3.1227961196007530E-005         5.8956682884643390E-004         6.5265243055910116E-004         3.1309570972061707E-004         6.8535470825421531E-005         3.3346114782176698E-006         1.5846366978201419E-003         5.9244282549303309E+000        -3.6975358379916334E-002        -2.2146842871490011E+000         0.0000000000000000E+000         2.9129355048257227E-001         1.0501784696537689E-001         7.1539642740281306E-001         2.7025513764614739E-001         2.4965358274892067E-003         7.3728934690857589E-004         6.1088852298641699E-003         1.2391826166309212E-003         5.8956682884643390E-004         6.5265243055910116E-004        -1.2412016415267511E+000        -4.9907197241372586E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         4.4105698494956009E+001         0.0000000000000000E+000         4.4347740237927451E+002         3.0275719942761284E+003         1.2497960602762430E-001         1.0730595976568671E+000         0.0000000000000000E+000         9.9998703100671260E-001         2.0127217003537585E-005         3.5315375683304464E+046        -1.0000000000000000E+000
   56         6.0000000000000000E+000         1.0925008980835919E-001         1.0925003853134226E-001        -3.1790133169911770E-014         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.1126372217911009E+000        -4.6115233955522763E+000        -1.2190990686571552E+000        -9.9000000000000000E+001        -7.6255814678474550E+001         3.4761222309003901E+000        -1.7757601824760418E+000         1.4114079485784038E-002         3.4424950526483182E+000        -1.8450984743008645E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972869E-001         1.1440148971702842E-007         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -4.0186685328331561E-010         7.1539623710261369E-001         5.6127047524381775E-005         2.7025513764620590E-001         9.8725933893439578E-009         1.6897809084247383E-010         0.0000000000000000E+000         2.4965358274896495E-003         3.0304790898738140E-005         7.3728934690870654E-004         6.1088852298652524E-003         5.3917068067913536E-007         1.2391826166311317E-003         3.1227961196012836E-005         5.8956682884653408E-004         6.5265243055921218E-004         3.1309570972067036E-004         6.8535470825433200E-005         3.3346114782182361E-006         1.5846366978204114E-003         5.9287275795016230E+000        -5.2485117903025270E-002        -2.2608060568450887E+000         0.0000000000000000E+000         2.8556935406018064E-001         1.0925003853134226E-001         7.1539623708732591E-001         2.7025513764620590E-001         2.4965358274896491E-003         7.3728934690870643E-004         6.1088852298652524E-003         1.2391826166311317E-003         5.8956682884653408E-004         6.5265243055921218E-004        -1.2190990686571552E+000        -4.9688613063445757E+001        -9.9000000000000000E+001        -9.9000000000000000E+001        -9.9000000000000000E+001        -9.9000000000000000E+001        -9.9000000000000000E+001         4.3405028935825648E+001         0.0000000000000000E+000         4.3802721952141832E+002         2.9931721956273777E+003         1.2561421979147591E-001         1.0767658292407567E+000         0.0000000000000000E+000         9.9998590176023994E-001         2.1902932556525032E-005         3.7100501409411251E+046        -1.0000000000000000E+000
   57         6.0000000000000000E+000         1.1347838873622051E-001         1.1347833431649099E-001        -3.3939893405036428E-014         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.0858932480297949E+000        -4.5654844379322395E+000        -1.1974300519710257E+000        -9.8999999999999986E+001        -6.1087258894369469E+001         3.4776921383783397E+000        -1.7314020693448047E+000         2.4346251410537569E-002         3.4369220335429587E+000        -1.8450984743007908E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972880E-001         1.3175575537246158E-007         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -4.2773167750138274E-010         7.1539604682413949E-001         5.6697882763828632E-005         2.7025513764626435E-001         9.8725933893457065E-009         1.6897809084250371E-010         0.0000000000000000E+000         2.4965358274900915E-003         3.0304790898743503E-005         7.3728934690883707E-004         6.1088852298663340E-003         5.3917068067922683E-007         1.2391826166313420E-003         3.1227961196018135E-005         5.8956682884663415E-004         6.5265243055932288E-004         3.1309570972072343E-004         6.8535470825444828E-005         3.3346114782188023E-006         1.5846366978206801E-003         5.9331468044201046E+000        -6.7611553191212231E-002        -2.3064236455722202E+000         0.0000000000000000E+000         2.7984940270719000E-001         1.1347833431649099E-001         7.1539604680834068E-001         2.7025513764626435E-001         2.4965358274900915E-003         7.3728934690883707E-004         6.1088852298663348E-003         1.2391826166313423E-003         5.8956682884663415E-004         6.5265243055932299E-004        -1.1974300519710257E+000        -4.9463761288313911E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         4.2712907656287371E+001         0.0000000000000000E+000         4.3271036173221984E+002         2.9596053638736703E+003         1.2632968731482014E-001         1.0804296906410151E+000         0.0000000000000000E+000         9.9998477384209283E-001         2.3675936911148761E-005         3.8908149251705244E+046        -1.0000000000000000E+000
   58         6.0000000000000000E+000         1.1769938675590200E-001         1.1769932908546106E-001        -3.5998930905831170E-014         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.0594165736831189E+000        -4.5202334087172442E+000        -1.1766146860420532E+000        -9.8999999999999972E+001        -6.7408702767803632E+001         3.4792583581256435E+000        -1.6880219090802457E+000         3.4452149089267116E-002         3.4315758504259568E+000        -1.8450984743007113E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972869E-001         1.4831603078121427E-007         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -4.5310855741913434E-010         7.1539585626233038E-001         5.7269568007771077E-005         2.7025513764632270E-001         9.8725933893474502E-009         1.6897809084253357E-010         0.0000000000000000E+000         2.4965358274905321E-003         3.0304790898748863E-005         7.3728934690896739E-004         6.1088852298674138E-003         5.3917068067931810E-007         1.2391826166315522E-003         3.1227961196023427E-005         5.8956682884673411E-004         6.5265243055943358E-004         3.1309570972077650E-004         6.8535470825456442E-005         3.3346114782193677E-006         1.5846366978209490E-003         5.9376658099462905E+000        -8.2394115145181523E-002        -2.3515804058197238E+000         0.0000000000000000E+000         2.7413782395268704E-001         1.1769932908546106E-001         7.1539585624605173E-001         2.7025513764632270E-001         2.4965358274905321E-003         7.3728934690896739E-004         6.1088852298674147E-003         1.2391826166315522E-003         5.8956682884673422E-004         6.5265243055943369E-004        -1.1766146860420532E+000        -4.9233803777578785E+001        -9.8999999999999972E+001        -9.8999999999999972E+001        -9.8999999999999972E+001        -9.8999999999999972E+001        -9.8999999999999972E+001         4.2026849667429161E+001         0.0000000000000000E+000         4.2749309448349123E+002         2.9266215502798013E+003         1.2699888621338135E-001         1.0840517321116636E+000         0.0000000000000000E+000         9.9998364813644813E-001         2.5445792236060003E-005         4.0736332374793913E+046        -1.0000000000000000E+000
   59         6.0000000000000000E+000         1.2191030602027217E-001         1.2191024498795726E-001        -3.7968112427532395E-014         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.0331864839379346E+000        -4.4757836739016019E+000        -1.1569208752218614E+000        -9.9000000000000000E+001        -9.6533579973296767E+001         3.4808199688496311E+000        -1.6447967784861337E+000         4.4443972513884815E-002         3.4264223202300812E+000        -1.8450984743006353E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972858E-001         1.6405408891634824E-007         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -4.8022308261273609E-010         7.1539566497123219E-001         5.7843441120096297E-005         2.7025513764638098E-001         9.8725933893491906E-009         1.6897809084256342E-010         0.0000000000000000E+000         2.4965358274909727E-003         3.0304790898754210E-005         7.3728934690909750E-004         6.1088852298684920E-003         5.3917068067940937E-007         1.2391826166317621E-003         3.1227961196028713E-005         5.8956682884683397E-004         6.5265243055954406E-004         3.1309570972082952E-004         6.8535470825468030E-005         3.3346114782199327E-006         1.5846366978212174E-003         5.9422650623903088E+000        -9.6875922009569404E-002        -2.3963296057602195E+000         0.0000000000000000E+000         2.6843762819086586E-001         1.2191024498795726E-001         7.1539566495452345E-001         2.7025513764638098E-001         2.4965358274909727E-003         7.3728934690909750E-004         6.1088852298684920E-003         1.2391826166317618E-003         5.8956682884683397E-004         6.5265243055954406E-004        -1.1569208752218614E+000        -4.8999882596382250E+001        -9.9000000000000000E+001        -9.9000000000000000E+001        -9.9000000000000000E+001        -9.9000000000000000E+001        -9.9000000000000000E+001         4.1343231896320887E+001         0.0000000000000000E+000         4.2232703664521961E+002         2.8938592045424243E+003         1.2770119755729906E-001         1.0876327349559274E+000         0.0000000000000000E+000         9.9998252532731724E-001         2.7211051934322647E-005         4.2584086661024174E+046        -1.0000000000000000E+000
   60         6.0000000000000000E+000         1.2612666476224874E-001         1.2612660024280847E-001        -3.9853773302307369E-014         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.0071402949052208E+000        -4.4320741493520597E+000        -1.1389833403048240E+000        -9.8999999999999986E+001        -9.8999999999999986E+001         3.4823825482650324E+000        -1.6004681496793773E+000         5.4341908199438509E-002         3.4214757224280428E+000        -1.8450984743005638E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972858E-001         1.7898837421501690E-007         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -5.1127236770133119E-010         7.1539547381841162E-001         5.8416899399622410E-005         2.7025513764643933E-001         9.8725933893509359E-009         1.6897809084259325E-010         0.0000000000000000E+000         2.4965358274914133E-003         3.0304790898759563E-005         7.3728934690922782E-004         6.1088852298695718E-003         5.3917068067950074E-007         1.2391826166319717E-003         3.1227961196034012E-005         5.8956682884693382E-004         6.5265243055965465E-004         3.1309570972088259E-004         6.8535470825479658E-005         3.3346114782204976E-006         1.5846366978214859E-003         5.9469777486051481E+000        -1.1105953436950404E-001        -2.4408150721465667E+000         0.0000000000000000E+000         2.6272822197051282E-001         1.2612660024280847E-001         7.1539547380134416E-001         2.7025513764643927E-001         2.4965358274914133E-003         7.3728934690922771E-004         6.1088852298695710E-003         1.2391826166319720E-003         5.8956682884693371E-004         6.5265243055965465E-004        -1.1389833403048240E+000        -4.8760338383597762E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         4.0661401749606107E+001         0.0000000000000000E+000         4.1722450867014697E+002         2.8614084255229536E+003         1.2844648221990246E-001         1.0911809138240685E+000         0.0000000000000000E+000         9.9998140134086433E-001         2.8979066390277561E-005         4.4461599630852627E+046        -1.0000000000000000E+000
   61         6.0000000000000000E+000         1.3033064145363621E-001         1.3033057332612899E-001        -4.1635656042972219E-014         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -9.8129959747087458E-001        -4.3892650111460512E+000        -1.1225286426844048E+000        -9.8999999999999986E+001        -9.8999999999999986E+001         3.4839384896737746E+000        -1.5552515989091922E+000         6.4150374099128563E-002         3.4166644568153854E+000        -1.8450984743004843E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972869E-001         1.9293490676655910E-007         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -5.4666303633602493E-010         7.1539528110294603E-001         5.8995045614718545E-005         2.7025513764649745E-001         9.8725933893526746E-009         1.6897809084262298E-010         0.0000000000000000E+000         2.4965358274918531E-003         3.0304790898764896E-005         7.3728934690935749E-004         6.1088852298706465E-003         5.3917068067959191E-007         1.2391826166321812E-003         3.1227961196039277E-005         5.8956682884703346E-004         6.5265243055976480E-004         3.1309570972093539E-004         6.8535470825491218E-005         3.3346114782210609E-006         1.5846366978217535E-003         5.9517429822726253E+000        -1.2501589317269551E-001        -2.4849898599594598E+000         0.0000000000000000E+000         2.5703176228493357E-001         1.3033057332612899E-001         7.1539528108559547E-001         2.7025513764649745E-001         2.4965358274918531E-003         7.3728934690935749E-004         6.1088852298706465E-003         1.2391826166321810E-003         5.8956682884703335E-004         6.5265243055976480E-004        -1.1225286426844048E+000        -4.8518552202476840E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         3.9972890404430480E+001         0.0000000000000000E+000         4.1205767313075330E+002         2.8283075462892002E+003         1.2924076678922325E-001         1.0946859637229529E+000         0.0000000000000000E+000         9.9998028080440893E-001         3.0741492779556211E-005         4.6361168235986245E+046        -1.0000000000000000E+000
   62         6.0000000000000000E+000         1.3454330371357467E-001         1.3454323183639913E-001        -4.3311861973230137E-014         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -9.5552665905907674E-001        -4.3472534076148275E+000        -1.1077810016232674E+000        -9.8999999999999972E+001        -9.8999999999999972E+001         3.4854965517993413E+000        -1.5083249390343549E+000         7.3920719053892581E-002         3.4119600221703523E+000        -1.8450984743004084E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972858E-001         2.0582749159010296E-007         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -5.8830315795729572E-010         7.1539508644032279E-001         5.9579033301929905E-005         2.7025513764655579E-001         9.8725933893544150E-009         1.6897809084265281E-010         0.0000000000000000E+000         2.4965358274922937E-003         3.0304790898770246E-005         7.3728934690948770E-004         6.1088852298717255E-003         5.3917068067968317E-007         1.2391826166323911E-003         3.1227961196044569E-005         5.8956682884713321E-004         6.5265243055987539E-004         3.1309570972098841E-004         6.8535470825502833E-005         3.3346114782216255E-006         1.5846366978220219E-003         5.9565851748412388E+000        -1.3881271392744760E-001        -2.5290588424523492E+000         0.0000000000000000E+000         2.5131968473923610E-001         1.3454323183639913E-001         7.1539508642278149E-001         2.7025513764655573E-001         2.4965358274922937E-003         7.3728934690948759E-004         6.1088852298717255E-003         1.2391826166323909E-003         5.8956682884713310E-004         6.5265243055987539E-004        -1.1077810016232674E+000        -4.8273434050847200E+001        -9.8999999999999972E+001        -9.8999999999999972E+001        -9.8999999999999972E+001        -9.8999999999999972E+001        -9.8999999999999972E+001         3.9269828897601741E+001         0.0000000000000000E+000         4.0674769406481215E+002         2.7939762795305905E+003         1.3000734928592045E-001         1.0981626045535053E+000         0.0000000000000000E+000         9.9997915815737337E-001         3.2506331536514195E-005         4.8297013758870514E+046        -1.0000000000000000E+000
