#Coma berenice lithium
# Ford et al 2001. table 2
#Upper_lim 1 is upper limit
# EW is deblended (subtracting iron) and in mA

Object,V,B-V,B-V_err,EW,EW_err,Teff,Upper Lim,Status
BD+16 2505,9.62,0.658,0.036,7.00,0.00,5683.00,1.00,NM
BD+21 2514(*),10.12,0.75,0.041,31.10,1.70,5427.00,0.00,
BD+21 2514,10.12,0.75,0.041,44.10,0.00,5427.00,0.00,
BD+25 2631,10.48,0.85,0.086,3.50,0.00,5170.00,1.00,NM
HD 111878,8.87,0.55,0.015,77.10,0.00,6091.00,0.00,
Tr 12,9.54,0.62,0.002,72.50,0.00,5808.00,0.00,
Ta 13,10.51,0.77,0.017,25.00,1.00,5358.00,0.00,
Tr 102,9.36,0.59,0.005,49.70,0.00,5917.00,0.00,SB1
Ta 20,10.78,0.89,0.01,6.00,0.00,5070.00,1.00,
Tr 86,8.50,0.46,0.01,37.80,0.00,6391.00,0.00,
BD+28 2119,10.50,0.79,0.02,28.80,1.00,5316.00,0.00,
Tr 192,9.07,0.57,0.03,69.80,1.70,6003.00,0.00,
Tr 141,9.72,0.71,0.06,45.00,1.20,5616.00,0.00,
HD 114400,9.59,0.61,0.03,57.20,0.00,5866.00,0.00,
HIP 61205,9.71,0.63,0.01,67.40,0.00,5786.00,0.00,
BD+36 2312,10.47,0.86,0.01,3.00,0.00,5142.00,1.00,NM
BD+38 2436,9.10,0.54,0.01,80.70,2.00,6112.00,0.00,
Ta 3,10.77,0.85,0.01,5.80,0.00,5167.00,1.00,NM
Ta 19,11.18,0.82,0.01,5.60,0.00,5240.00,1.00,NM
Ta 21,10.36,0.81,0.01,15.00,2.00,5265.00,0.00,SB1?
Tyc 2534 1715 1,10.42,0.80,0.08,4.40,0.00,5298.00,1.00,NM
