#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-02-13T00:26:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56be77f60b5d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+A/541/A150/table2
#-nav=cat:J/A+A/541/A150&tab:{J/A+A/541/A150/table2}&key:source=J/A+A/541/A150/table2&HTTPPRM:&&-ref=VIZ56be77f60b5d&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=vB&-out=Vmag&-out=r_Vmag&-out=B-V&-out=Teff&-out=logg&-out=Mass&-out=l_EW&-out=EW&-out=e_EW&-out=r_EW&-out=l_A&-out=A&-out=e_A&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/541/A150/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/541/A150/table2
#-order=I
#-out=vB
#-out=Vmag
#-out=r_Vmag
#-out=B-V
#-out=Teff
#-out=logg
#-out=Mass
#-out=l_EW
#-out=EW
#-out=e_EW
#-out=r_EW
#-out=l_A
#-out=A
#-out=e_A
#-out=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_35410150
#Name: J/A+A/541/A150
#Title: Lithium in M67 and Hyades (Pace+, 2012)
#Table	J_A_A_541_A150_table2:
#Name: J/A+A/541/A150/table2
#Title: Photometry, lithium abundances and parameters in the Hyades
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	vB	(I3)	vanBueren identification number (1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	r_Vmag	(A1)	Reference flag for the photometry (3)	[ucd=meta.ref;pos.frame]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Logarithm of the surface gravity	[ucd=phys.gravity]
#Column	Mass	(F6.3)	Mass, in solar masses	[ucd=phys.mass]
#Column	l_EW	(A1)	Limit flag on EW (upper limit)	[ucd=meta.code.error;spect.line.eqWidth]
#Column	EW	(F5.1)	Equivalent width of the lithium line	[ucd=spect.line.eqWidth]
#Column	e_EW	(I2)	? Error in the equivalent width [NULL integer written as an empty string]	[ucd=stat.error;spect.line.eqWidth]
#Column	r_EW	(A2)	Reference flag for the EW measurement (2)	[ucd=meta.ref;spect.line.eqWidth]
#Column	l_A	(A1)	Limit flag on A (upper limit)	[ucd=meta.code.error]
#Column	A	(F5.2)	Lithium abundance	[ucd=phys.abund]
#Column	e_A	(F5.2)	? Error in the lithium abundance	[ucd=stat.error]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=meta.ref]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;vB;Vmag;r_Vmag;B-V;Teff;logg;Mass;l_EW;EW;e_EW;r_EW;l_A;A;e_A;Simbad;_RA;_DE
deg;deg; ;mag; ;mag;K;[cm/s2];Msun; ;0.1pm;0.1pm; ; ; ; ; ;deg;deg
---------;---------;---;-----;-;------;----;-----;------;-;-----;--;--;-;-----;-----;------;---------;---------
049.38659;+07.69015;  2; 7.78;B; 0.617;5916; 4.36; 1.140; ; 89.0; 2; T; ; 2.73; 0.03;Simbad;049.38659;+07.69015
052.62680;+20.10327;  3; 8.88;B; 0.848;5099; 4.48; 0.847;<; 25.0;  ; D;<; 1.37;     ;Simbad;052.62680;+20.10327
053.20866;+23.69218;  4; 5.97;B; 0.341;6897; 3.99; 1.524;<;  3.0;  ; T;<; 1.79;     ;Simbad;053.20866;+23.69218
058.29186;+17.32708;  6; 5.95;J; 0.348;6861; 3.96; 1.513; ; 54.8; 3;BB; ; 3.10; 0.04;Simbad;058.29186;+17.32708
059.91874;+10.33039;  8; 6.37;B; 0.419;6544; 4.02; 1.411;<;  4.0;  ;BB;<; 1.69;     ;Simbad;059.91874;+10.33039
061.56720;+15.69812; 10; 7.85;B; 0.589;6000; 4.42; 1.182; ; 82.0; 2; T; ; 2.74; 0.03;Simbad;061.56720;+15.69812
062.67652;+18.42325; 13; 6.62;B; 0.420;6542; 4.12; 1.410;<;  5.0;  ;BT;<; 1.79;     ;Simbad;062.67652;+18.42325
062.83451;+05.52305; 14; 5.73;B; 0.355;6825; 3.87; 1.502; ; 65.0; 3;BT; ; 3.18; 0.04;Simbad;062.83451;+05.52305
063.63465;+23.57494; 15; 8.09;B; 0.658;5703; 4.39; 1.037; ; 57.0; 2; T; ; 2.32; 0.03;Simbad;063.63465;+23.57494
063.60688;+14.62503; 17; 8.46;B; 0.696;5539; 4.47; 0.971; ; 42.0; 2; T; ; 2.03; 0.05;Simbad;063.60688;+14.62503
063.61356;+12.43532; 18; 8.06;B; 0.638;5779; 4.41; 1.072; ; 74.0; 2; T; ; 2.52; 0.04;Simbad;063.61356;+12.43532
063.64308;+10.70138; 19; 7.14;B; 0.512;6231; 4.22; 1.290; ; 82.4; 3;BB; ; 2.91; 0.03;Simbad;063.64308;+10.70138
063.94285;+15.40070; 20; 6.32;B; 0.399;6624; 4.03; 1.438; ; 87.6; 3;BB; ; 3.21; 0.03;Simbad;063.94285;+15.40070
064.13949;+21.90747; 21; 9.15;B; 0.816;5207; 4.63; 0.872;<;  3.0;  ;Ra;<; 0.58;     ;Simbad;064.13949;+21.90747
064.74157;+19.90670; 26; 8.63;B; 0.743;5437; 4.51; 0.936; ; 13.0; 2; T; ; 1.39; 0.07;Simbad;064.74157;+19.90670
064.78337;+17.52475; 27; 8.46;B; 0.715;5506; 4.46; 0.960; ; 23.0; 2; T; ; 1.72; 0.04;Simbad;064.78337;+17.52475
065.05403;+19.23348; 31; 7.47;B; 0.566;6067; 4.29; 1.215; ; 95.0; 2; T; ; 2.88; 0.02;Simbad;065.05403;+19.23348
065.38445;+18.41758; 36; 6.80;B; 0.441;6463; 4.17; 1.382; ;  5.9; 3;BT; ; 1.81; 0.18;Simbad;065.38445;+18.41758
065.39498;+14.40979; 37; 6.61;B; 0.405;6600; 4.14; 1.430; ; 10.3; 3;BT; ; 2.14; 0.12;Simbad;065.39498;+14.40979
065.51466;+14.07720; 38; 5.72;B; 0.320;7019; 3.93; 1.560; ; 19.6; 3;BT; ; 2.70; 0.14;Simbad;065.51466;+14.07720
065.84304;+21.37910; 42; 8.86;B; 0.759;5414; 4.59; 0.929; ; 11.0; 2; T; ; 1.30; 0.08;Simbad;065.84304;+21.37910
065.87667;+24.40540; 44; 7.19;B; 0.450;6433; 4.31; 1.371; ; 20.4; 3;BT; ; 2.34; 0.07;Simbad;065.87667;+24.40540
065.88471;+14.67048; 46; 9.11;B; 0.867;5028; 4.55; 0.832;<;  4.0;  ; T;<; 0.55;     ;Simbad;065.88471;+14.67048
066.06073;+21.73624; 48; 7.14;B; 0.521;6203; 4.21; 1.278; ; 91.0; 2; T; ; 2.95; 0.02;Simbad;066.06073;+21.73624
