#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T13:46:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0b8d99052c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+A/612/A99/ic2391
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ic2391}&key:source=J/A+A/612/A99/ic2391&HTTPPRM:&&-ref=VIZ5d0b8d99052c&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ic2391
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/612/A99/ic2391
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ic2391:
#Name: J/A+A/612/A99/ic2391
#Title: Parameters for IC2391
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
deg;deg; ; ; ;K;K;[cm/s2];[cm/s2];[-];[-]; ;[0.1pm];[0.1pm]; ; ; ;km/s;km/s; ; ; ;deg;deg
-----------;-----------;----------------;-------;-------;-----;----;--------;--------;--------;--------;-;--------;--------;----;--------;--------;--------;--------;------;------;----;---------;---------
128.9396250;-53.2567222;08354551-5315242; IC2391;   UVES; 4667;    ;   4.510;        ;  -0.070;        ; ;  10.500;        ;   0;        ;        ;   6.979;   0.400;      ;      ;   1;128.93962;-53.25672
129.2290833;-53.1428333;08365498-5308342; IC2391;   UVES; 5379;  49;   4.461;   0.048;  -0.077;   0.013; ; 218.900;        ;   0;        ;        ;  15.145;   0.400; 0.973;      ;   2;129.22908;-53.14283
129.2941250;-53.2592778;08371059-5315334; IC2391;   UVES; 9500;2000;   3.778;   1.000;  -0.023;        ; ;        ;        ;    ;        ;        ;  13.362;   0.400; 0.934;      ;   3;129.29412;-53.25928
129.5988750;-52.9589444;08382373-5257322; IC2391;   UVES; 4742;  74;   4.290;   0.381;  -0.023;   0.063; ;  43.000;        ;   0;        ;        ;  19.892;   0.400;      ;      ;   4;129.59887;-52.95894
129.6866667;-53.0903611;08384480-5305253; IC2391;   UVES;11800;2000;   3.981;   1.000;        ;        ; ;        ;        ;    ;        ;        ;  30.419;   0.400; 0.192;      ;   5;129.68667;-53.09036
129.7113750;-52.4272778;08385073-5225382; IC2391;   UVES; 7047;    ;   4.060;        ;  -0.080;        ; ;   6.700;        ;   0;        ;        ;  22.288;   0.400; 0.355;      ;   6;129.71137;-52.42728
129.7310417;-52.3775278;08385545-5222391; IC2391;   UVES; 4702;  19;   2.531;   0.056;   0.040;   0.038;<;  32.100;        ;   3;   1.022;   0.001;   1.445;   0.400;      ;      ;   7;129.73104;-52.37753
129.7319167;-52.9643333;08385566-5257516; IC2391;   UVES; 6050;    ;   4.509;        ;  -0.318;        ; ;  86.400;        ;    ;        ;        ;  44.496;   0.400; 0.066;      ;   8;129.73192;-52.96433
129.8174167;-53.2801667;08391618-5316486; IC2391;   UVES; 5786;    ;   4.564;        ;  -0.389;        ; ;  23.200;        ;    ;        ;        ;-536.069;   0.400;      ;      ;   9;129.81742;-53.28017
129.8217917;-52.3065556;08391723-5218236; IC2391;   UVES; 5121;  21;   2.841;   0.020;  -0.025;   0.026; ;  22.600;        ;   0;        ;        ;  11.692;   0.400;      ;      ;  10;129.82179;-52.30656
129.8245417;-53.2848611;08391789-5317055; IC2391;   UVES; 8981;2000;   3.358;   1.000;  -0.383;        ; ;        ;        ;    ;        ;        ;  32.393;   0.400; 0.126;      ;  11;129.82454;-53.28486
129.8358333;-52.5798611;08392060-5234475; IC2391;   UVES; 6322;    ;   3.870;        ;  -0.030;        ; ;   4.000;        ;   0;        ;        ;  -0.093;   0.400; 0.146;      ;  12;129.83583;-52.57986
129.8493333;-53.4397500;08392384-5326231; IC2391;   UVES;15000;2000;   4.008;   1.000;  -0.322;        ; ;        ;        ;    ;        ;        ;  25.141;   0.400; 0.328;      ;  13;129.84933;-53.43975
129.8956667;-53.3160278;08393496-5318577; IC2391;   UVES; 5124;    ;   4.440;        ;  -0.583;        ; ;   7.100;        ;    ;        ;        ;  25.537;   0.400;      ;      ;  14;129.89567;-53.31603
129.8989167;-53.7252778;08393574-5343310; IC2391;   UVES; 5615; 129;   4.063;   0.247;  -0.010;   0.028; ;  34.900;        ;   0;        ;        ;  50.674;   0.400;      ;      ;  15;129.89892;-53.72528
129.9117083;-53.1686389;08393881-5310071; IC2391;   UVES; 5803;    ;   4.494;        ;   0.287;        ; ;  85.000;        ;    ;        ;        ; -23.534;   0.400;      ;      ;  16;129.91171;-53.16864
129.9293333;-52.9641667;08394304-5257510; IC2391;   UVES; 6732;    ;   4.090;        ;  -0.050;        ; ;  87.700;        ;   0;        ;        ;  22.285;   0.400; 0.361;      ;  17;129.92933;-52.96417
129.9973750;-53.2609444;08395937-5315394; IC2391;   UVES; 8652;2000;   2.881;   1.000;  -1.500;        ; ;        ;        ;    ;        ;        ;  16.129;   0.400;      ;      ;  18;129.99737;-53.26094
130.0068333;-52.7035000;08400164-5242126; IC2391;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  19;130.00683;-52.70350
130.0084583;-52.8112222;08400203-5248404; IC2391;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  20;130.00846;-52.81122
130.0126250;-53.8517778;08400303-5351064; IC2391;   UVES; 7228;    ;   4.060;        ;  -0.140;        ; ;   3.500;        ;   0;        ;        ;  14.939;   0.400; 0.973;      ;  21;130.01262;-53.85178
