#																			
#   VizieR Astronomical Server vizier.u-strasbg.fr																			
#    Date: 2019-08-16T00:14:18 [V1.99+ (14-Oct-2013)]																			
"#   In case of problem, please report to:"""	cds-question@unistra.fr																		
#																			
#																			
#Coosys	J2000:	eq_FK5 J2000																	
#INFO	votable-version=1.99+ (14-Oct-2013)																		
#INFO	#NAME?																		
#INFO	#NAME?																		
#INFO	queryParameters=23																		
#-oc.form=dec																			
#-out.max=unlimited																			
"#-out.add=_RAJ,_DEJ"																			
#-order=I																			
#-out.src=J/A+A/616/A108/catalog																			
"#-nav=cat:J/A+A/616/A108&tab:{J/A+A/616/A108/catalog}&key:source=J/A+A/616/A108&HTTPPRM:&&-ref=VIZ5d55f2d52991&-out.max=50&-out.form=HTML Table&-out.add=_RAJ,_DEJ&-oc.form=dec&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Seq&-out=Name&-out=SpType&-out=B-V&-out=VMAG&-out=Plx&-out=Smean&-out=Smed&-out=logRpHK&-out=SimbadName&-out=_RA&-sort=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/616/A108/catalog"																			
#-c.eq=J2000																			
#-c.r=  2																			
#-c.u=arcmin																			
#-c.geom=r																			
#-source=J/A+A/616/A108/catalog																			
#-out=Seq																			
#-out=Name																			
#-out=SpType																			
#-out=B-V																			
#-out=VMAG																			
#-out=Plx																			
#-out=Smean																			
#-out=Smed																			
#-out=logRpHK																			
#-out=SimbadName																			
#-out=_RA																			
#-out=_DE																			
#RESOURCE=yCat_36160108																			
#Name: J/A+A/616/A108																			
"#Title: Cool stars cChromospheric activity catalog (Boro Saikia+, 2018)"																			
#Table	J_A_A_616_A108_catalog:																		
#Name: J/A+A/616/A108/catalog																			
#Title: Chromospheric activity and stellar parameters																			
#Column	_RAJ2000	(F11.7)	"Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)"	[ucd=pos.eq.ra]															
#Column	_DEJ2000	(F11.7)	"Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)"	[ucd=pos.eq.dec]															
#Column	Seq	(I4)	[0/6961] Sequential number	[ucd=meta.record]															
#Column	Name	(A9)	Name	[ucd=meta.id;meta.main]															
#Column	SpType	(a20)	MK spectral type	[ucd=src.spType]															
#Column	B-V	(F14.11)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]															
#Column	VMAG	(F15.12)	Absolute V magnitude	[ucd=phys.magAbs;em.opt.V]															
#Column	Plx	(F6.2)	? Parallax	[ucd=pos.parallax]															
#Column	Smean	(F17.13)	? Mean S-index	[ucd=phot.flux;arith.ratio]															
#Column	Smed	(F17.13)	? Median S-index	[ucd=phot.flux;arith.ratio]															
#Column	logRpHK	(F14.11)	? R'HK index	[ucd=phot.flux;arith.ratio]															
#Column	SimbadName	(a16)	Simbad column added by the CDS	[ucd=meta.id]															
#Column	_RA	(F9.5)	Explain (right ascension part)	[ucd=pos.eq.ra;meta.main]															
#Column	_DE	(F9.5)	Explain (declination part)	[ucd=pos.eq.dec;meta.main]															
