# 
# VizieR Astronomical Server vizier.cfa.harvard.edu
# Date: 2016-02-13T00:32:03 [V1.99+ (14-Oct-2013)]
# In case of problem, please report to:	cds-question@unistra.fr
# 
# 
# Coosys	J2000:	eq_FK5 J2000
# INFO	votable-version=1.99+ (14-Oct-2013)
# INFO	-ref=VIZ56be79032983
# INFO	-out.max=99999
# INFO	queryParameters=23
# -oc.form=dec
# -out.max=99999
# -order=I
# -out.src=J/AJ/149/119/table3
# -nav=cat:J/AJ/149/119&tab:{J/AJ/149/119/table3}&key:source=J/AJ/149/119&HTTPPRM:&&-ref=VIZ56be79032983&-out.max=99999&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=2MASS&-out=RAJ2000&-out=DEJ2000&-out=<HRV>&-out=e_<HRV>&-out=Nobs&-out=EW&-out=SpT&-out=K-3.6&-out=3.6-4.5&-out=F06&-out=2M&-ignore=2M=*&2M=2M&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/149/119/table3
# -c.eq=J2000
# -c.r=  2
# -c.u=arcmin
# -c.geom=r
# -source=J/AJ/149/119/table3
# -order=I
# -out=2MASS
# -out=RAJ2000
# -out=DEJ2000
# -out=<HRV>
# -out=e_<HRV>
# -out=Nobs
# -out=EW
# -out=SpT
# -out=K-3.6
# -out=3.6-4.5
# -out=F06
# -out=2M
# 
# RESOURCE=yCat_51490119
# Name: J/AJ/149/119
# Title: Radial velocities of stars in NGC 2264 (Tobin+, 2015)
# Table	J_AJ_149_119_table3:
# Name: J/AJ/149/119/table3
# Title: Velocity summary
# Column	2MASS	(A14)	Internal source name (HHMMSSs+DDMMSS, J2000)	[ucd=meta.id;meta.main]
# Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
# Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
# Column	<HRV>	(F7.2)	[-108/235] Mean Heliocentric Radial Velocity (1)	[ucd=spect.dopplerVeloc;stat.mean]
# Column	e_<HRV>	(F5.2)	Uncertainty in HRV	[ucd=stat.error]
# Column	Nobs	(I2)	[2/14] Number of observations (epochs) (2)	[ucd=meta.number]
# Column	EW	(F6.2)	? Lithium 6707{AA} Equivalent Width	[ucd=spect.line.eqWidth]
# Column	SpT	(F5.1)	[61/77.2]? Numerical spectral type (3)	[ucd=src.spType]
# Column	K-3.6	(F6.2)	[-23/22]? The Ks-[3.6] color index (4)	[ucd=phot.color;em.IR.K;em.IR.3-4um]
# Column	3.6-4.5	(F6.2)	[-22/22]? The [3.6]-[4.5] color index (4)	[ucd=phot.color;em.IR.3-4um;em.IR.4-8um]
# Column	F06	(I3)	Source from Furesz et al. 2006 (cat. J/ApJ/648/1090) within 1.5'' [NULL integer written as an empty string]	[ucd=meta.ref.url]
# Column	2M	(A2)	Display the 2MASS data (Cutri et al. 2003, Cat. II/246)	[ucd=meta.ref.url]
2MASS;RAJ2000;DEJ2000;<HRV>;e_<HRV>;Nobs;EW;SpT;K-3.6;3.6-4.5;F06;2M
N/A;h:m:s;d:m:s;km/s;km/s;N/;0.1nm;-999;mag;mag;N/A;N/
--------------;-----------;-----------;-------;-----;--;------;-----;------;------;---;--
0639037+094023;06 39 03.75;+09 40 23.4;5.32;0.13;4;-999;-999;N/A;N/A;1;2M
0639152+093937;06 39 15.25;+09 39 37.8;29.88;0.24;7;-999;-999;N/A;N/A;1;2M
0639153+095303;06 39 15.37;+09 53 03.6;102.33;0.95;3;-999;-999;N/A;N/A;0;2M
0639155+092444;06 39 15.55;+09 24 44.8;10.94;0.07;2;-999;-999;N/A;N/A;0;2M
0639156+093912;06 39 15.63;+09 39 13.0;1.43;0.42;9;-999;-999;N/A;N/A;1;2M
0639157+092929;06 39 15.70;+09 29 29.4;18.65;0.02;3;-999;-999;N/A;N/A;1;2M
0639163+091953;06 39 16.37;+09 19 53.3;50.59;0.05;3;-999;-999;N/A;N/A;1;2M
0639164+093116;06 39 16.45;+09 31 16.1;1.63;0.11;2;-999;-999;N/A;N/A;0;2M
0639166+100055;06 39 16.62;+10 00 55.3;-15.80;0.06;2;-999;-999;N/A;N/A;0;2M
0639168+091741;06 39 16.85;+09 17 41.0;41.96;0.12;2;-999;-999;N/A;N/A;0;2M
0639172+093052;06 39 17.25;+09 30 52.9;2.87;0.17;2;-999;-999;N/A;N/A;0;2M
0639174+092137;06 39 17.43;+09 21 37.8;23.83;0.27;5;-999;-999;N/A;N/A;1;2M
0639174+092537;06 39 17.43;+09 25 37.9;15.92;0.16;2;-999;-999;N/A;N/A;0;2M
0639175+095314;06 39 17.50;+09 53 14.8;1.47;0.42;2;-999;-999;N/A;N/A;0;2M
0639176+093326;06 39 17.68;+09 33 26.4;67.09;0.20;2;-999;-999;N/A;N/A;0;2M
0639179+091822;06 39 17.97;+09 18 22.6;39.78;0.01;2;-999;-999;N/A;N/A;0;2M
0639180+092957;06 39 18.06;+09 29 57.5;80.57;0.28;2;-999;-999;N/A;N/A;0;2M
0639180+094115;06 39 18.02;+09 41 15.4;46.02;0.31;2;-999;-999;N/A;N/A;0;2M
0639185+094250;06 39 18.54;+09 42 50.4;48.01;0.30;2;-999;-999;N/A;N/A;0;2M
0639186+094752;06 39 18.67;+09 47 52.3;128.27;4.50;2;-999;-999;N/A;N/A;0;2M
0639189+093105;06 39 18.98;+09 31 05.5;21.90;0.09;2;-999;-999;N/A;N/A;0;2M
0639189+094222;06 39 18.97;+09 42 22.9;26.30;0.20;2;-999;-999;N/A;N/A;0;2M
0639190+092100;06 39 19.09;+09 21 00.0;31.14;0.17;2;-999;-999;N/A;N/A;0;2M
0639191+092743;06 39 19.19;+09 27 43.6;50.19;0.37;2;-999;-999;N/A;N/A;0;2M
0639192+095135;06 39 19.21;+09 51 35.6;20.82;0.01;2;-999;-999;N/A;N/A;0;2M
0639196+092856;06 39 19.60;+09 28 56.0;53.08;0.05;2;-999;-999;N/A;N/A;0;2M
0639196+093111;06 39 19.60;+09 31 11.8;1.17;0.39;2;-999;-999;N/A;N/A;0;2M
0639197+092650;06 39 19.70;+09 26 50.2;34.87;0.01;2;-999;-999;N/A;N/A;0;2M
