#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T15:31:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0ba5a703f5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ngc2547}&key:source=J/A+A/612/A99/ic4665&HTTPPRM:&&-ref=VIZ5d0ba5a703f5&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ngc2451&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+A/612/A99/ngc2547
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#-out.src=J/A+A/612/A99/ngc2451
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ngc2547:
#Name: J/A+A/612/A99/ngc2547
#Title: Parameters for NGC2547
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
 ; ; ;K;K;[cm/s2];[cm/s2];[-];[-]; ;[0.1pm];[0.1pm]; ; ; ;km/s;km/s; ; ; ;deg;deg
----------------;-------;-------;-----;----;--------;--------;--------;--------;-;--------;--------;----;--------;--------;--------;--------;------;------;----;---------;---------
08074522-4912215;NGC2547;   UVES; 5794;  34;   4.410;   0.014;  -0.064;   0.035; ;  92.600;        ;   0;        ;        ;  -3.433;   0.400;      ;      ;   1;121.93842;-49.20597
08074892-4917421;NGC2547;   UVES; 4875;  58;   3.322;   0.129;   0.256;   0.056;<;  33.200;        ;   3;   1.003;   0.003;  16.638;   0.400;      ;      ;   2;121.95383;-49.29503
08080667-4911212;NGC2547;   UVES; 6189;  94;   4.091;   0.051;   0.108;   0.077; ;  18.400;        ;   0;        ;        ;  62.083;   0.400; 0.081; 0.026;   3;122.02779;-49.18922
08080817-4913590;NGC2547;   UVES; 6167;  32;   3.877;   0.018;   0.156;   0.019;<;  23.900;        ;   3;   0.998;   0.002;  10.336;   0.400; 0.768; 0.025;   4;122.03404;-49.23306
08081564-4908244;NGC2547;   UVES; 5578;    ;   4.290;        ;  -0.493;        ; ;  30.100;        ;    ;   0.996;        ; 121.307;   0.400;      ;      ;   5;122.06517;-49.14011
08084225-4915153;NGC2547;   UVES; 5069;   8;   3.235;   0.010;  -0.118;   0.027; ;  38.200;        ;   0;   1.009;   0.002;  48.105;   0.400;      ;      ;   6;122.17604;-49.25425
08084571-4923473;NGC2547;   UVES; 8550;  50;   3.100;   0.200;  -0.100;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;   7;122.19046;-49.39647
08084975-4924561;NGC2547;   UVES; 6284;  53;   3.870;   0.064;  -0.250;   0.006;<;  12.600;        ;   3;   1.002;   0.002;   6.764;   0.400; 0.482; 0.033;   8;122.20729;-49.41558
08085790-4854189;NGC2547;   UVES; 6377; 109;   4.246;   0.098;   0.278;   0.048; ;  16.100;        ;   0;        ;        ;  20.383;   0.400; 0.091; 0.805;   9;122.24125;-48.90525
08085860-4908550;NGC2547;   UVES; 5032;  41;   2.681;   0.071;  -0.251;   0.066;<;  19.700;        ;   3;   1.013;   0.002;  42.809;   0.400;      ;      ;  10;122.24417;-49.14861
08090250-4858172;NGC2547;   UVES; 5732;   5;   4.569;   0.109;   0.047;   0.053; ; 196.700;   6.223;   0;   0.992;   0.002;  23.629;   0.400; 0.096; 0.746;  11;122.26042;-48.97144
08091307-4925401;NGC2547;   UVES; 5234;    ;   4.520;        ;  -0.080;        ; ; 281.900;   8.676;   0;   0.986;   0.003;  14.093;   0.400; 0.981; 0.004;  12;122.30446;-49.42781
08091673-4850384;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  13;122.31971;-48.84400
08092276-4916309;NGC2547;   UVES; 5307;  78;   4.434;   0.152;  -0.080;   0.014; ; 226.833;   3.430;   0;   0.988;   0.002;  12.886;   0.400; 0.985; 0.003;  14;122.34483;-49.27525
08092293-4907575;NGC2547;   UVES; 6294; 101;   4.490;   0.184;   0.002;   0.029; ; 121.500;   4.590;   0;   0.997;   0.001;  13.341;   0.400; 0.978; 0.005;  15;122.34554;-49.13264
08092668-4914371;NGC2547;   UVES; 7800;  50;   4.200;   0.200;  -0.100;   0.100; ;        ;        ;    ;        ;        ;  12.707;   0.400; 0.985; 0.003;  16;122.36117;-49.24364
08093053-4921563;NGC2547;   UVES; 7600;  50;   2.500;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;  13.559;   0.400; 0.970; 0.009;  17;122.37721;-49.36564
08093671-4911383;NGC2547;   UVES;11100;2000;   4.570;   1.000;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  18;122.40296;-49.19397
08093815-4918404;NGC2547;   UVES; 8050;  50;   4.200;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;  10.852;   0.400; 0.906; 0.015;  19;122.40896;-49.31122
08094083-4923503;NGC2547;   UVES; 5658;    ;   4.420;        ;   0.040;        ; ; 238.500;   2.550;   0;   0.995;   0.002;  12.306;   0.400; 0.921; 0.025;  20;122.42012;-49.39731
