#NGC_3680 Lithium
#Anthony-Twarog et al 2009 Table 2
# Abundances from Detected Lithium Lines
# EW' is corrected for iron line at 6708 A. Must read EW second column then
#sigma_EW = s_EW
# UL of 1 indicates Upper Limit Lithium Abundances
# Te = 8575 - 5222.7*BV + 1380.92*BV^2 + 701.7*BV*(-.08 - .15) taking smaller root
# 0 = 1380.92*BV*BV - 5384.091*BV + 8575 - Te
# c = 8575 - Te
# BV = (5384.091 - np.sqrt(5384.091*5384.091 - 4*1380.92*c)) / (2*1380.92)
UL,KGP,Temp.,EW,EW',s_EW,A(Li),sigma_A,S/N_per_pixel,FWHM
0.00,873.00,5659.00,76.40,69.90,11.70,2.34,0.10,42.00,0.53
0.00,936.00,6707.00,94.30,94.30,5.30,3.41,0.04,139.00,1.18
0.00,952.00,6515.00,108.90,108.00,7.10,3.37,0.05,77.00,0.66
0.00,983.00,5879.00,36.90,32.00,8.00,2.13,0.13,46.00,0.30
0.00,1035.00,6694.00,84.10,84.10,5.40,3.33,0.04,132.00,1.10
0.00,1050.00,6098.00,59.70,56.20,9.20,2.63,0.09,58.00,0.62
0.00,1097.00,6063.00,70.40,66.70,6.60,2.70,0.06,84.00,0.68
0.00,1138.00,6746.00,65.60,65.60,7.00,3.22,0.06,110.00,1.30
0.00,1168.00,6703.00,54.00,54.00,6.30,3.08,0.06,107.00,0.99
0.00,1175.00,4606.00,86.20,71.20,3.20,1.02,0.03,163.00,0.58
0.00,1192.00,6545.00,50.80,50.10,7.80,2.93,0.09,68.00,0.62
0.00,1194.00,6763.00,46.10,46.10,3.50,3.03,0.04,133.00,0.47
0.00,1197.00,6419.00,46.10,44.70,4.80,2.77,0.06,112.00,0.64
0.00,1207.00,6432.00,120.70,119.30,7.40,3.38,0.05,89.00,0.95
0.00,1261.00,4892.00,44.40,32.00,2.50,0.98,0.04,209.00,0.59
0.00,1274.00,6244.00,51.60,49.10,6.60,2.68,0.07,66.00,0.42
0.00,1286.00,4808.00,34.70,21.60,2.20,0.50,0.10,233.00,0.59
0.00,1319.00,6746.00,70.60,70.60,5.40,3.26,0.05,124.00,0.99
0.00,1324.00,6424.00,74.60,73.20,9.60,3.05,0.08,77.00,1.20
0.00,1350.00,6519.00,28.70,27.90,6.70,2.61,0.12,69.00,0.47
0.00,1352.00,5404.00,104.80,96.50,24.90,2.26,0.17,21.00,0.60
0.00,1365.00,6729.00,62.80,62.80,4.10,3.18,0.04,138.00,0.69
0.00,1374.00,4662.00,92.20,77.80,10.20,1.15,0.08,56.00,0.72
0.00,1376.00,6557.00,18.10,17.50,4.30,2.41,0.12,114.00,0.52
0.00,1404.00,4649.00,85.70,71.20,2.30,1.09,0.02,225.00,0.61
0.00,1405.00,6651.00,50.30,50.20,5.10,3.00,0.05,113.00,0.72
0.00,1454.00,6557.00,42.60,42.00,4.40,2.84,0.06,136.00,0.80
0.00,1461.00,4672.00,35.60,21.30,0.00,0.40,0.10,225.00,0.51
0.00,1522.00,6448.00,47.30,46.00,8.60,2.81,0.10,74.00,0.88
0.00,1534.00,6200.00,77.80,75.00,7.40,2.88,0.06,72.00,0.62
0.00,1612.00,5644.00,44.50,37.90,11.10,1.99,0.17,44.00,0.52
0.00,1638.00,6746.00,35.40,35.40,4.50,2.89,0.06,109.00,0.52
0.00,1649.00,6651.00,24.40,24.30,4.60,2.64,0.09,128.00,0.76
0.00,1690.00,5857.00,66.10,61.00,9.90,2.46,0.09,48.00,0.50
0.00,1873.00,4674.00,90.50,76.20,3.30,1.16,0.03,167.00,0.65
1.00,1008.00,6461.00,20.00,,,2.49,,55.00,0.42
1.00,1083.00,6566.00,7.70,,,2.06,,156.00,0.39
1.00,1123.00,5297.00,9.00,,,1.16,,49.00,0.21
1.00,1208.00,6482.00,8.00,,,2.31,,76.00,0.36
1.00,1218.00,6528.00,7.00,,,2.19,,80.00,0.20
1.00,1243.00,5670.00,7.80,,,1.77,,49.00,0.34
1.00,1304.00,5602.00,11.00,,,1.88,,46.00,
1.00,1331.00,6566.00,7.00,,,2.54,,70.00,
1.00,1355.00,5126.00,36.20,,,1.60,,25.00,0.50
1.00,1379.00,5036.00,25.40,,,0.82,,90.00,0.67
1.00,1395.00,6750.00,5.00,,,2.48,,104.00,
1.00,1446.00,5357.00,9.00,,,1.52,,39.00,0.34
1.00,1469.00,4475.00,35.40,,,0.00,,315.00,0.53
1.00,1507.00,6668.00,10.00,,,2.43,,82.00,0.39
1.00,1510.00,6729.00,5.00,,,2.42,,67.00,0.20
1.00,1554.00,6313.00,25.80,,,2.38,,62.00,0.54
1.00,1575.00,6117.00,9.00,,,2.26,,59.00,
1.00,1627.00,5123.00,4.00,,,1.13,,25.00,0.10
1.00,1722.00,5627.00,19.60,,,1.67,,60.00,0.43
1.00,1815.00,5648.00,8.00,,,1.79,,39.00,0.26
