Target,B-V,B,V,Sp. Type (Simbad),Sp. Type (Eric),combined,Li EW,REF,split,Li Age (Myr),combined,split,R'HK,REF,R'HK Age,Group Membershipc,Group Agec,Adopted Aged,Target, typed ident  ,       identifier        ,"       coord1 (ICRS,J2000/2000)        ",  spec. type   ,#not
HIP 1481,0.54,8,7.46,F8V            ,F8/G0V,1293,129,3,3,100,-4.3604,1,-4.36,4,221,Tuc/Hor,30,30,HIP 1481,HIP 1481      ,HD 1466                  ,00 18 26.1235227218 -63 28 38.981281995,F8V            ,0
HD 8558,0.667,9.21,8.543,G7V            ,G6V,2055,205,5,3,13,,,,,,Tuc/Hor,30,30,HD 8558,HD 8558       ,HD 8558                  ,01 23 21.2548999023 -57 28 50.689650839,G7V            ,0
HD 9054,0.91,9.98,9.07,K1V            ,K1V,1705,170,5,3,160,-4.2366,1,-4.236,6,100,Tuc/Hor,30,30,HD 9054,HD 9054       ,V* CC Phe                ,01 28 08.6609551392 -52 38 19.147504694,K1V            ,1
HIP 9141,0.673,8.73,8.057,G4V            ,G3/G5V,1818,181,8,3,13,,,,,,Tuc/Hor,30,30,HIP 9141,HIP 9141      ,V* DK Cet                ,01 57 48.9776543901 -21 54 05.343324011,G4V            ,1
BD+05 378,1.309,11.58,10.271,K6Ve           ,M0,,,,3,,,,,,,beta Pic,12,12,BD+05 378,BD+05 378     ,BD+05 378                ,02 41 25.8882107790 +05 59 18.394803825,K6Ve           ,1
HD 17925,0.86,6.91,6.05,K1V            ,K1V,1948,194,8,3,50,-4.3576,1,-4.357,6,216,Her/Lyr,200,200,HD 17925,HD 17925      ,HD 17925                 ,02 52 32.1281853696 -12 46 10.970649463,K1V            ,0
Eps Eri,0.88,4.61,3.73,K2V            ,K2V,,,,3,,-4.5986,1,-4.598,6,1129,,,1100,Eps Eri,Eps Eri       ,* eps Eri                ,03 32 55.8449634 -09 27 29.731165      ,K2V            ,1
V577 Per A,,,,,G5IV/V11,21911,219,11,3,3,,,,,,AB Dor,70,70,V577 Per A,,,,,
GJ 174,1.135,9.12,7.985,K4V            ,K3V12,458,45,8,2,280,-4.06613,2,-4.066,13,,,,280,GJ 174,GJ 174        ,HD 29697                 ,04 41 18.8553438360 +20 54 05.447950758,K4V            ,0
GJ 182,1.373,11.48,10.107,M0Ve           ,M1Ve14,28015,280,15,3,12,,,,,,,,12,GJ 182,GJ 182        ,V* V1005 Ori             ,04 59 34.8341800543 +01 47 00.672080375,M0Ve           ,0
HIP 23309,1.383,11.36,9.977,M0Ve           ,M0/116,29416,294,16,3,12,-3.8936,1,-3.893,6,,beta Pic,12,12,HIP 23309,HIP 23309     ,CD-57 1054               ,05 00 47.1300124315 -57 15 25.453371912,M0Ve           ,0
