#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-02-04T00:53:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56b2a0a85653	
#INFO	-out.max=999999	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=999999
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/106/1059&tab:{J/AJ/106/1059/table1}&key:source=J/AJ/106/1059/table1&HTTPPRM:&&-ref=VIZ56b2a0a85653&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-source=J/AJ/106/1059/table1
#-order=I
#-out=fgk
#-out=name
#-out=Sp
#-out=(B-V)0
#-out=u_(B-V)0
#-out=Teff
#-out=l_vsini
#-out=vsini
#-out=u_vsini
#-out=n_vsini
#-out.all=2
#-out=log(RHalpha)
#-out=log(R8542)
#-out=W7699
#-out=W6717
#-out=n_W6717
#-out=l_W6708
#-out=W6708
#-out=u_W6708
#-out=n_W6708
#-out=q
#-out=l_log(N(Li))
#-out=log(N(Li))
#-out=u_log(N(Li))
#-out.all=2
#

#RESOURCE=yCat_51061059
#Name: J/AJ/106/1059
#Title: Lithium in the Pleiades (Soderblom+, 1993)
#Table	J_AJ_106_1059_table1:
#Name: J/AJ/106/1059/table1
#Title: Observations of Lithium in Pleiades F, G, and K dwarfs
#Column	fgk	(a4)	fgk number from Soderblom et al. (1993ApJS...85..315S) (hereafter SSHJ)	[ucd=meta.id]
#Column	name	(a4)	Hertzsprung (H II) designation. A "P" prefix denotes a Pels star.	[ucd=meta.id;meta.main]
#Column	Sp	(a6)	Spectral type	[ucd=src.spType]
#Column	(B-V)0	(F6.3)	Dereddened (B-V)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	u_(B-V)0	(A1)	Uncertainty flag on (B-V)0	[ucd=meta.code.error]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	l_vsini	(A1)	Limit flag on vsini	[ucd=meta.code.error]
#Column	vsini	(F5.1)	? Rotational velocity	[ucd=phys.veloc.rotat]
#Column	u_vsini	(A1)	uncertainty flag on vsini	[ucd=meta.code.error]
#Column	n_vsini	(A1)	[S ] 'S' indicating a double-lined spectroscopic binary whose vsini values are given in table2 of SSHJ (SB2).	[ucd=meta.note]
#Column	log(RHalpha)	(F5.2)	[]? Ratio of the Halpha flux to the stellar bolometric flux, log R(Halpha) from SSHJ	[ucd=phot.flux;arith.ratio]
#Column	log(R8542)	(F5.2)	[]? Ratio of the 8542 A Ca II line flux to the stellar bolometric flux, logR(8542) from SSHJ	[ucd=phot.flux;arith.ratio]
#Column	W7699	(F4.1)	[]? Equivalent width of K I 7699A line	[ucd=spect.line.eqWidth]
#Column	W6717	(F4.1)	[]? Equivalent width of Ca I 6717 A line	[ucd=spect.line.eqWidth]
#Column	n_W6717	(A1)	Note on W6717. See note (1)	[ucd=meta.note]
#Column	l_W6708	(A1)	Limit flag on W6708	[ucd=meta.code.error]
#Column	W6708	(F4.1)	Equivalent width of Li I 6708 A line, corrected for Fe I 6707.441.	[ucd=spect.line.eqWidth]
#Column	u_W6708	(A1)	Uncertainty flag on W6708	[ucd=meta.code.error]
#Column	n_W6708	(A1)	Note on W6708. See note (1)	[ucd=meta.note]
#Column	q	(a6)	Source and quality code (2)	[ucd=meta.code.qual]
#Column	l_log(N(Li))	(A1)	Limiting character for lithium abundance	[ucd=meta.code.error]
#Column	log(N(Li))	(F5.2)	Abundance of lithium (scale logN(H)=12)	[ucd=phys.abund]
#Column	u_log(N(Li))	(A1)	Uncertainty flag on log(N(Li))	[ucd=meta.code.error]
fgk;name;Sp;(B-V)0;u_(B-V)0;Teff;l_vsini;vsini;u_vsini;n_vsini;log(RHalpha);log(R8542);W7699;W6717;n_W6717;l_W6708;W6708;u_W6708;n_W6708;q;l_log(N(Li));log(N(Li));u_log(N(Li))
 ; ; ;mag; ;K; ;km/s; ; ; ; ;pm;pm; ; ;pm; ; ; ; ; ;
---- ; ---- ; ------ ; ------ ; - ; ---- ; - ; ----- ; - ; - ; ----- ; ----- ; ---- ; ---- ; - ; - ; ---- ; - ; - ; ------ ; - ; ----- ; -
f101 ;  470 ; F3V    ;  0.360 ;   ; 6940 ; < ;  40.0 ;   ;   ;       ;       ;      ;  7.8 ;   ;   ;  6.2 ;   ;   ; Bo,P   ;   ;  3.33 ; 
f102 ;  530 ; F3V    ;  0.349 ;   ; 7000 ; < ;  12.0 ;   ;   ;       ;       ;      ;  7.4 ;   ;   ;  6.1 ;   ;   ; Bo,P   ;   ;  3.10 ; 
f104 ;  697 ; A9V    ;  0.312 ;   ; 7180 ;   ;  75.0 ;   ;   ;       ;       ;      ;      ;   ; < ;  3.0 ;   ;   ; P      ; < ;  3.00 ; 
f105 ;  975 ; G0V:   ;  0.388 ;   ; 6800 ;   ;  32.0 ;   ;   ;       ;       ;      ; 12.7 ;   ;   ;  7.4 ;   ;   ; d      ;   ;  3.40 ; :
f108 ; 3031 ; F2V    ;  0.345 ;   ; 7020 ;   ; 230.0 ;   ;   ;       ;       ;      ;      ;   ; < ;  4.0 ;   ;   ; P      ; < ;  3.10 ; 
f201 ;   25 ; F5V    ;  0.443 ;   ; 6560 ;   ;  40.0 ;   ;   ;       ;       ;      ;  7.4 ;   ;   ;  5.7 ;   ;   ; Bo,P   ;   ;  2.97 ; 
f202 ;  164 ; F5V    ;  0.459 ;   ; 6480 ;   ;  30.0 ;   ;   ;       ;       ;      ;  9.2 ;   ;   ;  5.9 ;   ;   ; Bo     ;   ;  2.95 ; 
f203 ;  233 ; F6V    ;  0.493 ;   ; 6340 ;   ;  13.0 ;   ;   ;       ;       ;      ;  6.9 ;   ;   ;  7.5 ;   ;   ; Bo,P   ;   ;  2.98 ; 
f204 ;  338 ; F2V    ;  0.428 ;   ; 6620 ; < ;  40.0 ;   ;   ;       ;       ;      ;  6.3 ;   ;   ;  5.0 ;   ;   ; Bo,P   ;   ;  2.96 ; 
f205 ;  405 ; F9V    ;  0.495 ;   ; 6320 ;   ;  17.0 ;   ;   ; -4.65 ; -4.74 ; 16.5 ; 10.6 ;   ;   ;  8.1 ;   ;   ; Bo,P,c ;   ;  3.01 ; 
f206 ;  605 ; F3V    ;  0.406 ;   ; 6720 ;   ;  80.0 ;   ;   ;       ;       ;      ;      ;   ;   ;  3.9 ;   ;   ; P      ;   ;  2.93 ; 
f207 ;  627 ; F5V    ;  0.473 ;   ; 6420 ;   ;  25.0 ;   ;   ;       ;       ;      ;  8.8 ;   ;   ;  8.3 ;   ;   ; Bo     ;   ;  3.10 ; 
f209 ; 1122 ; F4V    ;  0.425 ;   ; 6640 ;   ;  28.0 ;   ;   ;       ;       ;      ;  8.3 ;   ;   ;  6.7 ;   ;   ; Bo,P   ;   ;  3.19 ; 
f210 ; 1132 ; F5V    ;  0.451 ;   ; 6520 ;   ;  40.0 ;   ;   ;       ;       ;      ;  9.7 ;   ;   ;  4.6 ;   ;   ; Bo     ;   ;  2.86 ; 
f211 ; 1139 ; F5V    ;  0.437 ;   ; 6580 ;   ;  33.0 ;   ;   ;       ; -4.93 ; 14.5 ; 11.3 ;   ;   ;  5.1 ;   ;   ; Bo,P,c ;   ;  2.98 ; 
f212 ; 1309 ; F6V    ;  0.437 ;   ; 6580 ;   ;  85.0 ;   ;   ;       ;       ;      ;      ;   ;   ;  4.2 ;   ;   ; P      ;   ;  2.85 ; 
f214 ; 1613 ; F8V    ;  0.494 ;   ; 6320 ;   ;  19.0 ;   ;   ;       ;       ;      ;  9.9 ;   ;   ; 10.3 ;   ;   ; Bo     ;   ;  3.17 ; 
f215 ; 1766 ; F4V    ;  0.435 ;   ; 6600 ;   ;  20.0 ;   ;   ;       ;       ;      ;  8.2 ;   ;   ;  4.5 ;   ;   ; Bo,P   ;   ;  2.93 ; 
f216 ; 1912 ; F4V    ;  0.452 ;   ; 6520 ;   ;  75.0 ;   ;   ;       ;       ;      ;      ;   ;   ;  7.1 ;   ;   ; P      ;   ;  3.12 ; 
f217 ; 2345 ; F3V    ;  0.401 ;   ; 6740 ;   ; 130.0 ;   ;   ;       ;       ;      ;      ;   ; < ;  3.8 ;   ;   ; P      ; < ;  2.90 ; 
f301 ;  476 ; F9V    ;  0.530 ;   ; 6180 ;   ;  23.0 ;   ;   ; -4.91 ; -4.74 ; 17.9 ; 12.5 ;   ;   ; 10.8 ;   ;   ; a      ;   ;  3.08 ; 
f302 ;  489 ; G0V    ;  0.594 ;   ; 5920 ;   ;  17.0 ;   ;   ; -4.74 ; -4.61 ; 19.1 ; 14.0 ;   ;   ; 12.7 ;   ;   ; a      ;   ;  2.98 ; 
f303 ;  708 ; F9V    ;  0.582 ;   ; 5960 ;   ;  46.0 ;   ;   ; -4.52 ; -4.51 ; 23.2 ; 14.1 ;   ;   ;  8.4 ;   ;   ; c      ;   ;  2.73 ; 
f304 ;  727 ; F9V    ;  0.519 ;   ; 6220 ;   ;  50.0 ;   ;   ; -4.58 ; -4.61 ; 14.2 ; 14.7 ;   ;   ;  8.9 ;   ;   ; c      ;   ;  2.99 ; 
f305 ;  739 ; G0V    ;  0.586 ;   ; 5940 ;   ;  13.0 ;   ;   ; -4.42 ; -4.43 ; 19.1 ; 12.1 ;   ;   ; 15.2 ;   ;   ; Bo     ;   ;  3.15 ; 
f306 ;  923 ; G0V    ;  0.579 ;   ; 5980 ;   ;  18.0 ;   ;   ; -4.77 ; -4.66 ; 19.5 ; 16.3 ;   ;   ; 15.8 ;   ;   ; a      ;   ;  3.22 ; 
f307 ; 1101 ; F9.5V  ;  0.572 ;   ; 6000 ;   ;  20.0 ;   ;   ;       ;       ;      ; 16.9 ; * ;   ; 14.4 ;   ; * ; a      ;   ;  3.16 ; 
f308 ; 1182 ; G5V    ;  0.597 ;   ; 5900 ;   ;  16.0 ;   ;   ; -4.76 ; -4.73 ; 21.3 ; 13.7 ;   ;   ; 13.6 ;   ;   ; a      ;   ;  3.01 ; 
f309 ; 1200 ; F6V    ;  0.507 ;   ; 6280 ; < ;  20.0 ;   ;   ;       ;       ;      ;  7.6 ;   ;   ;  6.7 ;   ;   ; Bo     ;   ;  2.86 ; 
f310 ; 1207 ;        ;  0.591 ;   ; 5940 ; < ;   7.0 ;   ;   ;       ;       ; 15.8 ; 12.8 ;   ;   ; 14.1 ;   ;   ; a      ;   ;  3.08 ; 
f311 ; 1215 ; G0V    ;  0.599 ;   ; 5900 ; < ;   7.0 ;   ;   ; -4.66 ; -4.71 ; 14.9 ; 13.1 ;   ;   ; 12.5 ;   ;   ; a      ;   ;  2.94 ; 
f312 ; 1726 ; F7V    ;  0.505 ;   ; 6280 ;   ;  12.0 ;   ;   ;       ;       ;      ;  9.3 ;   ;   ;  9.4 ;   ;   ; Bo     ;   ;  3.07 ; 
f313 ; 1794 ;        ;  0.589 ;   ; 5940 ;   ;  12.0 ;   ;   ; -4.87 ; -4.80 ; 15.9 ; 11.9 ;   ;   ;  5.5 ;   ;   ; b      ;   ;  2.47 ; 
f314 ; 1797 ; F9V    ;  0.515 ;   ; 6240 ;   ;  21.0 ;   ;   ; -5.07 ; -4.93 ; 13.4 ; 12.8 ;   ;   ; 12.5 ;   ;   ; b      ;   ;  3.25 ; 
f315 ; 1856 ; F8V    ;  0.514 ;   ; 6240 ;   ;  16.0 ;   ;   ;       ;       ;      ; 10.4 ;   ;   ;  8.5 ;   ;   ; Bo     ;   ;  2.97 ; 
f316 ; 1924 ; G0V    ;  0.568 ;   ; 6020 ;   ;  13.0 ;   ;   ; -4.82 ; -4.67 ; 15.8 ; 12.8 ;   ;   ; 14.1 ;   ;   ; b      ;   ;  3.16 ; 
f317 ; 2172 ; F9V    ;  0.582 ;   ; 5960 ;   ;  10.0 ;   ;   ; -4.82 ; -4.71 ; 16.9 ; 12.2 ;   ;   ; 12.9 ;   ;   ; a      ;   ;  3.03 ; 
f318 ; 2506 ; F8V    ;  0.552 ;   ; 6080 ;   ;  13.0 ;   ;   ; -4.82 ; -4.87 ; 17.3 ; 11.5 ;   ;   ; 10.8 ;   ;   ; b      ;   ;  3.00 ; 
f319 ; 2786 ;        ;  0.562 ;   ; 6040 ;   ;  25.0 ;   ;   ; -4.66 ; -4.83 ; 21.0 ; 11.3 ;   ;   ; 12.8 ;   ;   ; b      ;   ;  3.09 ; 
f320 ; 3179 ; G0V    ;  0.529 ;   ; 6180 ; < ;   7.0 ;   ;   ; -5.03 ; -4.97 ; 12.5 ; 11.4 ;   ;   ; 12.1 ;   ;   ; a      ;   ;  3.17 ; 
g101 ;  102 ; G1V    ;  0.684 ;   ; 5580 ;   ;  18.0 ;   ;   ; -4.63 ; -4.63 ;      ; 18.1 ; * ;   ; 14.9 ;   ; * ; a      ;   ;  2.78 ; 
g102 ;  120 ; G1V    ;  0.666 ;   ; 5640 ;   ;  11.0 ;   ;   ; -4.63 ; -4.66 ; 18.6 ; 14.3 ;   ;   ; 15.2 ;   ;   ; a      ;   ;  2.86 ; 
g103 ;  152 ; G1V    ;  0.647 ;   ; 5700 ; < ;   7.0 ;   ;   ; -4.71 ; -4.67 ; 17.4 ; 14.2 ;   ;   ; 15.0 ;   ;   ; a      ;   ;  2.91 ; 
g104 ;  250 ; G1V    ;  0.637 ;   ; 5740 ; < ;   7.0 ;   ;   ; -4.69 ; -4.67 ; 15.8 ; 12.7 ;   ;   ; 14.1 ;   ;   ; a      ;   ;  2.89 ; 
g105 ;  253 ; G1V    ;  0.648 ;   ; 5700 ;   ;  37.0 ;   ;   ; -3.81 ; -4.29 ; 23.8 ; 15.6 ;   ;   ; 18.6 ;   ;   ; b      ;   ;  3.13 ; 
g106 ;  293 ; G1V    ;  0.665 ;   ; 5640 ; < ;   7.0 ;   ;   ; -4.76 ; -4.74 ; 16.9 ; 13.3 ;   ;   ; 12.5 ;   ;   ; a      ;   ;  2.69 ; 
g107 ;  314 ; G1V    ;  0.613 ;   ; 5840 ;   ;  38.0 ;   ;   ; -3.94 ; -4.45 ; 21.4 ; 15.7 ;   ;   ; 16.7 ;   ;   ; b      ;   ;  3.15 ; 
g108 ;  514 ;        ;  0.657 ;   ; 5660 ;   ;  11.0 ;   ;   ; -4.76 ; -4.73 ; 16.8 ; 13.9 ;   ;   ; 13.5 ;   ;   ; a      ;   ;  2.77 ; 
g109 ;  761 ; G2V    ;  0.652 ;   ; 5680 ;   ;  11.0 ;   ;   ; -4.30 ; -4.55 ; 18.1 ; 14.9 ;   ;   ; 15.4 ;   ;   ; a      ;   ;  2.91 ; 
g110 ;  870 ; G4.5V  ;  0.680 ;   ; 5580 ;   ;   9.0 ;   ;   ; -5.01 ; -4.74 ; 22.3 ; 12.6 ;   ;   ; 14.9 ;   ;   ; a      ;   ;  2.78 ; 
g111 ;  996 ; G1V    ;  0.603 ;   ; 5880 ;   ;  10.0 ;   ;   ; -4.76 ; -4.71 ; 17.3 ; 12.7 ;   ;   ; 13.2 ;   ;   ; a      ;   ;  2.97 ; 
g112 ; 1015 ; G1V    ;  0.609 ;   ; 5860 ;   ;  11.0 ;   ;   ; -4.68 ; -4.71 ; 16.9 ; 13.6 ;   ;   ; 14.5 ;   ;   ; a      ;   ;  3.03 ; 
