#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-08-22T14:45:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d5eaa851ada	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/687/1264&tab:{J/ApJ/687/1264/table13}&key:source=J/ApJ/687/1264/table13&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/687/1264/table13
#-order=I
#-out=HD
#-out=HIP
#-out=GJ
#-out=OName
#-out=plx
#-out=e_plx
#-out=B-V
#-out=r_B-V
#-out=logR'HK
#-out=r_logR'HK
#-out=Vmag
#-out=VMAG
#-out=DVMAG
#-out=SpType
#-out=r_SpType
#-out=l_tau1
#-out=tau1
#-out=l_tau2
#-out=tau2
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#
#RESOURCE=yCat_16871264
#Name: J/ApJ/687/1264
#Title: Age estimation for solar-type dwarfs (Mamajek+, 2008)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_687_1264_table13:
#Name: J/ApJ/687/1264/table13
#Title: Activity ages for the solar-type dwarfs within 16pc
#Column	HD	(I6)	HD number (Cat. III/135)	[ucd=meta.id;meta.main]
#Column	HIP	(I6)	HIP number (Cat. I/311)	[ucd=meta.id]
#Column	GJ	(a7)	Nearby Star Catalog designation (Cat. V/70)	[ucd=meta.id]
#Column	OName	(a11)	Other name	[ucd=meta.id]
#Column	plx	(F6.2)	Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F5.2)	rms uncertainty on plx	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	r_B-V	(I1)	Reference for B-V, in refs.dat file	[ucd=meta.ref;phot.color;em.opt.B]
#Column	logR'HK	(F6.3)	R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	r_logR'HK	(I2)	Reference for logR'HK, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	VMAG	(F5.2)	Absolute V magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	DVMAG	(F5.2)	Difference between stellar absolute magnitude and that for an MS star of the same B-V color	[ucd=phys.magAbs;em.opt.B]
#Column	SpType	(a15)	MK spectral type	[ucd=src.spType]
#Column	r_SpType	(I2)	Reference for SpType, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	l_tau1	(A1)	Limit flag on tau1	[ucd=meta.code.error]
#Column	tau1	(F4.1)	Age from using the revised activity-age relation	[ucd=time.age]
#Column	l_tau2	(A1)	Limit flag on tau2	[ucd=meta.code.error]
#Column	tau2	(F4.1)	Age inferred from converting the chromospheric activity levels to a rotation period via the Rossby number and then converting the rotation period to an age using the revised gyro relation	[ucd=time.age]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
HD;HIP;GJ;OName;plx;e_plx;B-V;r_B-V;logR'HK;r_logR'HK;Vmag;VMAG;DVMAG;SpType;r_SpType;l_tau1;tau1;l_tau2;tau2;Simbad;_RA;_DE
 ; ; ; ;mas;mas;mag; ; ; ;mag;mag;mag; ; ; ;Gyr; ;Gyr; ;deg;deg
------;------;-------;-----------;------;-----;------;-;------;--;-----;-----;-----;---------------;--;-;----;-;----;------;---------;---------
   166;   544;5A     ;V439 And   ; 72.98; 0.75; 0.752;1;-4.328; 5; 6.07; 5.39;-0.02;G8 V           ; 8; ; 0.2; ; 0.2;Simbad;001.65327;+29.02150
  1581;  1599;17     ;zeta Tuc   ;116.38; 0.64; 0.572;2;-4.839; 6; 4.23; 4.56; 0.25;F9.5 V         ;11; ; 3.8; ; 2.1;Simbad;005.01775;-64.87479
  3443;  2941;25AB   ;HR 159     ; 64.38; 1.40; 0.715;1;-4.903; 7; 4.61; 5.19;-0.58;G8 V+G9 V      ;15; ; 4.8; ; 4.9;Simbad;009.33633;-24.76727
  3651;  3093;27A    ;54 Psc     ; 90.03; 0.72; 0.850;1;-4.991; 7; 5.88; 5.65;-0.28;K0 V           ; 8; ; 6.4; ; 7.7;Simbad;009.84086;+21.25047
  4391;  3583;1021   ;HR 209     ; 66.92; 0.73; 0.640;2;-4.550; 6; 5.80; 4.93; 0.23;G5 V Fe-0.8    ;11; ; 0.8; ; 0.9;Simbad;011.43997;-47.55198
  4614;  3821;34A    ;eta Cas    ;167.99; 0.62; 0.574;2;-4.958; 5; 3.46; 4.59; 0.20;F9 V           ;16; ; 5.8; ; 2.9;Simbad;012.27621;+57.81519
  4628;  3765;33     ;HR 222     ;134.04; 0.86; 0.890;1;-4.852; 7; 5.74; 6.38; 0.25;K2.5 V         ;11; ; 4.0; ; 5.4;Simbad;012.09574;+05.28061
  4813;  3909;37     ;19 Cet     ; 64.69; 1.03; 0.514;1;-4.780; 8; 5.17; 4.22; 0.32;F7 V           ; 8; ; 2.9; ; 1.7;Simbad;012.53162;-10.64433
  6582;  5336;53A    ;mu Cas A   ;132.40; 0.60; 0.695;2;-4.964; 5; 5.17; 5.78; 0.65;K1 V Fe-2      ; 8; ; 5.9; ; 5.3;Simbad;017.06831;+54.92034
  7570;  5862;55     ;nu Phe     ; 66.43; 0.64; 0.571;1;-4.950; 9; 4.97; 4.28;-0.20;F9 V Fe+0.4    ;11; ; 5.7; ; 2.8;Simbad;018.79634;-45.53167
 10307;  7918;67     ;HR 483     ; 79.09; 0.83; 0.618;1;-5.020;10; 4.96; 4.45;-0.14;G1 V           ; 8; ; 7.0; ; 4.2;Simbad;025.44643;+42.61337
 10360;  7751;66A    ;HR 487     ;122.75; 1.41; 0.880;2;-4.899;11; 5.96; 6.26; 0.36;K2 V           ;11; ; 4.8; ; 6.2;Simbad;024.94815;-56.19338
 10361;  7751;66B    ;HR 486     ;122.75; 1.41; 0.850;2;-4.839;11; 5.81; 6.26; 0.33;K2 V           ;11; ; 3.8; ; 5.2;Simbad;024.94815;-56.19648
 10476;  7981;68     ;107 Psc    ;133.91; 0.91; 0.836;1;-4.912; 7; 5.24; 5.87; 0.02;K1 V           ;11; ; 5.0; ; 6.3;Simbad;025.62401;+20.26850
 10700;  8102;71     ;tau Cet    ;274.17; 0.80; 0.727;1;-4.958; 7; 3.49; 5.68; 0.42;G8.5 V         ;11; ; 5.8; ; 5.8;Simbad;026.01701;-15.93748
 10780;  8362;75     ;V987 Cas   ;100.24; 0.68; 0.804;1;-4.681; 7; 5.63; 5.64;-0.06;G9 V           ; 8; ; 1.8; ; 2.9;Simbad;026.93681;+63.85250
 13445; 10138;86A    ;HR 637     ; 91.63; 0.61; 0.820;2;-4.740; 6; 6.12; 5.93; 0.20;K1 V           ;11; ; 2.4; ; 3.7;Simbad;032.60811;-50.82376
