# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   722   79
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25                              26                              27                              28                              29                              30                              31                              32                              33                              34                              35                              36                              37                              38                              39                              40                              41                              42                              43                              44                              45                              46                              47                              48                              49                              50                              51                              52                              53                              54                              55                              56                              57                              58                              59                              60                              61                              62                              63                              64                              65                              66                              67                              68                              69                              70                              71                              72                              73                              74                              75                              76                              77                              78                              79
 EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                     o_core_mass                           log_L                  log_L_div_Ledd                          log_LH                         log_LHe                          log_LZ                        log_Teff                   log_abs_Lgrav                           log_R                           log_g                      log_surf_z                  surf_avg_omega                  surf_avg_v_rot        surf_num_c12_div_num_o16                 v_wind_Km_per_s             surf_avg_omega_crit   surf_avg_omega_div_omega_crit                 surf_avg_v_crit           surf_avg_v_div_v_crit          surf_avg_Lrad_div_Ledd               v_div_csound_surf                      surface_h1                     surface_he3                     surface_he4                     surface_li7                     surface_be9                     surface_b11                     surface_c12                     surface_c13                     surface_n14                     surface_o16                     surface_f19                    surface_ne20                    surface_na23                    surface_mg24                    surface_si28                     surface_s32                    surface_ca40                    surface_ti48                    surface_fe56                    log_center_T                  log_center_Rho               center_degeneracy                    center_omega                    center_gamma                  mass_conv_core                       center_h1                      center_he4                      center_c12                      center_n14                      center_o16                     center_ne20                     center_mg24                     center_si28                              pp                             cno                        tri_alfa                          burn_c                          burn_n                          burn_o                         c12_c12                        delta_nu                        delta_Pg                          nu_max                 acoustic_cutoff         max_conv_vel_div_csound             max_gradT_div_grada              gradT_excess_alpha                  min_Pgas_div_P              max_L_rad_div_Ledd                       e_thermal                           phase
   87         6.7000000000000002E+000         1.0000000000000001E-001         9.9999908097117313E-002        -4.8072271877315732E-015         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.6662019428307975E+000        -5.2611983682600041E+000        -9.0531019493977851E+000        -9.8999999999999986E+001        -7.6694363844187990E+001         3.4749731445955576E+000        -1.6659557075562694E+000        -2.6037010842439923E-001         3.9588860352788267E+000        -1.8450984743010288E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972914E-001         2.0941741266062333E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.7300211879347814E-010         7.1539283800083098E-001         6.6324352830523096E-005         2.7025513764607778E-001         9.8725933875594496E-009         1.6897809084240825E-010         0.0000000000000000E+000         2.4965358274886803E-003         3.0304790898726366E-005         7.3728934690841976E-004         6.1088852298628784E-003         5.3917068067893450E-007         1.2391826166306703E-003         3.1227961196001201E-005         5.8956682884631453E-004         6.5265243055896921E-004         3.1309570972055370E-004         6.8535470825407667E-005         3.3346114782169926E-006         1.5846366978198201E-003         6.1497800832779577E+000         6.9661638366370393E-001        -1.3296063754484362E+000         0.0000000000000000E+000         3.0359017454158288E-001         9.9999908097117313E-002         7.1539283800083098E-001         2.7025513764607773E-001         2.4965358274886803E-003         7.3728934690841976E-004         6.1088852298628784E-003         1.2391826166306703E-003         5.8956682884631453E-004         6.5265243055896921E-004        -9.0531019493977851E+000        -3.1225755255162124E+001        -9.8999999999999986E+001        -9.8793289789877235E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         1.0939171445659022E+002         0.0000000000000000E+000         1.4306188699780728E+003         1.0102303898021364E+004         8.4708187424720749E-002         1.0322222728072015E+000         0.0000000000000000E+000         9.9998921642239336E-001         1.6832550963251802E-005         5.2826022003223893E+046        -1.0000000000000000E+000
   88         6.7000000000000002E+000         1.0306422138224822E-001         1.0306412620514201E-001        -5.0888173885857067E-015         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.6521979375525635E+000        -5.2470091176050708E+000        -8.9885482205470648E+000        -9.8999999999999972E+001        -9.5043617386024437E+001         3.4761770644915599E+000        -1.6519631664221843E+000        -2.5577594557728889E-001         3.9604893590753321E+000        -1.8450984743009740E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972914E-001         2.2495625384871874E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.8039366462045903E-010         7.1539283800074749E-001         6.6324352869641639E-005         2.7025513764612008E-001         9.8725933868219238E-009         1.6897809084242991E-010         0.0000000000000000E+000         2.4965358274890003E-003         3.0304790898730252E-005         7.3728934690851431E-004         6.1088852298636608E-003         5.3917068067900068E-007         1.2391826166308227E-003         3.1227961196005043E-005         5.8956682884638717E-004         6.5265243055904934E-004         3.1309570972059224E-004         6.8535470825416083E-005         3.3346114782174034E-006         1.5846366978200148E-003         6.1558817251846394E+000         6.9422305739496415E-001        -1.3527756519718295E+000         0.0000000000000000E+000         2.9938741344998121E-001         1.0306412620514201E-001         7.1539283800074771E-001         2.7025513764612014E-001         2.4965358274890007E-003         7.3728934690851441E-004         6.1088852298636616E-003         1.2391826166308229E-003         5.8956682884638717E-004         6.5265243055904944E-004        -8.9885482205470648E+000        -3.0977319253332823E+001        -9.8999999999999972E+001        -9.8249377944093595E+001        -9.8999999999999972E+001        -9.8999999999999972E+001        -9.8999999999999972E+001         1.0948574257008818E+002         0.0000000000000000E+000         1.4407612321988324E+003         1.0173939036445126E+004         8.5900184759894957E-002         1.0336585353330394E+000         0.0000000000000000E+000         9.9998841734109922E-001         1.8091242368272906E-005         5.5252231230669245E+046        -1.0000000000000000E+000
   89         6.7000000000000002E+000         1.0702495242778139E-001         1.0702485295660139E-001        -5.4048761659526721E-015         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.6340044450882223E+000        -5.2294139505744424E+000        -8.9055880180611009E+000        -9.8999999999999986E+001        -4.3090944079957517E+001         3.4777423111380177E+000        -1.6337852109233866E+000        -2.4980969263803290E-001         3.9625058523240315E+000        -1.8450984743009036E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972902E-001         2.4246159770822420E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.8806175888302700E-010         7.1539283800062892E-001         6.6324352931254545E-005         2.7025513764617493E-001         9.8725933852973075E-009         1.6897809084245801E-010         0.0000000000000000E+000         2.4965358274894149E-003         3.0304790898735290E-005         7.3728934690863693E-004         6.1088852298646764E-003         5.3917068067908665E-007         1.2391826166310202E-003         3.1227961196010024E-005         5.8956682884648106E-004         6.5265243055915342E-004         3.1309570972064217E-004         6.8535470825427006E-005         3.3346114782179345E-006         1.5846366978202679E-003         6.1637749616866904E+000         6.9107672856983293E-001        -1.3823739020235288E+000         0.0000000000000000E+000         2.9393427015855617E-001         1.0702485295660139E-001         7.1539283800062892E-001         2.7025513764617493E-001         2.4965358274894149E-003         7.3728934690863671E-004         6.1088852298646756E-003         1.2391826166310200E-003         5.8956682884648095E-004         6.5265243055915331E-004        -8.9055880180611009E+000        -3.0657929486177039E+001        -9.8999999999999986E+001        -9.7520092652691048E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         1.0951948537941639E+002         0.0000000000000000E+000         1.4527884854805297E+003         1.0257905700214000E+004         8.7740419990811266E-002         1.0354008804083352E+000         0.0000000000000000E+000         9.9998738501769424E-001         1.9716228248676296E-005         5.8480338726214476E+046        -1.0000000000000000E+000
   90         6.7000000000000002E+000         1.1098603181072172E-001         1.1098592796858123E-001        -5.6688556253835343E-015         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.6158201364966072E+000        -5.2126983606883792E+000        -8.8224875834797629E+000        -9.8999999999999986E+001        -8.4652829525510569E+001         3.4793160358062964E+000        -1.6156177401616261E+000        -2.4386498767878276E-001         3.9645666683618423E+000        -1.8450984743008325E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972925E-001         2.5732567198859285E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.9366069221107617E-010         7.1539283800049813E-001         6.6324353004943375E-005         2.7025513764622977E-001         9.8725933828963066E-009         1.6897809084248603E-010         0.0000000000000000E+000         2.4965358274898299E-003         3.0304790898740325E-005         7.3728934690875923E-004         6.1088852298656904E-003         5.3917068067917262E-007         1.2391826166312178E-003         3.1227961196014998E-005         5.8956682884657495E-004         6.5265243055925729E-004         3.1309570972069199E-004         6.8535470825437930E-005         3.3346114782184652E-006         1.5846366978205201E-003         6.1717245510176815E+000         6.8802185645573255E-001        -1.4118786194058446E+000         0.0000000000000000E+000         2.8845842484321582E-001         1.1098592796858123E-001         7.1539283800049813E-001         2.7025513764622977E-001         2.4965358274898295E-003         7.3728934690875923E-004         6.1088852298656904E-003         1.2391826166312176E-003         5.8956682884657484E-004         6.5265243055925739E-004        -8.8224875834797629E+000        -3.0338149073244519E+001        -9.8999999999999986E+001        -9.6790076152014876E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         1.0946132602683832E+002         0.0000000000000000E+000         1.4636483543008271E+003         1.0332376615921145E+004         8.9538721302083901E-002         1.0370125895586062E+000         0.0000000000000000E+000         9.9998635352012888E-001         2.1338911994962932E-005         6.1817557353797096E+046        -1.0000000000000000E+000
   91         6.7000000000000002E+000         1.1494826355041327E-001         1.1494815526118249E-001        -5.8864616032531728E-015         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.5976446329805651E+000        -5.1967882622128547E+000        -8.7393238228237742E+000        -9.9000000000000000E+001        -9.9000000000000000E+001         3.4808940638565833E+000        -1.5974634935150707E+000        -2.3793329202133540E-001         3.9666575614499715E+000        -1.8450984743007606E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972914E-001         2.6988987145725696E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.9746885299794877E-010         7.1539283800035336E-001         6.6324353092446920E-005         2.7025513764628462E-001         9.8725933791255095E-009         1.6897809084251410E-010         0.0000000000000000E+000         2.4965358274902441E-003         3.0304790898745346E-005         7.3728934690888163E-004         6.1088852298667043E-003         5.3917068067925839E-007         1.2391826166314151E-003         3.1227961196019971E-005         5.8956682884666895E-004         6.5265243055936148E-004         3.1309570972074192E-004         6.8535470825448826E-005         3.3346114782189963E-006         1.5846366978207722E-003         6.1797247622878597E+000         6.8503049310344244E-001        -1.4425313854159514E+000         0.0000000000000000E+000         2.8295737209653504E-001         1.1494815526118249E-001         7.1539283800035336E-001         2.7025513764628462E-001         2.4965358274902441E-003         7.3728934690888153E-004         6.1088852298667043E-003         1.2391826166314149E-003         5.8956682884666884E-004         6.5265243055936126E-004        -8.7393238228237742E+000        -3.0018257772546498E+001        -9.9000000000000000E+001        -9.6059969114928663E+001        -9.9000000000000000E+001        -9.9000000000000000E+001        -9.9000000000000000E+001         1.0930620672676204E+002         0.0000000000000000E+000         1.4732491034767286E+003         1.0396559689408024E+004         9.1520653732107174E-002         1.0384999553058516E+000         0.0000000000000000E+000         9.9998532289189557E-001         2.2959974647291160E-005         6.5265346154723695E+046        -1.0000000000000000E+000
   92         6.7000000000000002E+000         1.1891009068936015E-001         1.1890997787948718E-001        -6.0624180720761186E-015         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.5794979226468382E+000        -5.1816166630132896E+000        -8.6561321169887862E+000        -9.8999999999999972E+001        -9.8999999999999972E+001         3.4824722942075872E+000        -1.5793436542999975E+000        -2.3201639755647951E-001         3.9687766320387246E+000        -1.8450984743006906E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972914E-001         2.8044730140588246E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.9974172563341909E-010         7.1539283800019371E-001         6.6324353194897602E-005         2.7025513764633952E-001         9.8725933732753391E-009         1.6897809084254215E-010         0.0000000000000000E+000         2.4965358274906587E-003         3.0304790898750374E-005         7.3728934690900393E-004         6.1088852298677183E-003         5.3917068067934436E-007         1.2391826166316124E-003         3.1227961196024945E-005         5.8956682884676273E-004         6.5265243055946524E-004         3.1309570972079174E-004         6.8535470825459763E-005         3.3346114782195269E-006         1.5846366978210249E-003         6.1877726296437388E+000         6.8209818464282812E-001        -1.4745042544136766E+000         0.0000000000000000E+000         2.7743160989779125E-001         1.1890997787948718E-001         7.1539283800019371E-001         2.7025513764633946E-001         2.4965358274906583E-003         7.3728934690900404E-004         6.1088852298677183E-003         1.2391826166316122E-003         5.8956682884676273E-004         6.5265243055946534E-004        -8.6561321169887862E+000        -2.9698400710868992E+001        -9.8999999999999972E+001        -9.5330088642927336E+001        -9.8999999999999972E+001        -9.8999999999999972E+001        -9.8999999999999972E+001         1.0905041113395033E+002         0.0000000000000000E+000         1.4815045504468253E+003         1.0449685334444875E+004         9.4509812242275712E-002         1.0398667896079177E+000         0.0000000000000000E+000         9.9998429350725226E-001         2.4579251653121901E-005         6.8823772866430182E+046        -1.0000000000000000E+000
   93         6.7000000000000002E+000         1.2287151227763540E-001         1.2287139487467405E-001        -6.2012156479881272E-015         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.5613812088494878E+000        -5.1671080507901666E+000        -8.5729698998371635E+000        -9.8999999999999986E+001        -8.1228820296523338E+001         3.4840481371098031E+000        -1.5612588062098789E+000        -2.2610972646223604E-001         3.9709147211396849E+000        -1.8450984743006194E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972914E-001         2.8925202049426650E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.0067117842529565E-010         7.1539283800001807E-001         6.6324353313261173E-005         2.7025513764639419E-001         9.8725933642728463E-009         1.6897809084257017E-010         0.0000000000000000E+000         2.4965358274910729E-003         3.0304790898755402E-005         7.3728934690912634E-004         6.1088852298687314E-003         5.3917068067943012E-007         1.2391826166318095E-003         3.1227961196029912E-005         5.8956682884685652E-004         6.5265243055956921E-004         3.1309570972084155E-004         6.8535470825470673E-005         3.3346114782200580E-006         1.5846366978212773E-003         6.1958648697650069E+000         6.7922011529389215E-001        -1.5070928852815930E+000         0.0000000000000000E+000         2.7188188268808156E-001         1.2287139487467405E-001         7.1539283800001829E-001         2.7025513764639425E-001         2.4965358274910729E-003         7.3728934690912634E-004         6.1088852298687314E-003         1.2391826166318095E-003         5.8956682884685652E-004         6.5265243055956921E-004        -8.5729698998371635E+000        -2.9378762538142563E+001        -9.8999999999999986E+001        -9.4600816170632413E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         1.0868896439596600E+002         0.0000000000000000E+000         1.4883133382400672E+003         1.0490910144086363E+004         9.4459378498501695E-002         1.0411170457922265E+000         0.0000000000000000E+000         9.9998326536373794E-001         2.6197016316005479E-005         7.2493733126740630E+046        -1.0000000000000000E+000
   94         6.7000000000000002E+000         1.2683298240285396E-001         1.2683286033511088E-001        -6.3072745708322518E-015         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.5432934674634278E+000        -5.1531873934653607E+000        -8.4899006552565162E+000        -9.8999999999999986E+001        -9.8999999999999986E+001         3.4856184280895777E+000        -1.5432042461722499E+000        -2.2020643772875573E-001         3.9730597459518524E+000        -1.8450984743005532E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972914E-001         2.9654502704034923E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.0045793644488399E-010         7.1539283799982667E-001         6.6324353447847484E-005         2.7025513764644915E-001         9.8725933505247307E-009         1.6897809084259824E-010         0.0000000000000000E+000         2.4965358274914879E-003         3.0304790898760437E-005         7.3728934690924885E-004         6.1088852298697462E-003         5.3917068067951610E-007         1.2391826166320073E-003         3.1227961196034893E-005         5.8956682884695052E-004         6.5265243055967329E-004         3.1309570972089143E-004         6.8535470825481596E-005         3.3346114782205900E-006         1.5846366978215295E-003         6.2039984187599888E+000         6.7637961789266976E-001        -1.5401484782041663E+000         0.0000000000000000E+000         2.6630635702861938E-001         1.2683286033511088E-001         7.1539283799982667E-001         2.7025513764644915E-001         2.4965358274914870E-003         7.3728934690924885E-004         6.1088852298697444E-003         1.2391826166320071E-003         5.8956682884695052E-004         6.5265243055967319E-004        -8.4899006552565162E+000        -2.9059519630103686E+001        -9.8999999999999986E+001        -9.3872509231343798E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         1.0821613458685246E+002         0.0000000000000000E+000         1.4935611141099484E+003         1.0519193039819040E+004         9.6401271694849772E-002         1.0422562005675620E+000         0.0000000000000000E+000         9.9998223832615230E-001         2.7813814494886893E-005         7.6276366246487470E+046        -1.0000000000000000E+000
   95         6.7000000000000002E+000         1.3079477085946192E-001         1.3079464405587821E-001        -6.3844841252764232E-015         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.5252286630083847E+000        -5.1397769588807494E+000        -8.4069792768492437E+000        -9.8999999999999986E+001        -9.8377723468211983E+001         3.4871818766317104E+000        -1.5251152477151981E+000        -2.1430093258549998E-001         3.9752014591037330E+000        -1.8450984743004790E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972925E-001         3.0253227144576225E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.9927975328076946E-010         7.1539283799961928E-001         6.6324353597815806E-005         2.7025513764650394E-001         9.8725933297081879E-009         1.6897809084262624E-010         0.0000000000000000E+000         2.4965358274919016E-003         3.0304790898765465E-005         7.3728934690937093E-004         6.1088852298707592E-003         5.3917068067960186E-007         1.2391826166322042E-003         3.1227961196039860E-005         5.8956682884704430E-004         6.5265243055977694E-004         3.1309570972094119E-004         6.8535470825492492E-005         3.3346114782211194E-006         1.5846366978217816E-003         6.2121697770173121E+000         6.7354917448939700E-001        -1.5743391114422285E+000         0.0000000000000000E+000         2.6070111695879594E-001         1.3079464405587821E-001         7.1539283799961950E-001         2.7025513764650394E-001         2.4965358274919016E-003         7.3728934690937115E-004         6.1088852298707601E-003         1.2391826166322042E-003         5.8956682884704441E-004         6.5265243055977716E-004        -8.4069792768492437E+000        -2.8740835504077758E+001        -9.8999999999999986E+001        -9.3145526180323387E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         1.0762583681477250E+002         0.0000000000000000E+000         1.4971217786526581E+003         1.0533393916827321E+004         1.0043958965028869E-001         1.0432917553302743E+000         0.0000000000000000E+000         9.9998121234651527E-001         2.9430195929137309E-005         8.0172624232363448E+046        -1.0000000000000000E+000
   96         6.7000000000000002E+000         1.3475678724954587E-001         1.3475665564032843E-001        -6.4351929448349504E-015         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.5072047281852936E+000        -5.1268655635533840E+000        -8.3242882588402445E+000        -9.8999999999999986E+001        -7.0549682404738746E+001         3.4887307742817604E+000        -1.5071095396960674E+000        -2.0838676047405452E-001         3.9773266411149026E+000        -1.8450984743004124E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972925E-001         3.0732382174567365E-008         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -1.9725200405967362E-010         7.1539283799939923E-001         6.6324353761071175E-005         2.7025513764655884E-001         9.8725932983197525E-009         1.6897809084265436E-010         0.0000000000000000E+000         2.4965358274923171E-003         3.0304790898770500E-005         7.3728934690949367E-004         6.1088852298717758E-003         5.3917068067968794E-007         1.2391826166324020E-003         3.1227961196044847E-005         5.8956682884713841E-004         6.5265243055988114E-004         3.1309570972099128E-004         6.8535470825503443E-005         3.3346114782216513E-006         1.5846366978220343E-003         6.2203729731125552E+000         6.7070950727235967E-001        -1.6103438679490245E+000         0.0000000000000000E+000         2.5506556068008468E-001         1.3475665564032843E-001         7.1539283799939890E-001         2.7025513764655879E-001         2.4965358274923171E-003         7.3728934690949367E-004         6.1088852298717749E-003         1.2391826166324020E-003         5.8956682884713830E-004         6.5265243055988114E-004        -8.3242882588402445E+000        -2.8422977948004288E+001        -9.8999999999999986E+001        -9.2420456534676305E+001        -9.8999999999999986E+001        -9.8999999999999986E+001        -9.8999999999999986E+001         1.0691148757442336E+002         0.0000000000000000E+000         1.4988684567176006E+003         1.0532531017141820E+004         9.9204906786382982E-002         1.0442263152430775E+000         0.0000000000000000E+000         9.9998018742321371E-001         3.1046178572805198E-005         8.4183009850933902E+046        -1.0000000000000000E+000
