#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-03-07T22:19:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c8198631d1d2	
#INFO	-out.max=99999	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=99999
#-order=I
#-out.src=J/A+A/590/A78/table1
#-nav=cat:J/A+A/590/A78&tab:{J/A+A/590/A78/table1}&key:source=J/A+A/590/A78/table1&HTTPPRM:&&-ref=VIZ5c8198631d1d2&-out.max=99999&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CSI&-out=GES&-out=RAJ2000&-out=DEJ2000&-out=Teff&-out=e_Teff&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Per&-out=r_Per&-out=RV&-out=e_RV&-out=Vsini&-out=e_Vsini&-out=Note&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/590/A78/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/590/A78/table1
#-out=CSI
#-out=GES
#-out=RAJ2000
#-out=DEJ2000
#-out=Teff
#-out=e_Teff
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Per
#-out=r_Per
#-out=RV
#-out=e_RV
#-out=Vsini
#-out=e_Vsini
#-out=Note
#-out=Simbad
#

#RESOURCE=yCat_35900078
#Name: J/A+A/590/A78
#Title: NGC2264 weak-line T Tauri lithium abundances (Bouvier+, 2016)
#Table	J_A_A_590_A78_table1:
#Name: J/A+A/590/A78/table1
#Title: Lithium and rotation measurements
#Column	CSI	(A13)	CSI designation (CSIMon-NNNNNN)	[ucd=meta.id;meta.main]
#Column	GES	(A16)	GES designation (HHMMSSss+DDMMSSs)	[ucd=meta.id]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I3)	Error on Teff	[ucd=stat.error;phys.temperature.effective]
#Column	EWLi	(F5.1)	Lithium equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F4.1)	Error on EW(Li)	[ucd=stat.error]
#Column	f_EWLi	(I1)	[1/3] Flag on EW(Li) (1)	[ucd=meta.code]
#Column	Per	(F5.2)	Rotational period	[ucd=time.period]
#Column	r_Per	(A4)	Period reference (2)	[ucd=meta.ref;pos.frame]
#Column	RV	(F4.1)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F4.1)	? Error on RV	[ucd=stat.error]
#Column	Vsini	(F5.1)	? Projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	e_Vsini	(F4.1)	? Error on vsini	[ucd=stat.error;phys.veloc.rotat]
#Column	Note	(I1)	[1/3]? Notes (3) [NULL integer written as an empty string]	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
CSI;GES;RAJ2000;DEJ2000;Teff;e_Teff;EWLi;e_EWLi;f_EWLi;Per;r_Per;RV;e_RV;Vsini;e_Vsini;Note;Simbad
 ; ;deg;deg;deg;deg;0.1nm;0.1nm; ;d; ;km/s;km/s;km/s;km/s; ;
-------------;----------------;---------;---------;----;---;-----;----;-;-----;----;----;----;-----;----;-;------
CSIMon-000018;06411322+0955087;100.30520;+09.91909;4326;114;515.1;30.4;1; 4.26;V+16;17.8; 0.9; 30.0; 0.5; ;Simbad
CSIMon-000020;06420924+0944034;100.53849;+09.73427;4085;222;550.3; 8.5;1; 5.18;V+16;16.6; 0.8; 15.9; 1.6; ;Simbad
CSIMon-000029;06410328+0957549;100.26367;+09.96528;4397;307;550.9; 6.1;1; 8.01;V+16;19.1; 0.7; 15.0; 0.5; ;Simbad
CSIMon-000033;06410726+0958311;100.28026;+09.97533;4376;224;552.5;16.0;1; 2.59;V+16;21.6; 1.6; 34.7; 1.7; ;Simbad
CSIMon-000038;06411088+1000409;100.29532;+10.01136;6289;  7; 34.8; 4.3;1; 3.62;V+16;13.6; 0.7; 24.0; 0.5;1;Simbad
CSIMon-000043;06414603+0954374;100.44177;+09.91037;3509; 67;565.6;26.5;1; 5.22;L+04;15.4; 0.4;  8.6; 2.3; ;Simbad
CSIMon-000050;06410153+1000366;100.25644;+10.01014;4646;417;468.4; 8.4;1; 3.55;V+16;19.4; 1.0; 22.5; 1.7; ;Simbad
CSIMon-000051;06411380+0955439;100.30754;+09.92889;6034; 90;191.0; 1.2;1; 3.67;V+16;14.8; 1.0; 30.0; 0.5; ;Simbad
CSIMon-000057;06410394+0958095;100.26641;+09.96930;3794;114;634.7;10.4;1; 4.54;V+16;23.5; 2.8; 24.0; 0.5; ;Simbad
CSIMon-000066;06410357+1000354;100.26489;+10.00982;4138;360;607.4;13.8;1;11.24;V+16;20.6; 1.4;  9.0; 0.5; ;Simbad
CSIMon-000071;06410025+0958496;100.25105;+09.98046;5216; 71;366.7; 2.6;1; 5.41;V+16;20.8; 0.7; 24.0; 0.5; ;Simbad
CSIMon-000072;06413759+0949321;100.40660;+09.82559;3389; 65;681.0;13.6;1; 2.44;L+04;18.3; 0.8; 18.0; 0.5; ;Simbad
CSIMon-000075;06411159+1002235;100.29830;+10.03989;5013;116;473.1;25.5;2; 2.38;V+16;    ;    ; 36.4; 1.9; ;Simbad
CSIMon-000086;06404645+0959464;100.19356;+09.99622;4081;234;614.7; 9.3;1; 4.53;A+13;24.2; 3.1; 35.7; 2.6; ;Simbad
CSIMon-000102;06404325+0931149;100.18014;+09.52084;3461;125;630.4;29.2;1; 8.90;V+16;18.7; 0.8; 10.7; 1.7; ;Simbad
CSIMon-000104;06410417+0952020;100.26740;+09.86722;4493;192;501.1; 7.0;1; 8.84;L+04;21.4; 0.7; 12.0; 0.5; ;Simbad
CSIMon-000108;06411485+0932359;100.31184;+09.54330;3235; 52;654.1;33.5;1; 4.06;V+16;23.0; 4.2; 71.7; 4.3; ;Simbad
CSIMon-000112;06405131+0936390;100.21377;+09.61086;3463; 15;639.7;18.1;1; 1.23;L+04;18.1; 2.1; 42.0; 0.5; ;Simbad
CSIMon-000121;06414901+0941061;100.45424;+09.68503;4139;347;573.2;23.4;1; 6.53;LRpv;16.7; 0.7; 15.0; 0.5; ;Simbad
CSIMon-000122;06414711+0938047;100.44631;+09.63464;4378;329;522.5; 5.7;1; 5.32;V+16;18.0; 0.9; 15.0; 0.5; ;Simbad
CSIMon-000129;06404091+0927595;100.17049;+09.46655;3492; 11;648.2;25.5;1; 1.22;L+04;18.0; 0.5; 11.2; 1.6; ;Simbad
CSIMon-000135;06410000+0928500;100.24999;+09.48057;4309;385;564.3; 8.1;1; 4.21;A+13;20.3; 1.4; 22.1; 1.6; ;Simbad
CSIMon-000139;06405367+0958000;100.22363;+09.96669;3986;220;551.4; 7.6;1; 8.04;V+16;20.3; 1.1;  9.0; 0.5; ;Simbad
CSIMon-000142;06404480+0949478;100.18667;+09.82994;3657; 22;554.0; 8.5;1; 6.62;L+04;23.4; 2.8; 12.0; 0.5; ;Simbad
