#Title: ACRONYM II. The {beta} Pictoris Moving Group (Shkolnik+," 2017)""",,,,,,,,,,,,,,,,,
#Column,2MASS,(A16),2MASS name (HHMMSSss+DDMMSSs),[ucd=meta.id;meta.main],,,,,,,,,,,,,,
#Column,SpType,(a9),Spectral type,[ucd=src.spType],,,,,,,,,,,,,,
#Column,EW(Ha),(F5.1),[-73.6/3.9]? H{alpha} equivalent width ({AA}),[ucd=spect.line.eqWidth;em.line.Halpha],,,,,,,,,,,,,,
#Column,l_EW(Li),(A1),[<] Limit flag on EW(Li),[ucd=meta.code.error],,,,,,,,,,,,,,
#Column,EW(Li),(I3),[-39/920]? Li equivalent width ({AA}) [NULL integer written as an empty string],[ucd=spect.line.eqWidth],,,,,,,,,,,,,,
#Column,RV,(F6.2),[-25.6/23.5]? Radial velocity,[ucd=phys.veloc;pos.heliocentric],,,,,,,,,,,,,,
#Column,GType,(A5),"Gravity type (FLD-G, INT-G or VL-G) (G1)",[ucd=src.class],,,,,,,,,,,,,,
#Column,plx,(F5.1),[10.1/102.1]? Parallaxe {pi},[ucd=pos.parallax.trig],,,,,,,,,,,,,,
#Column,MmRV,(A2),Membership assessment of the RV (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,MmHa,(A1),Membership assessment of the H{alpha} emission (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,MmLi,(A1),Membership assessment of the Li absorption (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,BPMG,(A2),BPMG member? (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
2MASS,B-V,SpType,EW(Ha),l_EW(Li),EW(Li),RV,GType,plx,MmRV,MmHa,MmLi,BPMG,notes,2MASS,identifier,bib(B;V),binaries,bad B-V
2MASS J00065008-2306271,0.374,F2       ,     , ,87,9.7,---  ,25.2,  , , ,,OOR,2MASS J00065008-2306271,HD 203                    ,,PM J01071-1935            ,V* FK Psc                 
2MASS J00172353-6645124,,M2.5     ,-6, ,   ,10.7,---  ,25.6,Y ,Y,-,Y,OOR,2MASS J00172353-6645124,RBS 38                    ,,LP 467-16                 ,BD+30 397                 
2MASS J00233468+2014282,1.4,K7.5     ,-0.2, ,339,-1.7,---  ,     ,Y ,Y,Y,Y,bad,2MASS J00233468+2014282,V* FK Psc                 ,,Barta 161 12              ,EXO 0235.2-5216           
2MASS J00274534-0806046,0.69,M5.5     ,     , ,   ,      ,INT-G,     ,- ,-,-,?,OOR,2MASS J00274534-0806046,SCR J0027-0806            ,,BD+17 232                 ,2MASS J05200029+0613036   
2MASS J00275023-3233060,1.38,M3.5     ,-7.8, ,   ,8.8,---  ,30.1,Y ,Y,-,Y,OOR,2MASS J00275023-3233060,GJ 2006 A                 ,,CD-44 753                 ,RX J0520.5+0616           
2MASS J00275035-3233238,1.41,M3.5     ,-5.3, ,   ,8.5,---  ,31.8,Y ,Y,-,Y,OOR,2MASS J00275035-3233238,GJ 2006 B                 ,,PM J05243-1601            ,Smethells 20              
2MASS J00325584-4405058,,L0       ,     , ,   ,13,INT-G,38.4,  , , ,,OOR,2MASS J00325584-4405058,EROS-MP J0032-4405        ,,GSC 06513-00291           ,CD-31 16041               
2MASS J00440332+0228112,,L7       ,     , ,   ,      ,VL-G ,     ,  , , ,,OOR,2MASS J00440332+0228112,2MASS J00440332+0228112   ,,MCC 124                   ,TYC 6872-1011-1           
2MASS J00464841+0715177,,L0       ,     , ,   ,-2.8,VL-G ,     ,  , , ,,OOR,2MASS J00464841+0715177,2MASS J00464841+0715177   ,,TWA 22                    ,TYC 7443-1102-1           
2MASS J01071194-1935359,2.343,M0.5+M2.5,-2, ,302,11.5,---  ,     ,Y ,Y,Y,Y,binary,2MASS J01071194-1935359,PM J01071-1935            ,,CD-64 1208                ,BD-13 6424                
