#AB DOR from table 6 Mentuch et al 2008,,,,,,,,
Object ID,Spectral Type,No. of Obs.,EW6708 mA,Teff (K),ƒ,ƒ,log g,log NLi
AB Dor ...............................,K1,3,261,5210,0.261 & 0.021,5210 & 34,4.63 & 0.06,3.50 & 0.04
GSC 08894-00426 ..............,M2,3,37,3343,0.037 & 0.022,3343 & 11,4.83 & 0.05,0.25 & 0.02
HD 13482A.........................,K1,2,124,5725,0.124 & 0.020,5725 & 105,4.47 & 0.18,3.17 & 0.03
HD 13482B.........................,,1,76,5090,0.076 & 0.020,5090 & 10,4.95 & 0.05,1.75 & 0.02
HD 17332B.........................,,1,168,5780,0.168 & 0.020,5780 & 10,4.35 & 0.05,3.55 & 0.02
HD 217343 .........................,G3 V,3,172,5957,0.172 & 0.020,5957 & 28,4.25 & 0.05,3.68 & 0.04
HD 217379N.......................,,2,20,4050,0.020 & 0.020,4050 & 14,5.07 & 0.06,0.30 & 0.05
HD 217379S .......................,,2,30,4165,0.030 & 0.021,4165 & 11,5.05 & 0.07,0.35 & 0.05
HD 218860 .........................,G5,2,222,5670,0.222 & 0.020,5670 & 10,4.32 & 0.06,3.55 & 0.02
HD 224228 .........................,K3 V,2,76,4905,0.076 & 0.020,4905 & 11,4.82 & 0.06,1.35 & 0.02
HD 35650 ...........................,K7,4,20,4252,0.020 & 0.020,4252 & 10,5.06 & 0.05,0.25 & 0.02
HD 45270 ...........................,G1 V,3,142,6187,0.142 & 0.020,6187 & 24,4.50 & 0.10,3.90 & 0.04
HD 65569 ...........................,K1 V,3,155,5223,0.155 & 0.020,5223 & 31,4.87 & 0.05,2.77 & 0.03
HIP 14807...........................,K6,1,34,4500,0.034 & 0.020,4500 & 10,4.60 & 0.05,0.55 & 0.02
HIP 14809...........................,G5,1,150,6050,0.150 & 0.020,6050 & 10,4.25 & 0.05,3.60 & 0.02
HIP 17695...........................,M3,2,74,3545,0.074 & 0.029,3545 & 18,4.72 & 0.06,0.25 & 0.02
HIP 26369...........................,K7,3,44,4010,0.044 & 0.020,4010 & 15,4.55 & 0.06,0.25 & 0.02
HIP 31878...........................,K7,3,42,4240,0.042 & 0.024,4240 & 14,5.12 & 0.05,0.53 & 0.03
HIP 6276.............................,G8,3,153,5643,0.153 & 0.020,5643 & 13,4.43 & 0.05,3.22 & 0.04
HR 2468..............................,G1.5,2,138,6060,0.138 & 0.020,6060 & 14,4.60 & 0.11,3.58 & 0.03
UY Pic ................................,K0 V,3,267,5600,0.267 & 0.020,5600 & 15,5.05 & 0.06,3.60 & 0.02
V372 Pub ............................,M3,5,20,3688,0.020 & 0.021,3688 & 19,4.88 & 0.05,0.25 & 0.02
