#AB DOR from table 6 Mentuch et al 2008,,,,,,,,
Object ID,Spectral Type,No. of Obs.,EW6708 mA,EW err,Teff (K),Teff_err,log g,log NLi
AB Dor ...............................,K1,3,261,21,5210,34,4.63 & 0.06,3.50 & 0.04
GSC 08894-00426 ..............,M2,3,37,22,3343,11,4.83 & 0.05,0.25 & 0.02
HD 13482A.........................,K1,2,124,20,5725,105,4.47 & 0.18,3.17 & 0.03
HD 13482B.........................,,1,76,20,5090,10,4.95 & 0.05,1.75 & 0.02
HD 17332B.........................,,1,168,20,5780,10,4.35 & 0.05,3.55 & 0.02
HD 217343 .........................,G3 V,3,172,20,5957,28,4.25 & 0.05,3.68 & 0.04
HD 217379N.......................,,2,20,20,4050,14,5.07 & 0.06,0.30 & 0.05
HD 217379S .......................,,2,30,21,4165,11,5.05 & 0.07,0.35 & 0.05
HD 218860 .........................,G5,2,222,20,5670,10,4.32 & 0.06,3.55 & 0.02
HD 224228 .........................,K3 V,2,76,20,4905,11,4.82 & 0.06,1.35 & 0.02
HD 35650 ...........................,K7,4,20,20,4252,10,5.06 & 0.05,0.25 & 0.02
HD 45270 ...........................,G1 V,3,142,20,6187,24,4.50 & 0.10,3.90 & 0.04
HD 65569 ...........................,K1 V,3,155,20,5223,31,4.87 & 0.05,2.77 & 0.03
HIP 14807...........................,K6,1,34,20,4500,10,4.60 & 0.05,0.55 & 0.02
HIP 14809...........................,G5,1,150,20,6050,10,4.25 & 0.05,3.60 & 0.02
HIP 17695...........................,M3,2,74,29,3545,18,4.72 & 0.06,0.25 & 0.02
HIP 26369...........................,K7,3,44,20,4010,15,4.55 & 0.06,0.25 & 0.02
HIP 31878...........................,K7,3,42,24,4240,14,5.12 & 0.05,0.53 & 0.03
HIP 6276.............................,G8,3,153,20,5643,13,4.43 & 0.05,3.22 & 0.04
HR 2468..............................,G1.5,2,138,20,6060,14,4.60 & 0.11,3.58 & 0.03
UY Pic ................................,K0 V,3,267,20,5600,15,5.05 & 0.06,3.60 & 0.02
V372 Pub ............................,M3,5,20,21,3688,19,4.88 & 0.05,0.25 & 0.02
