#Sestito P., Randich S.
#(2005) Astron. Astrophys. 442, 615
#Time scales of Li evolution: a homogeneous analysis of open clusters from ZAMS to late-MS
#2005A&A...442..615S

No	Ref	BV0	Teff	EW0	dEW	nLi	nLiNLTE	dnLi	Notes
0334	1	0.47	6430	102.		3.248	3.125		
0350	1	0.63	5772	138.		2.907	2.827		
0453	1	0.53	6172	43.		2.541	2.503		
0520	1	0.71	5477	165.		2.766	2.717		
0588	1	0.46	6474	79.		3.115	3.016		
0600	1	0.59	5928	16.		1.880	1.882		
0601	1	0.65	5696	200.		3.217	3.039		
0660	1	0.49	6343	62.		2.868	2.798		
0767	1	0.54	6131	107.		3.037	2.942		
0828	1	0.56	6048	158.		3.287	3.126		
0841	1	0.46	6474	70.		3.042	2.953		
0917	1	0.58	5967	117.		2.957	2.874		
0936	1	0.53	6172	55.	5.	2.668	2.621	0.093	N
0973	1	0.81	5142	218.	9.	2.700	2.646	0.195	
1519	1	0.61	5176	120.		2.159	2.235		
1528	1	0.97	4680	66.		1.170	1.404		
1532	1	0.49	6343	99.		3.158	3.047		
1533	1	0.94	4760	109.		1.574	1.763		
1537	1	0.88	4928	77.		1.578	1.741		
1538	1	0.68	5585	187.		3.016	2.897		
1543	1	0.89	4899	146.		1.971	2.096		
1551	1	0.48	6386	73.		2.999	2.914		
1556	1	0.92	4815	149.		1.879	2.022		
1561	1	1.01	4579	0.  		0.000	0.000		
1565	1	0.97	4680	58.		1.100	1.336		
1568	1	1.02	4555	0.		0.000	0.000		
1570	1	0.92	4815	164.		1.962	2.090		
1572	1	0.91	4842	102.		1.639	1.810		
1578	1	0.94	4760	150.		1.812	1.969		
1579	1	0.52	6214	107.		3.107	3.000		
1591	1	0.85	5018	254.		2.788	2.695		
1593	1	0.85	5018	245.		2.726	2.655		
1597	1	0.79	5206	192.		2.614	2.590		
1598	1	0.92	4815	201.		2.173	2.257		
1600	1	1.05	4484	95.		1.104	1.104		
1601	1	1.17	4233	49.	10.	0.400	0.400	0.160	
1601	1	1.17	4233	50.		0.411	0.411		
1606	1	0.93	4787	139.		1.787	1.946		
1610	1	0.84	5048	196.		2.440	2.465		
1612	1	1.07	4439	0.		0.000	0.000		
1614	1	0.99	4629	110.		1.401	1.630		
1617	1	0.87	4958	209.		2.406	2.440		
1618	1	0.73	5407	215.		2.999	2.871		
2010	1	0.84	5048	185.	5.	2.379	2.421	0.125	
2060	1	1.21	4161	36.	5.	0.178	0.178	0.128	
2070	1	0.73	5407	170.	8.	2.717	2.676	0.121	
2140	1	0.90	4871	24.	13.	0.936	1.131	0.233	N
2240	1	0.74	5373	274.	10.	3.386	3.114	0.143	
2271	1	0.84	5048	219.	10.	2.588	2.566	0.144	
2280	1	0.78	5239	53.	8.	1.746	1.849	0.230	N
2431	1	0.98	4654	170.	5.	1.775	1.948	0.142	
2491	1	0.91	4824	282.	13.	2.730	2.664	0.176	
2500	1	1.01	4579	76.	5.	1.107	1.366	0.141	
2590	1	0.88	4928	270.	19.	2.783	2.696	0.195	
2610	1	0.73	5407	219.	7.	3.026	2.888	0.124	
2720	1	0.87	4958	182.	5.	2.326	2.381	0.127	
3201	1	1.22	4144	25.	5.	0.273	0.273	0.192	
3311	1	0.81	5142	178.	5.	2.453	2.473	0.238	
3561	1	0.92	4815	175.	12.	2.025	2.141	0.207	
3580	1	0.81	5142	268.	12.	3.052	2.878	0.156	
3590	1	1.08	4417	45.	13.	0.606	0.606	0.191	
3980	1	0.84	5048	11.	5.	0.795	0.946	0.208	N
