#Balachandran, Mallik, Lambert 2011",,,,,,,,,,,
#Star,Teff (V-K),log g,Î_ t,Teff (spec),Teff (beta_),v sin i,vsin(i),log N(Li),membership,membership,Notes
#,(K),(cm sâˆ’2),(km sâˆ’1),(K),(K),(km sâˆ’1),(mÃ…),,Pr,Ma Me,
12,6663,4.5,1.5,,6953,49,101,3.27,Y,Y Y,SB?
56,5703,4.5,0.8,5600,,7,69,2.35,Y,Y . . .,
92,6683,4.5,1.5,,,23,109,3.31,Y,. . . . . .,
93,5764,4.5,1.5,,5880,25,119,2.66,Y,. . . . . .,
94,5703,4.5,1.5,,,65,225,2.94,Y,Y . . .,
135,6903,4.5,1.5,,6714,16,70,3.21,Y,Y Y,
174,4928,4.5,1.5,5000,5319,12,196,2.25,Y,Y Y,
270,6742,4.5,1.5,,6491,33,96,3.24,Y,Y Y,SB
299,6036,4.5,1.3,6200,,15,106,2.99,Y,Y Y,
309,6903,4.5,1.5,,6448,65,62,3.15,Y,Y . . .,
334,6511,4.5,1.7,6400,7040,19,105,3.23,Y,Y Y,
338,6606,4.5,1.5,,,56,111,3.25,Y,Y Y,
350,5673,4.5,1.5,,5893,42,215,2.91,Y,Y Y,
361,7113,4.5,1.5,,6740,30,59,3.18,Y,Y Y,
421,6761,4.5,1.5,,6935,90,58,3.05,Y,Y . . .,
490,7005,4.5,1.5,,6821,17,76,3.31,Y,Y Y,
520,5405,4.5,1.5,,5468,91,317,2.87,Y,. . . . . .,
588,6205,4.5,1.5,,6532,120,76,2.75,Y,Y . . .,
621,6862,4.5,1.5,,6613,28,76,3.25,Y,Y Y,
632,7007,4.5,1.5,,6632,160,76,3.31,Y,Y . . .,
660,6310,4.5,1.5,,,38,90,2.92,Y?,Y Y,
709,5873,4.5,1.5,,,59,187,3.01,Y,Y . . .,
750,6437,4.5,1.5,,,26,170,3.34,Y,Y Y,
767,6222,4.5,1.3,6100,,10,139,3.27,Y,Y Y,
799,7244,4.5,1.5,,6622,49,70,3.3,Y,Y . . .,
828,5503,4.5,1.5,,,12,157,2.68,Y,Y Y,
833,6702,4.5,1.5,,6491,27,144,3.46,Y,. . . Y,
841,6530,4.5,1.5,,,65,86,3.04,Y,Y . . .,
917,6003,4.5,1.5,,5841,40,191,3.11,Y,. . . Y,
968,6474,4.5,1.5,,,30,200,3.51,Y,Y Y,
972,6455,4.5,1.5,,6491,87,93,3.08,Y,Y . . .,
1086,5749,4.3,1.4,5900,6122,12,151,2.96,Y,Y Y,
1101,5540,4.5,1.5,,5387,35,377,3.11,Y,Y . . .,
1180,6761,4.5,1.5,,6522,45,99,3.32,Y,Y Y,
1185,5718,4.5,1.2,6000,5669,7,132,2.91,Y,Y Y,SB
1514,5503,4.3,1,5400,,8,187,2.94,Y,. . . Y,
1519,5417,4.5,1.5,,,50,293,2.81,Y,Y . . .,
1525,5187,4.3,1.6,5300,,12,193,2.64,Y,Y Y,
1528,4757,4.3,1.5,4900,,12,70,1.32,Y,. . . Y,
1532,6419,4.5,1.5,,,65,148,3.26,Y,Y Y,SB
1533,4889,4.5,1.5,,,<10,143,1.79,Y,. . . Y,
1537,5008,4.5,1.7,5200,,20,83,1.77,Y,. . . Y,
1543,4695,4.5,1.5,,,72,539,2.5,Y,. . . . . .,
1551,6400,4.5,1.5,,,65,92,3,Y,Y . . .,
1556,4757,4.5,1.5,,,110,299,2.11,Y,. . . . . .,
1565,4832,4.5,0.9,4800,,10,61,1.27,Y,. . . Y,
1570,4908,4.3,1.9,5300,,7,169,2.26,Y,. . . Y,
1572,5018,4.5,1.4,5100,,10,110,2.03,Y,. . . Y,
1575,4072,3.8,2.2,4900,,11,43,0.17,Y,. . . Y,SB
1578,4804,4.3,2,5200,,13,162,1.94,Y,. . . . . .,
1589,5381,4.3,1,5900,,8,77,2.24,Y,. . . Y?,
1590,5970,4.5,1.5,,,12,148,3.08,Y,Y Y,
1591,4822,4.5,1.5,,,25,232,2.22,Y,. . . . . .,
1593,4785,4.5,1.5,,,75,365,2.26,Y,. . . . . .,
1597,5232,4.5,1.5,,,10,196,2.7,Y,Y Y,SB
1600,4315,4.5,1.5,,,205,69,0.55,Y,. . . . . .,
1601,4286,4.5,1.5,,,<10,60,0.48,Y,. . . Y,
1604,5598,3.8,1.1,5900,,8,45,2.06,Y,. . . Y,
1606,4889,4,2.2,,,8,158,1.9,Y,. . . Y,
1607,4948,4.5,1.5,,,9,129,2,Y,. . . Y,
1610,5187,4.3,1.5,5200,,8,205,2.62,Y,. . . Y,
1612,4405,4.5,1.5,,,13,10,âˆ’0.65,Y,. . . . . .,
1614,4524,4.5,1.5,,,12,120,1.3,Y,. . . Y,
1617,4712,4.5,1.5,,,83,469,2.35,Y,. . . . . .,
1618,5133,4.5,1.5,,,160,307,2.51,Y,. . . . . .,
1621,5405,4.3,1.3,5500,,10,159,2.67,Y,. . . Y?,
1669,4557,4,1.6,4800,,8,54,0.86,Y,. . . Y,
1697,4767,4.3,1.7,5000,,10,78,1.49,Y,. . . Y,
1731,4228,4.5,0.8,4500,,25,56,0.38,Y,. . . . . .,
1735,4651,4.3,2.2,4900,,11,24,0.34,Y,. . . Y,
