# Brandt 2014 Table 1   (with B-V from Simbad querry),,,,,,,,,,,,,      typed ident      ,       identifier        ,"       coord1 (ICRS,J2000/2000)        ",  spec. type   ,#not
Name,       identifier        ,Mag B ,Mag V ,  spec. type   ,Moving Group,Prob Member,logR'HK,log RX,Li EW (mA)/,Prot (days),Referencese,Name,-----------------------,-------------------------,---------------------------------------,---------------,----
HIP 682,HD 377                   ,8.22,7.59,G2V            ,...,...,-4.38,4.15,150,...,T06,HIP 682,HIP 682                ,HD 377                   ,00 08 25.7456097412 +06 37 00.488182642,G2V            ,0
HIP 5944,HD 7590                  ,7.17,6.59,G0-V(k)        ,...,...,-4.47,4.68,[A] 2.73,5.67,Mi12; G00,HIP 5944,HIP 5944               ,HD 7590                  ,01 16 29.2527780479 +42 56 21.902677393,G0-V(k)        ,0
HIP 6878,HD 8907                  ,7.15,6.66,F8             ,...,...,-4.43,4.34,48,3.13,W07; W11,HIP 6878,HIP 6878               ,HD 8907                  ,01 28 34.3602968986 +42 16 03.688888803,F8             ,0
HIP 7345,* 49 Cet                 ,5.667,5.607,A1V            ,...,...,,<5.89,...,...,...,HIP 7345,HIP 7345               ,* 49 Cet                 ,01 34 37.7788265080 -15 40 34.898112472,A1V            ,0
HIP 7576,V* EX Cet                ,8.459,7.656,K0/1V          ,beta Pic,95+,-4.49,4.43,103,7.15,L06; S09,HIP 7576,HIP 7576               ,V* EX Cet                ,01 37 35.4668233260 -06 45 37.531277337,K0/1V          ,0
HIP 9141,V* DK Cet                ,8.73,8.057,G4V            ,Tuc-Hor,95+,-4.22,3.97,190,3.02,T06; W11,HIP 9141,HIP 9141               ,V* DK Cet                ,01 57 48.9776543901 -21 54 05.343324011,G4V            ,1
HIP 11360,HD 15115                 ,7.15,6.8,F4IV           ,Columba,85,,4.86,...,...,...,HIP 11360,HIP 11360              ,HD 15115                 ,02 26 16.2457708887 +06 17 33.187984874,F4IV           ,0
HIP 11847,HD 15745                 ,7.84,7.49,F0             ,beta Pic,50,,<4.69,...,...,...,HIP 11847,HIP 11847              ,HD 15745                 ,02 32 55.8109275442 +37 20 01.039220396,F0             ,0
HIP 13402,HD 17925                 ,6.91,6.05,K1V            ,beta Pic,20,-4.36,3.9,224,6.76,W07; W11,HIP 13402,HIP 13402              ,HD 17925                 ,02 52 32.1281853696 -12 46 10.970649463,K1V            ,0
HIP 18859,HD 25457                 ,5.88,5.38,F7V            ,AB Dor,95+,-4.4,4.16,...,...,...,HIP 18859,HIP 18859              ,HD 25457                 ,04 02 36.7451443573 -00 16 08.118566607,F7V            ,0
HD 281691,HD 281691                ,11.48,10.68,G8III          ,...,...,-3.97,3.13B,345,2.65,W07; W11,HD 281691,HD 281691              ,HD 281691                ,04 09 09.7467623485 +29 01 30.301321238,G8III          ,0
HIP 22845,* pi.01 Ori              ,4.723,4.648,A0Va_lB        ,...,...,,<6.31,...,...,...,HIP 22845,HIP 22845              ,* pi.01 Ori              ,04 54 53.7287660 +10 09 02.995200      ,A0Va_lB        ,0
HIP 28103,* eta Lep                ,4.05,3.72,F2V            ,...,...,,5.75,...,...,...,HIP 28103,HIP 28103              ,* eta Lep                ,05 56 24.2930042 -14 10 03.718884      ,F2V            ,0
HIP 37170,HD 60737                 ,     ~,     ~,G0             ,...,...,-4.38,4.26,107,...,W07,HIP 37170,HIP 37170              ,HD 60737                 ,07 38 16.4409933710 +47 44 55.221629265,G0             ,0
HIP 40693,HD 69830                 ,6.74,5.95,G8:V           ,...,...,-5.03,5.9,2.5,...,T05,HIP 40693,HIP 40693              ,HD 69830                 ,08 18 23.9469692487 -12 37 55.810202572,G8:V           ,2
HD 70573,V* V478 Hya              ,9.3,8.711,G1/2V          ,...,...,-4.16,4.09,166,3.3,W07; S09,HD 70573,HD 70573               ,V* V478 Hya              ,08 22 49.9528448767 +01 51 33.554224835,G1/2V          ,2
