#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-05T21:35:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5cf833fa791b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-order=I
#-out.src=J/A+A/601/A97/table1
#-nav=cat:J/A+A/601/A97&tab:{J/A+A/601/A97/table1}&key:source=J/A+A/601/A97/table1&HTTPPRM:&&-ref=VIZ5cf833fa791b&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-sort=Name&-out=Teff&-out=e_Teff&-out=EW(Li)&-out=e_EW(Li)&-out=Ha10&-out=e_Ha10&-ignore=All=*&All=All&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/601/A97/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/601/A97/table1
#-out=Name
#-out=Teff
#-out=e_Teff
#-out=EW(Li)
#-out=e_EW(Li)
#-out=Ha10
#-out=e_Ha10
#

#RESOURCE=yCat_36010097
#Name: J/A+A/601/A97
#Title: Gaia-ESO Survey: Cha I members (Sacco+, 2017)
#Table	J_A_A_601_A97_table1:
#Name: J/A+A/601/A97/table1
#Title: Members of Cha I observed by the Gaia-ESO Survey
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(A18)	Common name of Gaia-ESO targets, HHMMSSss+DDMMSSs	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	? Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Error on effective temperature [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	EW(Li)	(I3)	? Equivalent width of the Li line at 607.8nm [NULL integer written as an empty string]	[ucd=spect.line.eqWidth;em.opt.R]
#Column	e_EW(Li)	(I3)	? Error on EW(Li) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	Ha10	(I3)	? Width of the Halpha at 10% of the peak [NULL integer written as an empty string]	[ucd=spect.line.eqWidth]
#Column	e_Ha10	(I3)	? Error on Ha10 [NULL integer written as an empty string]	[ucd=stat.error]
_RAJ2000;_DEJ2000;Name;Teff;e_Teff;EW(Li);e_EW(Li);Ha10;e_Ha10
deg;deg; ;K;K;0.1pm;0.1pm;km/s;km/s
-----------;-----------;------------------;----;----;---;---;---;---
163.7901700;-77.5150000;10550964-7730540  ;    ;    ;725; 23;128;  5
163.9988700;-77.4110800;10555973-7724399  ;3640; 300;120; 58;441; 17
164.0682500;-76.5147200;10561638-7630530  ;    ;    ;   ;   ;215;  5
164.1268300;-77.1942500;10563044-7711393  ;4351; 505;300; 17;390;  8
164.1310800;-76.3092800;10563146-7618334  ;3319;  48;597; 11;142;  4
164.4257900;-76.9932200;10574219-7659356  ;3452; 183;571; 16;272;  6
164.4740000;-77.4137500;10575376-7724495  ;3426;  88;632; 10;138;  8
164.7545000;-77.3779700;10590108-7722407  ;4135; 125;375; 19;375;  8
164.7791200;-77.0278900;10590699-7701404  ;4981; 260;390;  1;440;  9
165.1675800;-76.3244400;11004022-7619280  ;    ;    ;584; 18;230;  5
165.3281200;-76.4506900;11011875-7627025  ;3940; 236;580; 21;175; 11
165.5802900;-75.6160000;11021927-7536576  ;    ;    ;566; 33; 94;  4
165.6037900;-77.5599200;11022491-7733357  ;4519; 174;471; 12;382;  8
165.6360400;-77.4869200;11023265-7729129  ;3610; 104;618; 13;148; 10
165.7293300;-77.3641100;11025504-7721508  ;2900; 262;174; 11;322; 10
165.9643300;-75.6759700;11035144-7540335  ;    ;    ;443; 73;144;  6
165.9867500;-77.3591400;11035682-7721329  ;3443;  95;616; 25;135;  2
166.2125000;-76.4233300;11045100-7625240  ;4571; 334;576; 17;175;  7
166.2202100;-76.4309400;11045285-7625514  ;4031; 267;583; 18;120;  3
166.2375400;-77.2658100;11045701-7715569  ;    ;    ;   ;   ;372; 48
166.2813300;-78.2017500;11050752-7812063  ;    ;    ;399; 15;181; 87
166.3111300;-77.1913900;11051467-7711290  ;3433; 200;525; 10;241; 13
166.3446700;-77.1580600;11052272-7709290  ;    ;    ;   ;   ;126;  5
166.3530000;-76.4391400;11052472-7626209  ;3576;  73;567; 17;104;  3
166.4291700;-77.4476900;11054300-7726517  ;3223;  98;542;  8;138;  5
166.4692100;-76.3070800;11055261-7618255  ;4406; 740;609; 13;202;  9
166.4908300;-76.1302500;11055780-7607489  ;    ;    ;   ;   ;   ;
166.5004600;-75.1236700;11060011-7507252  ;    ;    ;504; 17;142;  6
166.6064600;-76.5616100;11062555-7633418  ;    ;    ;   ;   ;305; 25
166.6741700;-76.5969200;11064180-7635489  ;3273;  16;332; 14;416; 10
166.6879200;-77.4506400;11064510-7727023  ;4343; 147;401; 51;503; 38
166.7388800;-77.7029400;11065733-7742106  ;3436;  62;606; 20;155;  7
166.7460800;-77.3148600;11065906-7718535  ;    ;    ;   ;   ;432;  9
166.7882900;-77.3846900;11070919-7723049  ;    ;    ;   ;   ;   ;
166.7978300;-77.7776100;11071148-7746394  ;3709; 133;640;  8;288;  7
166.8002500;-76.5397800;11071206-7632232  ;3980; 135;578;  9;523; 10
166.8054200;-77.7305000;11071330-7743498  ;    ;    ;590; 50;119;  5
