#Coma berenice lithium
# Ford et al 2001. table 2
#Upper_lim 1 is upper limit
# EW is deblended (subtracting iron) and in mA

B-V	B-V_err	EW	EW_err	Teff	Upper_Lim
0.658 	 0.036	7	0	5683	1
0.747	  0.041	31.1	1.7	5427	0
0.747	  0.041	44.1	0	5427	0
0.848	  0.086	3.5	0	5170	1
0.546	  0.015	77.1	0	6091	0
0.624	  0.002	72.5	0	5808	0
0.773	  0.017	25	1	5358	0
0.594	  0.005	49.7	0	5917	0
0.89	  0.01	6	0	5070	1
0.463	0.005	37.8	0	6391	0
0.79	0.02	28.8	1	5316	0
0.57 	0.03	69.8	1.7	6003	0
0.71	0.06	45	1.2	5616	0
0.608	0.03	57.2	0	5866	0
0.63 	0.01	67.4	0	5786	0
0.86 	0.01	3	0	5142	1
0.54	0.01	80.7	2	6112	0
0.85 	0.01	5.8	0	5167	1
0.82 	0.01	5.6	0	5240	1
0.81	0.01	15	2	5265	0
0.797	0.078	4.4	0	5298	1
