#Randich 01
;star, bmv, vmi, ewli, err_ewli

W 79, 0.79, 0.81, 142, 5
R 1, 0.87, 0.87, 204, 7
R3, 0.83, .85, 265, 13
R7, 0.4, .42, 65, 17
R8, .61, .62, 178, 9
R14, .83, .84, 230, 10
R15, .89, 1.02, 255, 15
R21, .47, .58, 119, 10
R29, 1.07, 1.15, 239, 11
R35, 0.63, 0.66, 215, 8
R43, .95, 1.1, 355, 20
R45, 0.62, 0.68, 151, 7
R54, 1.11, 1.33, 189, 10
R58, .61, .7, 204, 27
R59, .78, .96, 305, 15
R66, .64, .79, 173, 10
R68, .82, 1.05, 266, 10
R70, .64, .67, 172, 12
R72, .62, .72, 209, 15
R79, .4, .47, 61, 20
R85, .48, .54, 103, 10
R89, 1.2, 1.31, 265, 8
R92, 0.65, 0.74, 195, 10
R93, 1.33, 1.58, 60, 10
R94, 1.35, 1.69, 174, 8
R95, .83, .93, 317, 15
R96, 1.21, 1.33, 320, 12
