#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T14:02:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0b8d99052c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ic2602}&key:source=J/A+A/612/A99/ic2391&HTTPPRM:&&-ref=VIZ5d0b8d99052c&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ic2391&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+A/612/A99/ic2602
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#-out.src=J/A+A/612/A99/ic2391
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ic2602:
#Name: J/A+A/612/A99/ic2602
#Title: Parameters for IC2602
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
deg;deg; ; ; ;K;K;[cm/s2];[cm/s2];[-];[-]; ;[0.1pm];[0.1pm]; ; ; ;km/s;km/s; ; ; ;deg;deg
-----------;-----------;----------------;-------;-------;-----;----;--------;--------;--------;--------;-;--------;--------;----;--------;--------;--------;--------;------;------;----;---------;---------
157.1561667;-64.7522222;10283748-6445080; IC2602;   UVES; 4969;  19;   2.781;   0.050;   0.069;   0.019;<;  28.900;        ;   3;   1.015;   0.002;   8.040;   0.400;      ;      ;   1;157.15617;-64.75222
157.1821667;-64.5942222;10284372-6435392; IC2602;   UVES; 6876;  36;   4.376;   0.035;   0.006;   0.063; ;  72.300;        ;   0;        ;        ;  19.059;   0.400; 0.916;      ;   2;157.18217;-64.59422
157.3110833;-64.6535278;10291466-6439127; IC2602;   UVES; 5136;  16;   3.348;   0.035;  -0.553;   0.015;<;  10.300;        ;   3;   1.000;   0.003; -18.765;   0.400;      ;      ;   3;157.31108;-64.65353
157.5510417;-64.5905000;10301225-6435258; IC2602;   UVES; 4701;  31;   2.233;   0.055;  -0.088;   0.036;<;  28.100;        ;   3;   1.017;   0.003;  80.500;   0.400;      ;      ;   4;157.55104;-64.59050
157.6002083;-63.3101667;10302405-6318366; IC2602;   UVES; 4842;  31;   2.624;   0.021;   0.027;   0.023; ;  15.200;        ;   0;   1.019;   0.003; -10.627;   0.400;      ;      ;   5;157.60021;-63.31017
157.6047917;-63.5566389;10302515-6333239; IC2602;   UVES; 6561;    ;   4.438;        ;  -0.208;        ; ;  43.400;        ;    ;        ;        ;   3.086;   0.400; 0.071;      ;   6;157.60479;-63.55664
157.6129167;-64.8357778;10302710-6450088; IC2602;   UVES; 4792;  18;   2.591;   0.056;  -0.020;   0.008; ;  17.900;        ;   0;        ;        ;  -0.232;   0.400;      ;      ;   7;157.61292;-64.83578
157.6582500;-63.5152778;10303798-6330550; IC2602;   UVES; 4681;  31;   2.686;   0.113;  -0.142;   0.020;<;  28.900;        ;   3;   1.013;   0.003;  32.139;   0.400;      ;      ;   8;157.65825;-63.51528
157.6800417;-63.4629167;10304321-6327465; IC2602;   UVES; 4951;   7;   2.598;   0.010;  -0.110;   0.010;<;  28.800;        ;   3;   1.019;   0.003;  12.314;   0.400;      ;      ;   9;157.68004;-63.46292
157.6864583;-64.7251667;10304475-6443306; IC2602;   UVES; 4639;   1;   2.390;   0.030;  -0.072;   0.024; ;  59.033;   5.830;   0;   1.029;   0.003;   7.683;   0.400;      ;      ;  10;157.68646;-64.72517
157.8409167;-63.4911389;10312182-6329281; IC2602;   UVES; 4654;  15;   2.352;   0.055;  -0.222;   0.024;<;  17.500;        ;   3;   1.021;   0.002; -16.943;   0.400;      ;      ;  11;157.84092;-63.49114
157.9050833;-63.4567500;10313722-6327243; IC2602;   UVES; 5252;  20;   3.106;   0.079;   0.072;   0.035;<;  17.700;        ;   3;   1.014;   0.003; -17.027;   0.400;      ;      ;  12;157.90508;-63.45675
157.9370833;-63.4894722;10314490-6329221; IC2602;   UVES; 6544;    ;   4.000;        ;  -0.090;        ; ;  65.000;        ;   0;        ;        ;        ;        ;      ;      ;  13;157.93708;-63.48947
158.0818750;-63.3756944;10321965-6322325; IC2602;   UVES; 4701;  22;   2.557;   0.116;   0.011;   0.016;<;  46.600;        ;   3;   1.022;   0.002; -24.863;   0.400;      ;      ;  14;158.08187;-63.37569
158.4242083;-64.2293611;10334181-6413457; IC2602;   UVES; 5306;  29;   4.210;   0.012;  -0.106;   0.019; ; 232.000;   1.475;   0;   0.978;   0.002;  17.053;   0.400; 0.945;      ;  15;158.42421;-64.22936
158.5495833;-64.1797500;10341190-6410471; IC2602;   UVES; 7140;    ;   4.050;        ;  -0.130;        ; ;  19.350;   1.740;   0;   1.023;   0.001;  64.297;   0.400; 0.104;      ;  16;158.54958;-64.17975
158.6570417;-64.1685556;10343769-6410068; IC2602;   UVES; 4658;  24;   2.599;   0.048;   0.115;   0.037;<;  45.100;        ;   3;   1.025;   0.003;   3.807;   0.400;      ;      ;  17;158.65704;-64.16856
158.6648750;-64.1238333;10343957-6407258; IC2602;   UVES; 4731;  35;   2.564;   0.086;  -0.016;   0.023; ;  36.200;        ;   0;   1.016;   0.003; -34.445;   0.400;      ;      ;  18;158.66487;-64.12383
158.7353750;-64.1339722;10345649-6408023; IC2602;   UVES;11300;2000;   4.490;   1.000;  -0.016;        ; ;        ;        ;    ;        ;        ;  66.149;   0.400; 0.200;      ;  19;158.73537;-64.13397
158.7427500;-64.2104722;10345826-6412377; IC2602;   UVES; 5921;    ;   4.364;        ;  -0.084;        ; ;        ;        ;    ;        ;        ;   9.062;   0.400; 0.153;      ;  20;158.74275;-64.21047
