#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T14:23:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0b96cbb391	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ic4665}&key:source=J/A+A/612/A99/ic4665&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/612/A99/ic4665
#-order=I
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ic4665:
#Name: J/A+A/612/A99/ic4665
#Title: Parameters for IC4665
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
 ; ; ;K;K;[cm/s2];[cm/s2];[-];[-]; ;[0.1pm];[0.1pm]; ; ; ;km/s;km/s; ; ; ;deg;deg
----------------;-------;-------;-----;----;--------;--------;--------;--------;-;--------;--------;----;--------;--------;--------;--------;------;------;----;---------;---------
17442695+0554052; IC4665;   UVES; 5341; 180;   4.347;   0.259;  -0.006;   0.084; ; 308.800;        ;   0;        ;        ; -13.420;   0.400; 0.933;      ;   1;266.11229;+05.90144
17442711+0547196; IC4665;   UVES; 5537; 109;   4.406;   0.098;   0.000;   0.014; ; 233.200;        ;   0;        ;        ; -13.034;   0.400; 0.897;      ;   2;266.11296;+05.78878
17443565+0557208; IC4665;   UVES; 6109;  36;   3.805;   0.023;  -0.296;   0.019; ;  39.300;        ;   0;        ;        ; -14.002;   0.400; 0.940;      ;   3;266.14854;+05.95578
17443667+0537161; IC4665;   UVES; 6291;    ;   3.890;        ;  -0.010;        ; ;  51.500;   6.975;   0;   1.008;   0.003;  -0.304;   0.400; 0.047;      ;   4;266.15279;+05.62114
17444099+0541558; IC4665;   UVES; 7029;    ;   4.120;        ;  -0.120;        ; ;  24.200;        ;   0;        ;        ; -16.287;   0.400; 0.476;      ;   5;266.17079;+05.69883
17444501+0525346; IC4665;   UVES; 6389;  73;   3.859;   0.030;  -0.132;   0.049; ;  10.600;        ;   0;        ;        ; -30.282;   0.400; 0.040;      ;   6;266.18754;+05.42628
17445810+0551329; IC4665;   UVES; 5512; 124;   4.486;   0.035;  -0.045;   0.073; ; 223.633;   5.583;   0;   0.993;   0.004; -13.116;   0.400; 0.942;      ;   7;266.24208;+05.85914
17451225+0514597; IC4665;   UVES; 6432; 125;   3.996;   0.112;  -0.345;   0.076; ;  28.600;        ;   0;        ;        ; -31.706;   0.400; 0.036;      ;   8;266.30104;+05.24992
17451940+0547401; IC4665;   UVES; 5309; 106;   4.470;   0.091;  -0.060;   0.014; ; 244.367;   3.153;   0;   0.993;   0.004; -12.503;   0.400; 0.949;      ;   9;266.33083;+05.79447
17452508+0551388; IC4665;   UVES; 5349; 165;   4.419;   0.179;  -0.050;   0.028; ; 310.633;   6.334;   0;   0.998;   0.004; -12.354;   0.400; 0.922;      ;  10;266.35450;+05.86078
17452906+0601462; IC4665;   UVES; 6475;    ;   4.010;        ;  -0.060;        ; ; 110.800;        ;   0;        ;        ; -10.951;   0.400; 0.424;      ;  11;266.37108;+06.02950
17453550+0519023; IC4665;   UVES; 6314;    ;   3.870;        ;  -0.040;        ; ;  11.800;        ;   0;        ;        ;   1.075;   0.400; 0.056;      ;  12;266.39792;+05.31731
17453692+0542424; IC4665;   UVES; 6047;    ;   4.588;        ;  -0.121;        ; ;        ;        ;    ;        ;        ;  17.923;   0.400; 0.020;      ;  13;266.40383;+05.71178
17453881+0536232; IC4665;   UVES; 6270;    ;   3.920;        ;  -0.030;        ; ; 113.000;        ;   0;        ;        ; -14.246;   0.400; 0.927;      ;  14;266.41171;+05.60644
17454123+0533444; IC4665;   UVES; 6572;    ;   4.100;        ;  -0.030;        ; ;  76.633;   5.804;   0;   0.999;   0.002; -11.397;   0.400; 0.304;      ;  15;266.42179;+05.56233
17455598+0602542; IC4665;   UVES; 5653;  98;   4.491;   0.139;   0.018;   0.146; ; 239.633;   5.668;   0;   0.996;   0.003; -14.567;   0.400; 0.779;      ;  16;266.48325;+06.04839
