#Jones et al. 1997
#negative ew and nli mean upper limits
;jp_num,bmv_0,teff,ew6707,lognli,vsini,vrad,membership_prob

17 , 0.46 , 6474 , 20 , 2.43 , 28.5 , -9.8 , 99
42 , 0.90 , 4870 , 62 , 1.38 , 7.4 , -11.5 , 76
51 , 0.37 , 6888 , -15 , -2.6 , 66 , -5.2 , 99
113 , 0.83 , 5079 , 109 , 1.98 , 11.7 , -13.5 , 84
133 , 0.62 , 5810 , 113 , 2.79 , 11.0 , -11.8 , 96
156a , 0.44 , 6579 , 109 , 3.34 , 12.0 , -59.6 , 99
156b , 0.49 , 6355 , 111 , 3.34 , 12.0 , 50.4 , 99
158 , 0.80 , 5173 , 184 , 2.53 , 45 , -9.9 , 86
172 , 1.08 , 4417 , 43 , 0.59 , 10 , -9.8 , 3
194 , 1.10 , 4373 , 53 , 0.63 , 8.0 , -13.0 , 6
199 , 0.80 , 5173 , 104 , 2.06 , 9.5 , -9.0 , 85
208 , 0.66 , 5658 , 153 , 2.88 , 5.0 , -13.7 , 98
213 , 0.54 , 6130 , 86 , 2.89 , 23.5 , -5.7 , 94
224 , 0.75 , 5338 , 146 , 2.5 , 13.3 , -9.4 , 91
227 , 0.76 , 5305 , 112 , 2.26 , 11. , -15.4 , 92
229 , 1.22 , 4144 , 33 , 0.13 , 8.2 , -9.4 , 46
246 , 0.42 , 6654 , -14 , -2.31 , 37.0 , -1.7 , 98
257 , 0.47 , 6429 , 70 , 3.01 , 43.0 , -999 , 99
265 , 1.07 , 4438 , 208 , 1.69 , 34.0 , -17 , 53
268 , 1.14 , 4291 , 24 , 0.15 , 7.0 , -12.3 , 22
288 , 0.94 , 4759 , 55 , 1.18 , 5.8 , -6.7 , 57
289 , 0.90 , 4870 , 102 , 1.67 , 7.4 , -10.8 , 76
296 , 0.69 , 5548 , 49 , 2.04 , 5.0 , 47.2 , 91
298 , 0.92 , 4814 , 83 , 1.47 , 8.9 , -9.2 , 71
305 , 0.46 , 6474 , 47 , 2.82 , 26.0 , -7.5 , 98
317a , 0.64 , 5746 , 36 , 2.12 , 5.5 , 15.8 , 97
317b , 0.71 , 5460 , 209 , 3.02 , 9.8 , -27.5 , 97
320 , 0.73 , 5407 , 111 , 2.36 , 12.0 , -7.9 , 98
329 , 0.40 , 6747 , -15 , -2.75 , 35.0 , -5.4 , 98
331 , 0.57 , 6007 , 101 , 2.89 , 18.9 , -10.4 , 95
356 , 1.11 , 4352 , 195 , 1.50 , 15.4 , -9.1 , 18
366 , 0.65 , 2695 , 125 , 2.75 , 7.0 , -13.4 , 94
377 , 0.84 , 5048 , 155 , 2.21 , 11.1 , -9.7 , 81
392 , 0.95 , 4732 , 33 , 0.90 , 8.4 , -11.8 , 62
397 , 0.81 , 5141 , 62 , 1.71 , 8.3 , -10.1 , 85
404 , 0.46 , 6474 , 71 , 3.05 , 17.0 , -6.4 , 99
415 , 0.72 , 5442 , 96 , 2.31 , 5.0 , -11.8 , 93
424 , 1.11 , 4352 , 114 , 1.04 , 23.3 , -14.7 , 46
425 , 1.02 , 4555 , 233 , 2.01 , 17.3 , -12.9 , 75
451 , 0.44 , 6563 , 91 , 3.23 , 42.0 , -9.5 , 98
482 , 0.99 , 4629 , 27 , 0.67 , 5.9 , -12.5 , 75
484 , 0.47 , 6429 , 83 , 3.11 , 21.5 , -53.0 , 98
489 , 0.89 , 4899 , 148 , 1.98 , 7.8 , -9.3 , 67
504 , 0.37 , 6888 , 59 , 2.90 , 25 , -5.7 , 97
515 , 0.57 , 6007 , 152 , 3.21 , 9.8 , -999 , 98
516 , 1.07 , 4438 , -19 , -0.24 , 11.2 , -8.3 , 27
536 , 1.01 , 4579 , 145 , 1.53 , 44.0 , -13.6 , 47
546 , 0.43 , 6609 , 80 , 3.16 , 15.5 , -5.7 , 99
570 , 0.85 , 5017 , 77 , 1.69 , 8.6 , -7.5 , 72
