#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T15:26:49 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0ba5a703f5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/612/A99/ngc2451
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ngc2451}&key:source=J/A+A/612/A99/ic4665&HTTPPRM:&&-ref=VIZ5d0ba5a703f5&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ngc2451
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/612/A99/ngc2451
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ngc2451:
#Name: J/A+A/612/A99/ngc2451
#Title: Parameters for NGC2451
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
 ; ; ;K;K;[cm/s2];[cm/s2];[-];[-]; ;[0.1pm];[0.1pm]; ; ; ;km/s;km/s; ; ; ;deg;deg
----------------;-------;-------;-----;----;--------;--------;--------;--------;-;--------;--------;----;--------;--------;--------;--------;------;------;----;---------;---------
07371406-3843587;NGC2451;   UVES; 6473; 202;   3.890;   0.028;  -0.064;   0.049; ;  12.700;        ;   0;        ;        ;  60.051;   0.400; 0.022; 0.024;   1;114.30858;-38.73297
07371492-3839194;NGC2451;   UVES; 5886;  10;   3.928;   0.023;  -0.150;   0.012; ;  36.150;   1.305;   0;   0.995;   0.002;  28.905;   0.400;      ;      ;   2;114.31217;-38.65539
07372474-3844072;NGC2451;   UVES; 5144;   5;   2.724;   0.029;  -0.077;   0.003;<;  27.800;        ;   3;   1.015;   0.002;  53.174;   0.400;      ;      ;   3;114.35308;-38.73533
07373014-3849083;NGC2451;   UVES; 5767;   7;   4.377;   0.013;   0.013;   0.015; ;  17.400;        ;   0;        ;        ;  34.450;   0.400;      ;      ;   4;114.37558;-38.81897
07375169-3843326;NGC2451;   UVES; 5219;  34;   4.527;   0.003;   0.007;   0.035; ;  28.800;        ;   0;   0.985;   0.003; -15.595;   0.400;      ;      ;   5;114.46537;-38.72572
07384318-3844205;NGC2451;   UVES; 6179;  24;   3.925;   0.056;  -0.260;        ; ;   5.600;        ;   0;        ;        ;  40.364;   0.400; 0.032; 0.026;   6;114.67992;-38.73903
07391084-3739216;NGC2451;   UVES; 5529;  32;   4.537;   0.003;   0.043;   0.047; ; 182.833;   4.413;   0;   0.984;   0.003;  17.113;   0.400; 0.024; 0.742;   7;114.79517;-37.65600
07392014-3736599;NGC2451;   UVES; 6595;   8;   4.197;   0.007;   0.277;   0.015;<;  20.200;        ;   3;   0.995;   0.002;  34.443;   0.400; 0.064; 0.035;   8;114.83392;-37.61664
07392096-3742247;NGC2451;   UVES; 5584;  43;   4.364;   0.014;  -0.065;   0.046; ; 166.100;        ;   0;        ;        ;  25.145;   0.400; 0.641; 0.033;   9;114.83733;-37.70686
07394770-3743365;NGC2451;   UVES; 6354;  18;   4.277;   0.044;   0.094;   0.036; ;  82.200;        ;   0;        ;        ;  12.556;   0.400; 0.027; 0.438;  10;114.94875;-37.72681
07400185-3717353;NGC2451;   UVES; 5754;  21;   4.474;   0.041;   0.070;   0.010; ; 194.000;        ;   0;        ;        ;  24.877;   0.400; 0.698; 0.028;  11;115.00771;-37.29314
07400903-3741350;NGC2451;   UVES; 5650;  64;   4.266;   0.098;   0.091;   0.105;<;  18.200;        ;   3;   0.995;   0.004;  77.610;   0.400;      ;      ;  12;115.03762;-37.69306
07401559-3735416;NGC2451;   UVES; 5495;    ;   4.400;        ;   0.518;        ; ;        ;        ;    ;        ;        ;  80.554;   0.400; 0.044; 0.055;  13;115.06496;-37.59489
07404978-3719309;NGC2451;   UVES; 5309;  78;   4.423;   0.172;  -0.080;   0.014; ; 241.267;   3.942;   0;   0.985;   0.002;  22.085;   0.400; 0.814; 0.026;  14;115.20742;-37.32525
07405202-3722025;NGC2451;   UVES; 6320;  68;   4.064;   0.084;  -0.117;   0.040; ;  90.400;        ;   0;        ;        ;  -1.288;   0.400; 0.012; 0.041;  15;115.21675;-37.36736
07405697-3721458;NGC2451;   UVES; 6008; 134;   4.630;   0.285;  -1.217;   0.132; ;        ;        ;    ;        ;        ; 101.634;   0.400;      ;      ;  16;115.23737;-37.36272
07410261-3720016;NGC2451;   UVES; 6546; 135;   3.473;   0.265;  -0.182;   0.114; ;  94.300;        ;    ;   1.011;        ;  28.825;   0.400; 0.009; 0.025;  17;115.26087;-37.33378
07410816-3715319;NGC2451;   UVES; 4969;  16;   3.743;   0.052;   0.053;   0.005;<;  17.800;        ;   3;   0.995;   0.002;  79.518;   0.400;      ;      ;  18;115.28400;-37.25886
07411761-3722089;NGC2451;   UVES; 6179;  18;   3.718;   0.053;  -0.123;   0.003; ;  64.100;        ;   0;        ;        ;   5.671;   0.400; 0.019; 0.093;  19;115.32337;-37.36914
