#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T15:29:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0ba5a703f5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ngc2516}&key:source=J/A+A/612/A99/ic4665&HTTPPRM:&&-ref=VIZ5d0ba5a703f5&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ngc2451&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+A/612/A99/ngc2516
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#-out.src=J/A+A/612/A99/ngc2451
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ngc2516:
#Name: J/A+A/612/A99/ngc2516
#Title: Parameters for NGC2516
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
 ; ; ;K;K;[cm/s2];[cm/s2];[-];[-]; ;[0.1pm];[0.1pm]; ; ; ;km/s;km/s; ; ; ;deg;deg
----------------;-------;-------;-----;----;--------;--------;--------;--------;-;--------;--------;----;--------;--------;--------;--------;------;------;----;---------;---------
07541167-6048001;NGC2516;   UVES; 5518; 130;   4.325;   0.248;  -0.113;   0.109; ; 203.100;   1.900;   0;   0.986;        ;  23.630;   0.400; 0.993;      ;   1;118.54862;-60.80003
07541553-6058079;NGC2516;   UVES; 5515; 129;   4.537;   0.270;   0.007;   0.117; ; 187.500;   2.400;   0;   0.989;        ;  24.292;   0.400; 0.993;      ;   2;118.56471;-60.96886
07542322-6034452;NGC2516;   UVES; 5899; 118;   4.194;   0.236;   0.135;   0.090; ;  31.500;   2.300;   0;   0.995;        ;  89.831;   0.400;      ;      ;   3;118.59675;-60.57922
07544342-6024437;NGC2516;   UVES; 5549; 115;   4.572;   0.238;   0.011;   0.101; ; 164.800;   2.500;   0;   0.989;        ;  25.194;   0.400; 0.993;      ;   4;118.68092;-60.41214
07544443-6108107;NGC2516;   UVES; 5935; 113;   3.761;   0.225;  -0.392;   0.098; ;  33.800;   1.900;   0;   1.001;        ;  42.574;   0.400;      ;      ;   5;118.68512;-61.13631
07550546-6036336;NGC2516;   UVES; 5205; 116;   4.376;   0.244;  -0.081;   0.096; ;  25.900;   1.600;   0;   0.978;        ;   8.666;   0.400;      ;      ;   6;118.77275;-60.60933
07550592-6104294;NGC2516;   UVES; 5806; 131;   4.546;   0.248;  -0.099;   0.102; ; 139.300;   1.300;   0;   0.999;        ;  22.996;   0.400; 0.957;      ;   7;118.77467;-61.07483
07551614-6101207;NGC2516;   UVES; 4950; 123;   2.557;   0.230;  -0.337;   0.099;<;  11.700;        ;   3;   1.021;        ; -13.205;   0.400;      ;      ;   8;118.81725;-61.02242
07551977-6104200;NGC2516;   UVES; 5918;    ;   4.464;        ;  -0.090;        ; ; 136.400;        ;    ;   0.998;        ;        ;        ; 0.993;      ;   9;118.83237;-61.07222
07552325-6018496;NGC2516;   UVES; 8300;  50;   2.800;   0.200;  -0.100;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  10;118.84687;-60.31378
07553236-6023094;NGC2516;   UVES; 5805; 198;   4.487;   0.457;   0.017;   0.123; ; 128.600;   1.900;   0;   0.991;        ;  24.960;   0.400; 0.993;      ;  11;118.88483;-60.38594
07560336-6031274;NGC2516;   UVES;10100;  50;   2.400;   0.200;  -0.446;        ; ;        ;        ;    ;        ;        ;  16.380;   0.400; 0.654;      ;  12;119.01400;-60.52428
07562154-6058089;NGC2516;   UVES; 5118; 126;   4.500;   0.231;  -0.079;   0.094; ;  98.300;   5.300;   0;   0.978;        ;  25.932;   0.400; 0.939;      ;  13;119.08975;-60.96914
07562389-6030494;NGC2516;   UVES; 9050;  50;   3.900;   0.200;  -0.200;   0.100; ;        ;        ;    ;        ;        ;  15.434;   0.400; 0.597;      ;  14;119.09954;-60.51372
07564410-6034523;NGC2516;   UVES; 5608; 118;   4.403;   0.249;  -0.059;   0.097; ; 126.700;   2.000;   0;   0.991;        ;  24.301;   0.400; 0.993;      ;  15;119.18375;-60.58119
07564930-6030483;NGC2516;   UVES; 5332; 141;   3.902;   0.287;  -0.152;   0.116;<;  35.200;        ;   3;   1.000;        ;  60.561;   0.400;      ;      ;  16;119.20542;-60.51342
07565226-6026034;NGC2516;   UVES; 8700;  50;   4.100;   0.200;  -0.200;   0.100; ;        ;        ;    ;        ;        ;  24.500;   0.400; 0.989;      ;  17;119.21775;-60.43428
07570115-6108175;NGC2516;   UVES; 4973; 153;   3.336;   0.276;  -0.014;   0.121;<;  16.100;        ;   3;   1.015;        ; -20.455;   0.400;      ;      ;  18;119.25479;-61.13819
07571619-6025379;NGC2516;   UVES; 9500;2000;   3.786;   1.000;   0.051;        ; ;        ;        ;    ;        ;        ;  19.395;   0.400; 0.801;      ;  19;119.31746;-60.42719
07573456-6059351;NGC2516;   UVES; 8500;  50;   3.500;   0.200;   0.100;   0.100; ;        ;        ;    ;        ;        ;  12.141;   0.400; 0.466;      ;  20;119.39400;-60.99308
