#Sestito P., Randich S.
#(2005) Astron. Astrophys. 442, 615
#Time scales of Li evolution: a homogeneous analysis of open clusters from ZAMS to late-MS
#2005A&A...442..615S

No	Ref	BV0	Teff	EW0	dEW	nLi	nLiNLTE	dnLi	Notes
0139	1	0.46	6474	20.		2.430	2.380		
0196	1	0.62	5810	113.		2.790	2.730		
0235	1	0.66	5658	153.		2.880	2.800		
0240	1	0.54	6130	86.		2.890	2.820		
0247	1	0.75	5338	146.		2.500	2.510		
0287	1	0.46	6474	47.		2.820	2.750		
0293	1	0.73	5407	111.		2.360	2.390		
0300	1	0.57	6007	101.		2.890	2.820		
0322	1	0.65	5695	125.		2.750	2.700		
0340	1	0.46	6474	71.		3.050	2.960		
0360	1	0.44	6563	91.		3.230	3.110		
0375	1	0.47	6429	83.		3.110	3.010		SB1
0389	1	0.57	6007	152.		3.210	3.070		
0405	1	0.43	6609	80.		3.160	3.060		
0534	1	0.69	5548	49.		2.040	2.080		SB1
2042	1	0.90	4870	62.		1.380	1.560		
2113	1	0.83	5079	109.		1.980	2.090		
2158	1	0.80	5173	184.		2.530	2.530		
2172	1	1.08	4417	43.		0.590	0.590		
2194	1	1.10	4373	53.		0.630	0.630		
2199	1	0.80	5173	104.		2.060	2.150		
2227	1	0.76	5305	112.		2.260	2.310		
2229	1	1.22	4144	33.		0.130	0.130		
2265	1	1.07	4438	208.		1.690	1.690		
2268	1	1.14	4291	24.		0.150	0.150		
2288	1	0.94	4759	55.		1.180	1.390		
2289	1	0.90	4870	102.		1.670	1.830		
2298	1	0.92	4814	83.		1.470	1.660		
2356	1	1.11	4352	195.		1.500	1.500		
2377	1	0.84	5048	155.		2.210	2.290		
2392	1	0.95	4732	33.		0.900	0.900		
2397	1	0.81	5141	62.		1.710	1.830		
2415	1	0.72	5442	96.		2.310	2.340		
2424	1	1.11	4352	114.		1.040	1.040		
2425	1	1.02	4555	233.		2.010	2.130		
2482	1	0.99	4629	27.		0.670	0.670		
2489	1	0.89	4899	148.		1.980	2.100		
2516	1	1.07	4438	0.		0.000	0.240		
2536	1	1.01	4579	145.		1.530	1.750		
2570	1	0.85	5017	77.		1.690	1.830		
