Target,B-V,B,V,Sp. Type (Simbad),Sp. Type (Eric),combined,Li EW,REF,split,Li Age (Myr),combined,split,R'HK,REF,R'HK Age,Group Membershipc,Group Agec,Adopted Aged
HIP 1481,0.54,8,7.46,F8V            ,F8/G0V,1293,129,3,3,100,-4.3604,1,-4.36,4,221,Tuc/Hor,30,30
HD 8558,0.667,9.21,8.543,G7V            ,G6V,2055,205,5,3,13,,,,,,Tuc/Hor,30,30
HD 9054,0.91,9.98,9.07,K1V            ,K1V,1705,170,5,3,160,-4.2366,1,-4.236,6,100,Tuc/Hor,30,30
HIP 9141,0.673,8.73,8.057,G4V            ,G3/G5V,1818,181,8,3,13,,,,,,Tuc/Hor,30,30
BD+05 378,1.309,11.58,10.271,K6Ve           ,M0,,,,3,,,,,,,beta Pic,12,12
HD 17925,0.86,6.91,6.05,K1V            ,K1V,1948,194,8,3,50,-4.3576,1,-4.357,6,216,Her/Lyr,200,200
Eps Eri,0.88,4.61,3.73,K2V            ,K2V,,,,3,,-4.5986,1,-4.598,6,1129,,,1100
V577 Per A,,,,,G5IV/V11,21911,219,11,3,3,,,,,,AB Dor,70,70
GJ 174,1.135,9.12,7.985,K4V            ,K3V12,458,45,8,2,280,-4.06613,2,-4.066,13,,,,280
GJ 182,1.373,11.48,10.107,M0Ve           ,M1Ve14,28015,280,15,3,12,,,,,,,,12
HIP 23309,1.383,11.36,9.977,M0Ve           ,M0/116,29416,294,16,3,12,-3.8936,1,-3.893,6,,beta Pic,12,12
AB Dor,0.857,7.856,6.999,K0V            ,K2Vk17,2678,267,8,3,10,-3.8806,1,-3.88,6,<50,AB Dor,70,70
UY Pic,1.094,8.77,7.676,K0V            ,K0V18,2638,263,8,3,10,-4.2346,1,-4.234,6,78,AB Dor,70,70
AO Men,1.251,11.06,9.809,K4Ve           ,K6/716,35716,357,16,3,6,-3.7556,1,-3.755,6,,beta Pic,12,12
HIP 30030,0.57,8.52,7.95,G0V            ,G0V19,2198,219,8,3,2,,,,,,Tuc/Hor,30,30
HIP 30034,0.805,10.01,9.205,K1V(e)         ,K2V2,,,,3,,,,,,,Tuc/Hor,30,30
HD 45270,0.602,7.11,6.508,G1V            ,G1V2,1495,149,5,3,90,-4.3786,1,-4.378,6,254,AB Dor,70,70
HD 48189 A,0.61,6.96,6.35,G0V            ,G1/G2V2,1458,145,8,3,25,-4.2686,1,-4.268,6,105,AB Dor,70,70
pi01 UMa,0.62,6.26,5.64,G0.5V          ,G1.5V20,1358,135,8,3,100,-4.40021,2,-4.4,21,300,,,200
HD 81040,,8.37,     ~,G0V            ,G0V20,2422,24,22,2,2500,,,,,,,,2500
LQ Hya,0.87,8.761,7.891,K1Vp           ,K0V20,2478,247,8,3,13,,,,,,,,13
DX Leo,,7.78,     ~,G9V(k)         ,K0V20,1808,180,8,3,100,-4.2346,1,-4.234,6,78,Her/Lyr,200,200
HD 92945,0.877,8.596,7.719,K1V            ,K1V20,1388,138,8,3,160,-4.3936,2,-4.39,36,285,AB Dor,70,70
GJ 417,,7.02,     ~,G2             ,G0V23,7624,76,24,2,250,-4.36813,2,-4.368,13,235,Her/Lyr,200,200
TWA 14,,     ~,12.478,K8IVe          ,M025,60025,600,25,3,8,,,,,,TW Hya,10,10
TWA 25,1.93,13.09,11.16,M0.5           ,M09,49426,494,26,3,10,,,,,,TW Hya,10,10
RXJ1224.8-7503,0.983,11.543,10.56,K3Ve           ,K227,25027,250,27,3,16,,,,,,,,16
HD 114613,0.7,5.55,4.85,G3V            ,G3V28,10029,100,29,3,400,-4.2686,1,-4.268,6,7900,,,8800
HD 128311,0.995,8.441,7.446,K3V            ,K020,,,,3,,-4.48913,2,-4.489,13,565,,,630
EK Dra,0.639,8.243,7.604,G1.5V          ,G030,2128,212,8,3,2,-4.10613,2,-4.106,13,<50,AB Dor,70,70
HD 135363,,     ~,     ~,G5V+M2V-M4V    ,G5V20,2208,220,8,3,3,,,,,,,,3
KW Lup,0.97,10.34,9.37,K2V            ,K2V28,43031,430,31,3,2,,,,,,,,2
HD 155555 AB,1.54,14.36,12.82,M3Ve           ,G5IV16,2058,205,8,3,6,-3.9656,1,-3.965,6,<50,beta Pic,12,12
HD 155555 C,,,,,M4.516,,,,3,,,,,,,beta Pic,12,12
HD 166435,0.628,7.457,6.829,G1IV           ,G032,,,,3,4.27021,-4.27021,2,-4.27,21,107,,,110
HD 172555 A,,,,,A5IV/V2,,,,3,,,,,,,beta Pic,12,12
CD 64 1208,,,,,K716,58016,580,16,3,5,,,,,,beta Pic,12,12
HD 181321,0.63,7.11,6.48,G2V            ,G1/G2V28,1318,131,8,3,79,-4.3726,1,-4.372,6,243,,,160
HD 186704,0.583,7.62,7.037,G0V            ,G033,,,,3,4.35021,-4.35021,2,-4.35,21,205,,,210
GJ 799B,1.3,12.64,11.34,M4.5Ve         ,M4.5e34,,,,3,,,,,,,beta Pic,12,12
GJ 799A,2.31,12.67,10.36,M4.5Ve         ,M4.5e34,,,,3,,,,,,,beta Pic,12,12
GJ 803,1.423,10.05,8.627,M1VeBa1        ,M0Ve34,518,51,8,2,30,,,,,,beta Pic,12,12
HD 201091,1.18,6.39,5.21,K5V            ,K5Ve34,,,,3,4.70413,-4.70413,2,-4.704,13,2029,,,2000
Eps Indi A,,,,,K5Ve34,,,,3,4.8516,-4.8516,1,-4.851,6,3964,,,4000
GJ 862,1.097,8.742,7.645,K4V            ,K5V34,,,,3,4.9836,-4.9836,1,-4.983,6,6280,,,6300
HIP 112312 A,,,,,M4e9,,,,3,,,,,,,beta Pic,12,12
HD 224228,0.985,9.21,8.225,K2V            ,K3V28,538,53,8,2,630,-4.4686,1,-4.468,6,,AB Dor,70,70
HIP 2729,1.226,10.83,9.604,K4Ve           ,K5V2,,,,3,,,,,,,Tuc/Hor,30,30
BD +2 1729,1.466,11.055,9.589,M0.0Ve         ,K720,,,,3,,,,,,,Her/Lyr,200,200
TWA 6,1.936,13.39,11.454,M0Ve           ,K735,56035,560,35,3,3,,,,,,TW Hya,10,10
BD +1 2447,1.501,11.151,9.65,M2.0Ve         ,M236,,,,3,,,,,,,AB Dor,70,70
TWA 8A,1.46,13.69,12.23,M3Ve           ,M235,53035,530,35,3,3,,,,,,TW Hya,10,10
TWA 8B,1.48,16.7,15.22,M5.5           ,M535,56035,560,35,3,3,,,,,,TW Hya,10,10
TWA 9A,1.37,12.54,11.17,K5V            ,K535,46035,460,35,3,3,,,,,,TW Hya,10,10
TWA 9B,1.43,15.43,14,M1V            ,M135,48035,480,35,3,3,,,,,,TW Hya,10,10
SAO 252852,1.15,9.62,8.47,K5V            ,K5V37,,,,3,,,,,,,Her/Lyr,200,200
V343 Nor,0.803,8.78,7.977,K0V            ,K0V2,30029,300,29,3,5,-4.1596,1,-4.159,6,40,beta Pic,12,12
PZ Tel,0.878,9.22,8.342,G9IV           ,K0Vp18,26738,267,38,3,20,-3.7804,1,-3.78,4,<50,beta Pic,12,12
BD-17 6128,0.978,11.603,10.625,K7             ,K739,40040,400,40,3,3,,,,,,beta Pic,12,12
HD 166,,6.88,     ~,G8             ,K0V41,7442,74,42,2,290,-4.45813,2,-4.458,13,460,Her/Lyr,200,200
HD 691,,8.71,     ~,K0V            ,K0V43,1108,110,8,3,260,-4.38021,2,-4.38,21,260,,,260
HD 1405,0.92,9.78,8.86,K2V            ,K2V44,27145,271,45,3,,,,,,,AB Dor,70,70
HD 5996,0.75,8.42,7.67,G5V            ,G5V46,,,,3,4.45413,-4.45413,2,-4.454,13,440,,,440
HD 9540,0.759,7.722,6.963,K0V            ,K0V7,,,,3,4.7746,-4.7746,1,-4.774,6,2900,,,2900
HD 10008,0.803,8.459,7.656,K0/1V          ,G5V47,10348,103,48,3,280,-4.53013,2,-4.53,13,740,Her/Lyr,200,200
HD 14802,0.61,5.8,5.19,G0V            ,G0V17,5149,51,49,2,4000,-4.9856,1,-4.985,6,6300,,,5200
HD 16765,0.52,6.23,5.71,F7V            ,F7IV50,7314,73,14,2,270,-4.40013,2,-4.4,13,300,,,290
HD 17190,,8.66,     ~,K1             ,K1IV51,,,,3,,-4.87021,2,-4.87,21,4300,,,4300
HD 17382,,8.46,     ~,K2             ,K1V51,,,,3,,-4.45021,2,-4.45,21,430,,,430
HD 18803,,     ~,     ~,G8V            ,G8V52,,,,3,,-4.88021,2,-4.88,21,4400,,,4400
HD 19994,0.561,5.631,5.07,F8.5V          ,F8V53,1254,12,54,2,8000,-4.88021,2,-4.88,21,4400,,,6200
HD 20367,0.563,6.962,6.399,F8V            ,G0V55,1138,113,8,3,150,-4.50021,2,-4.5,21,610,,,380
2E 759,1.08,11.4,10.32,K7V            ,K7V56,6357,63,57,2,260,,2,,0,,Her/Lyr,200,200
HIP 17695,1.511,13.048,11.537,M3.0V          ,M3e58,,,,3,,,2,,0,,AB Dor,70,70
HD 25457,0.5,5.88,5.38,F7V            ,F5V59,9160,91,60,2,80,-4.39021,2,-4.39,21,280,AB Dor,70,70
HD 283750,,9.354,     ~,K2.5Ve         ,K261,338,33,8,2,300,-4.05713,2,-4.057,13,,,,300
HD 30652,0.44,3.63,3.19,F6V            ,F6V62,1514,15,14,2,7500,-4.65021,2,-4.65,21,1500,,,4500
HD 75332,0.528,6.738,6.21,F7Vs           ,F7V50,1258,125,8,3,50,-4.47021,2,-4.47,21,500,,,270
HD 77407,,     ~,     ~,G0V+M3V-M6V    ,G063,16245,162,45,3,50,-4.34021,2,-4.34,21,190,,,120
HD 78141,0.89,8.87,7.98,K0             ,K064,1078,107,8,3,270,0,2,,0,,,,270
HD 90905,,     ~,     ~,G1V            ,G0V65,1368,136,8,3,80,-4.43021,2,-4.43,21,370,,,230
