name, moving group, B-V, R'HK
HR 1249  , AB , 0.500000 , -4.60000
HD 45270  , AB , 0.602000 , -4.37800
HD 152555  , AB , 0.600000 , -4.41000
HD 217343  , AB , 0.640000 , -4.32100
AK Pic  , AB , 0.565000 , -4.26800
BD+41 4749  , AB , 0.740000 , -4.22000
IS Eri  , AB , 0.780001 , -4.38000
UY Pic  , AB , 1.09400 , -4.23400
HD 36705A  , AB , 0.857000 , -3.88000
PX Vir  , AB , 0.876000 , -4.34000
GJ 4377  , AB , 0.985000 , -4.46800
LO Peg  , AB , 1.02700 , -3.90600
HIP 26369  , AB , 1.20500 , -3.90200
HD 35650  , AB , 1.31100 , -4.27000
HD 217379  , AB , 0.00000 , -4.33600
HIP 81084  , AB , 1.62000 , -4.21000
GJ 393  , AB , 1.50100 , -99.0000
HD 43162  , Ar , 0.702000 , -4.39000
HD 61005  , Ar , 0.740000 , -4.33700
HD 14082  , BP , 0.490000 , -4.41000
AF Lep  , BP , 0.537000 , -4.08500
HD 14082B  , BP , 0.590000 , -4.37000
V824 Ara  , BP , 0.776000 , -3.96800
PZ Tel  , BP , 0.878000 , -3.78000
HD 139084  , BP , 0.802999 , -4.15900
AO Men  , BP , 1.25100 , -3.75500
MV Vir  , BP , 1.51800 , -3.98200
CD-57 1054  , BP , 1.38300 , -3.89300
HD 37484  , Co , 0.410000 , -99.0000
HD 984  , Co , 0.500000 , -4.42000
HD 38397  , Co , 0.580000 , -4.26000
HD 13246  , TH , 0.520000 , -4.38000
HD 1466  , TH , 0.540000 , -4.36000
HD 105  , TH , 0.600000 , -4.41000
HD 22705  , TH , 0.600000 , -4.33000
HD 202917  , TH , 0.650000 , -4.22000
CC Phe  , TH , 0.910000 , -4.26300
