         4230830 function calls (4160770 primitive calls) in 29.786 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.045    0.045   29.822   29.822 results_graphs.py:5(<module>)
        1    0.000    0.000   26.913   26.913 results_graphs.py:22(main)
        1    0.000    0.000   23.115   23.115 baffles.py:84(get_posterior)
        1    0.000    0.000   23.080   23.080 plotting.py:13(posterior)
     1262    0.003    0.000   11.359    0.009 pyplot.py:966(gca)
        1    0.000    0.000   11.274   11.274 pyplot.py:1385(title)
     1264    0.006    0.000   11.257    0.009 pyplot.py:595(gcf)
        2    0.000    0.000   11.250    5.625 pyplot.py:431(figure)
        2    0.000    0.000   11.249    5.625 backend_bases.py:153(new_figure_manager)
        2    0.000    0.000   11.243    5.622 backend_bases.py:163(new_figure_manager_given_figure)
        2    0.000    0.000   11.170    5.585 backend_qt5agg.py:23(__init__)
        2    0.002    0.001   11.170    5.585 backend_qt5.py:232(__init__)
        2   11.165    5.582   11.165    5.583 backend_qt5.py:104(_create_qApp)
        1    0.000    0.000   10.095   10.095 pyplot.py:236(show)
        1    0.000    0.000   10.095   10.095 backend_bases.py:178(show)
        1    0.000    0.000    8.179    8.179 backend_qt5.py:1115(mainloop)
        1    7.804    7.804    8.179    8.179 {built-in method exec_}
        1    0.004    0.004    3.400    3.400 plotting.py:122(metal_vs_bv)
   1677/3    0.012    0.000    1.958    0.653 artist.py:47(draw_wrapper)
        3    0.000    0.000    1.958    0.653 figure.py:1438(draw)
      6/3    0.006    0.001    1.955    0.652 image.py:123(_draw_list_compositing_images)
        3    0.000    0.000    1.954    0.651 _base.py:2528(draw)
        1    0.000    0.000    1.916    1.916 backend_qt5.py:671(show)
        1    1.915    1.915    1.916    1.916 {built-in method show}
        2    0.000    0.000    1.826    0.913 backend_pdf.py:2501(savefig)
        2    0.000    0.000    1.825    0.913 figure.py:1929(savefig)
        2    0.000    0.000    1.825    0.912 backend_bases.py:2107(print_figure)
      628    0.011    0.000    1.813    0.003 __init__.py:1774(inner)
        2    0.000    0.000    1.813    0.906 backend_pdf.py:2571(print_pdf)
      612    0.006    0.000    1.792    0.003 pyplot.py:3452(scatter)
      612    0.040    0.000    1.728    0.003 _axes.py:4082(scatter)
      253    0.010    0.000    1.668    0.007 text.py:276(_get_layout)
       30    0.001    0.000    1.558    0.052 mathtext.py:3252(parse)
        2    0.000    0.000    1.390    0.695 pyplot.py:1348(tight_layout)
        2    0.000    0.000    1.390    0.695 figure.py:2241(tight_layout)
        2    0.000    0.000    1.371    0.686 tight_layout.py:247(get_tight_layout_figure)
        2    0.000    0.000    1.370    0.685 tight_layout.py:37(auto_adjust_subplotpars)
        2    0.001    0.000    1.368    0.684 _base.py:4137(get_tightbbox)
      346    0.004    0.000    1.350    0.004 text.py:887(get_window_extent)
        4    0.000    0.000    1.346    0.336 axis.py:1137(get_tightbbox)
       20    0.001    0.000    1.257    0.063 axis.py:1119(_get_tick_bboxes)
        7    0.014    0.002    1.115    0.159 __init__.py:2(<module>)
        5    0.000    0.000    1.039    0.208 axis.py:1896(_update_label_position)
       78    0.001    0.000    1.034    0.013 backend_agg.py:220(get_text_width_height_descent)
        5    0.000    0.000    1.029    0.206 axis.py:1877(_get_tick_boxes_siblings)
        5    0.006    0.001    1.009    0.202 __init__.py:7(<module>)
      616    0.004    0.000    0.917    0.001 collections.py:908(draw)
      618    0.041    0.000    0.880    0.001 collections.py:258(draw)
    66/50    0.001    0.000    0.837    0.017 pyparsing.py:1586(parseString)
  7948/52    0.045    0.000    0.834    0.016 pyparsing.py:1347(_parseNoCache)
  8256/43    0.100    0.000    0.830    0.019 pyparsing.py:1520(_parseCache)
  1631/50    0.009    0.000    0.827    0.017 pyparsing.py:3375(parseImpl)
       16    0.000    0.000    0.795    0.050 mathtext.py:2505(parse)
   187/82    0.001    0.000    0.794    0.010 pyparsing.py:3837(parseImpl)
   103/80    0.001    0.000    0.793    0.010 pyparsing.py:3917(parseImpl)
  3909/31    0.012    0.000    0.792    0.026 pyparsing.py:3715(parseImpl)
  358/182    0.001    0.000    0.775    0.004 pyparsing.py:1046(wrapper)
       16    0.000    0.000    0.765    0.048 mathtext.py:2583(math_string)
   508/58    0.010    0.000    0.757    0.013 pyparsing.py:3525(parseImpl)
        1    0.001    0.001    0.735    0.735 __init__.py:90(_check_numpy)
      676    0.003    0.000    0.724    0.001 backend_pdf.py:1783(draw_markers)
      676    0.011    0.000    0.717    0.001 backend_bases.py:287(draw_markers)
        1    0.002    0.002    0.709    0.709 column.py:2(<module>)
  266/130    0.001    0.000    0.695    0.005 pyparsing.py:3981(parseImpl)
        2    0.006    0.003    0.669    0.334 __init__.py:11(<module>)
      714    0.005    0.000    0.620    0.001 backend_pdf.py:1705(draw_path)
      150    0.002    0.000    0.611    0.004 backend_pdf.py:2143(get_text_width_height_descent)
        6    0.001    0.000    0.598    0.100 axis.py:1182(draw)
       30    0.123    0.004    0.550    0.018 __init__.py:1(<module>)
        9    0.002    0.000    0.507    0.056 introspection.py:99(minversion)
        1    0.004    0.004    0.504    0.504 __init__.py:16(<module>)
        1    0.003    0.003    0.474    0.474 fitting.py:3(<module>)
     7650    0.030    0.000    0.459    0.000 pyparsing.py:1465(set)
     8590    0.024    0.000    0.458    0.000 re.py:230(_compile)
      768    0.007    0.000    0.457    0.001 backend_pdf.py:1615(check_gc)
      615    0.012    0.000    0.449    0.001 _base.py:1880(add_collection)
     2411    0.022    0.000    0.439    0.000 backend_pdf.py:622(output)
        1    0.001    0.001    0.438    0.438 mathtext.py:2292(__init__)
      516    0.001    0.000    0.434    0.001 re.py:192(compile)
      303    0.003    0.000    0.432    0.001 sre_compile.py:567(compile)
       13    0.145    0.011    0.405    0.031 pyparsing.py:4551(oneOf)
        1    0.000    0.000    0.391    0.391 decorators.py:4(<module>)
       20    0.004    0.000    0.391    0.020 axis.py:1020(_update_ticks)
        1    0.001    0.001    0.390    0.390 physical.py:10(<module>)
     1046    0.002    0.000    0.379    0.000 font_manager.py:1473(findfont)
     1046    0.075    0.000    0.377    0.000 font_manager.py:1255(findfont)
        3    0.000    0.000    0.370    0.123 legend.py:758(draw)
      629    0.235    0.000    0.368    0.001 _base.py:2423(autoscale_view)
      612    0.005    0.000    0.367    0.001 collections.py:918(__init__)
      615    0.017    0.000    0.342    0.001 collections.py:98(__init__)
    82/38    0.003    0.000    0.335    0.009 offsetbox.py:449(get_extent_offsets)
     7924    0.307    0.000    0.334    0.000 collections.py:71(__setitem__)
    20/13    0.001    0.000    0.332    0.026 offsetbox.py:373(get_extent_offsets)
    75/24    0.000    0.000    0.331    0.014 offsetbox.py:255(get_extent)
       72    0.001    0.000    0.326    0.005 offsetbox.py:826(get_extent)
        2    0.000    0.000    0.325    0.162 __init__.py:3069(_call_aside)
        1    0.000    0.000    0.325    0.325 __init__.py:3086(_initialize_master_working_set)
        4    0.000    0.000    0.319    0.080 offsetbox.py:262(get_window_extent)
       16    0.001    0.000    0.316    0.020 mathtext.py:871(__init__)
      616    0.003    0.000    0.311    0.001 axis.py:967(iter_ticks)
        1    0.005    0.005    0.307    0.307 __init__.py:342(<module>)
23176/19707    0.127    0.000    0.298    0.000 backend_pdf.py:141(pdfRepr)
2691/2658    0.013    0.000    0.297    0.000 core.py:1988(__init__)
     3688    0.045    0.000    0.277    0.000 colors.py:233(to_rgba_array)
      134    0.006    0.000    0.271    0.002 axis.py:74(__init__)
        1    0.003    0.003    0.265    0.265 backend_pdf.py:6(<module>)
       18    0.001    0.000    0.264    0.015 __init__.py:602(add_entry)
        9    0.014    0.002    0.263    0.029 core.py:178(add_enabled_units)
2691/2658    0.056    0.000    0.263    0.000 core.py:2050(_expand_and_gather)
        2    0.000    0.000    0.261    0.131 core.py:290(set_enabled_units)
        2    0.000    0.000    0.261    0.131 core.py:159(set_enabled_units)
      408    0.002    0.000    0.254    0.001 __init__.py:1934(find_on_path)
     6697    0.049    0.000    0.249    0.000 colors.py:142(to_rgba)
250941/250936    0.145    0.000    0.247    0.000 {isinstance}
        1    0.000    0.000    0.246    0.246 baffles.py:62(__init__)
        1    0.000    0.000    0.246    0.246 baffles.py:72(set_grids)
        2    0.000    0.000    0.246    0.123 npyio.py:257(load)
        2    0.000    0.000    0.245    0.123 format.py:592(read_array)
        2    0.243    0.122    0.243    0.122 {numpy.core.multiarray.fromfile}
      303    0.002    0.000    0.240    0.001 sre_parse.py:725(parse)
 1151/303    0.010    0.000    0.235    0.001 sre_parse.py:336(_parse_sub)
        1    0.001    0.001    0.229    0.229 stats.py:156(<module>)
2535/1019    0.082    0.000    0.228    0.000 sre_parse.py:414(_parse)
  358/351    0.009    0.000    0.227    0.001 {__import__}
1875/1782    0.011    0.000    0.225    0.000 transforms.py:1429(transform)
      108    0.002    0.000    0.218    0.002 axis.py:1787(_get_tick)
        1    0.000    0.000    0.212    0.212 astrophys.py:7(<module>)
      612    0.010    0.000    0.212    0.000 collections.py:189(get_datalim)
      122    0.002    0.000    0.210    0.002 backend_qt5.py:339(mouseMoveEvent)
      122    0.003    0.000    0.202    0.002 backend_bases.py:1955(motion_notify_event)
        1    0.008    0.008    0.198    0.198 distributions.py:8(<module>)
     2311    0.019    0.000    0.193    0.000 core.py:543(_get_physical_type_id)
        1    0.003    0.003    0.190    0.190 __init__.py:106(<module>)
      303    0.001    0.000    0.188    0.001 sre_compile.py:552(_code)
      122    0.002    0.000    0.183    0.001 backend_bases.py:1621(__init__)
      122    0.005    0.000    0.181    0.001 backend_bases.py:1513(__init__)
3854/2791    0.013    0.000    0.180    0.000 core.py:2110(decompose)
      682    0.012    0.000    0.177    0.000 artist.py:650(set_clip_path)
        4    0.004    0.001    0.173    0.043 __init__.py:4(<module>)
      126    0.000    0.000    0.172    0.001 core.py:2226(def_unit)
3428/2408    0.004    0.000    0.171    0.000 core.py:1933(decompose)
      815    0.005    0.000    0.171    0.000 patches.py:194(get_transform)
       32    0.001    0.000    0.170    0.005 mathtext.py:971(__init__)
        1    0.000    0.000    0.169    0.169 add_newdocs.py:10(<module>)
        1    0.005    0.005    0.165    0.165 _continuous_distns.py:5(<module>)
       20    0.000    0.000    0.158    0.008 axis.py:1408(get_minor_ticks)
       98    0.005    0.000    0.157    0.002 _distn_infrastructure.py:1487(__init__)
      527    0.003    0.000    0.157    0.000 transforms.py:1522(transform_point)
        1    0.001    0.001    0.155    0.155 type_check.py:3(<module>)
        2    0.000    0.000    0.154    0.077 backend_qt5.py:513(_draw_idle)
        1    0.000    0.000    0.154    0.154 backend_agg.py:421(draw)
      436    0.020    0.000    0.150    0.000 lines.py:290(__init__)
      790    0.001    0.000    0.149    0.000 patches.py:736(get_patch_transform)
      788    0.004    0.000    0.149    0.000 __init__.py:2021(distributions_from_metadata)
       62    0.018    0.000    0.148    0.002 core.py:2168(_add_prefixes)
      790    0.012    0.000    0.148    0.000 patches.py:707(_update_patch_transform)
        1    0.001    0.001    0.147    0.147 pyplot.py:19(<module>)
     2000    0.013    0.000    0.147    0.000 artist.py:854(update)
      714    0.002    0.000    0.144    0.000 backend_pdf.py:1504(writePath)
   183113    0.082    0.000    0.138    0.000 pyparsing.py:4580(<lambda>)
    50121    0.136    0.000    0.137    0.000 {numpy.core.multiarray.array}
 3925/303    0.053    0.000    0.137    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.135    0.135 __init__.py:560(_build_master)
        1    0.000    0.000    0.135    0.135 __init__.py:547(__init__)
        1    0.001    0.001    0.135    0.135 backend_mixed.py:1(<module>)
        1    0.002    0.002    0.134    0.134 backend_agg.py:21(<module>)
      145    0.004    0.000    0.133    0.001 text.py:691(draw)
        1    0.002    0.002    0.131    0.131 figure.py:12(<module>)
      297    0.049    0.000    0.131    0.000 doccer.py:12(docformat)
     2526    0.074    0.000    0.130    0.000 cycler.py:349(by_key)
      111    0.002    0.000    0.130    0.001 _distn_infrastructure.py:706(_construct_doc)
      142    0.007    0.000    0.129    0.001 lines.py:731(draw)
      394    0.004    0.000    0.129    0.000 __init__.py:2457(from_location)
      768    0.046    0.000    0.128    0.000 backend_pdf.py:2354(delta)
     1231    0.018    0.000    0.128    0.000 collections.py:723(_set_edgecolor)
      106    0.001    0.000    0.127    0.001 axis.py:289(draw)
     10/8    0.000    0.000    0.126    0.016 __init__.py:35(load_module)
        4    0.006    0.002    0.125    0.031 __init__.py:3(<module>)
